race_id,course,race_num,race_name,condition,num_horses,distance,surface,track_condition,top1_num,top1_name,top1_score,top2_num,top3_num,top1_finish,top2_finish,top3_finish,trio_bets,trio_result,bet_type,trio_hit,trio_payout,umaren_payout,actual_payout,investment,profit,status,date,umaren_hit,trio_bets_str,top2_name,top2_score,top3_name,top3_score,top1_num_recovered,top1_num_dp,top1_num_final,track_code,track,horse_num,odds,pop_rank,hit
202603010301,福島,1,3歳未勝利,D,,1150.0,ダ,,,,,,,1.0,14,5,,2-14-15,trio,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,1-7-14; 1-9-14; 1-11-14; 1-14-16; 7-14-16; 9-14-16; 11-14-16,,,,,14.0,14.0,14.0,03,福島,14.0,5.8,3.0,False
202603010302,福島,2,3歳未勝利,C,,2000.0,芝,,,,,,,4.0,5,11,,3-10-14,trio,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,2-4-6; 2-6-7; 4-6-7; 4-6-10; 4-6-13; 6-7-10; 6-7-13,,,,,6.0,6.0,6.0,03,福島,6.0,3.6,1.0,False
202603010303,福島,3,3歳未勝利,D,,1200.0,芝,,,,,,,2.0,1,8,,6-13-16,trio,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,1-8-13; 1-13-16; 8-11-13; 8-13-15; 8-13-16; 11-13-16; 13-15-16,,,,,13.0,13.0,13.0,03,福島,13.0,17.0,9.0,False
202603010304,福島,4,3歳未勝利,C,,1700.0,ダ,,,,,,,2.0,7,13,,9-10-12,trio,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,1-5-12; 1-8-12; 1-10-12; 1-12-15; 5-8-12; 5-10-12; 5-12-15,,,,,12.0,12.0,12.0,03,福島,12.0,3.9,1.0,False
202603010305,福島,5,3歳未勝利,C,,1800.0,芝,,,,,,,2.0,7,1,,1-7-14,trio,1.0,1110,0,1110.0,700,410.0,settled,20260418,0.0,1-7-14; 1-7-16; 3-7-14; 3-7-16; 7-8-14; 7-8-16; 7-14-16,,,,,7.0,7.0,7.0,03,福島,7.0,6.4,3.0,True
202603010306,福島,6,3歳未勝利,C,,2600.0,芝,,,,,,,2.0,9,6,,2-6-12,trio,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,1-2-4; 1-2-9; 2-4-9; 2-4-10; 2-4-12; 2-9-10; 2-9-12,,,,,2.0,2.0,2.0,03,福島,2.0,5.1,2.0,False
202603010307,福島,7,4歳以上1勝クラス,D,,1150.0,ダ,,,,,,,2.0,8,10,,1-2-8,trio,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,1-3-8; 1-8-14; 2-3-8; 2-8-14; 3-8-14; 3-8-15; 8-14-15,,,,,8.0,8.0,8.0,03,福島,8.0,6.2,3.0,False
202603010308,福島,8,4歳以上1勝クラス,C,,1700.0,ダ,,,,,,,1.0,5,2,,2-5-8,trio,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,2-3-8; 2-3-11; 2-8-10; 2-8-11; 2-8-12; 2-10-11; 2-11-12,,,,,2.0,2.0,2.0,03,福島,2.0,9.2,5.0,False
202603010309,福島,9,ひめさゆり賞,A,,2000.0,芝,,,,,,,3.0,8,1,,2-4-5,trio,1.0,9780,0,9780.0,700,9080.0,settled,20260418,0.0,1-4-5; 1-4-7; 2-4-5; 2-4-7; 4-5-6; 4-5-7; 4-6-7,,,,,4.0,4.0,4.0,03,福島,4.0,7.4,5.0,True
202603010310,福島,10,桑折特別,A,,2000.0,芝,,,,,,,8.0,2,1,,2-3-8,trio,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,1-2-7; 1-7-8; 2-4-7; 2-5-7; 2-7-8; 4-7-8; 5-7-8,,,,,7.0,7.0,7.0,03,福島,7.0,1.9,1.0,False
202603010311,福島,11,ラジオ福島賞,C,,1700.0,ダ,,,,,,,1.0,4,14,,3-8-11,trio,0.0,0,0,0.0,700,-700.0,settled,20260418,0.0,2-3-8; 2-8-10; 2-8-11; 2-8-15; 3-8-10; 8-10-11; 8-10-15,,,,,8.0,8.0,8.0,03,福島,8.0,7.3,2.0,False
202603010312,福島,12,4歳以上1勝クラス,D,,1200.0,芝,,,,,,,3.0,1,2,,5-13-15,trio,1.0,1890,0,1890.0,700,1190.0,settled,20260418,0.0,2-5-13; 2-13-15; 5-6-13; 5-9-13; 5-13-15; 6-13-15; 9-13-15,,,,,13.0,13.0,13.0,03,福島,13.0,10.9,4.0,True
