condition,course,N,tansho_t1_roi,tansho_t1_hit,tansho_t1_n_hit,tansho_t1_inv,tansho_t1_pay,tansho_t1_profit,tansho_t1_ci_low,tansho_t1_ci_high,tansho_t1_p_gt_1,tansho_box3_roi,tansho_box3_hit,tansho_box3_n_hit,tansho_box3_inv,tansho_box3_pay,tansho_box3_profit,tansho_box3_ci_low,tansho_box3_ci_high,tansho_box3_p_gt_1,fukusho_box3_roi,fukusho_box3_hit,fukusho_box3_n_hit,fukusho_box3_inv,fukusho_box3_pay,fukusho_box3_profit,fukusho_box3_ci_low,fukusho_box3_ci_high,fukusho_box3_p_gt_1,umaren_t1_roi,umaren_t1_hit,umaren_t1_n_hit,umaren_t1_inv,umaren_t1_pay,umaren_t1_profit,umaren_t1_ci_low,umaren_t1_ci_high,umaren_t1_p_gt_1,umaren_t1_t3_roi,umaren_t1_t3_hit,umaren_t1_t3_n_hit,umaren_t1_t3_inv,umaren_t1_t3_pay,umaren_t1_t3_profit,umaren_t1_t3_ci_low,umaren_t1_t3_ci_high,umaren_t1_t3_p_gt_1,umaren_box3_roi,umaren_box3_hit,umaren_box3_n_hit,umaren_box3_inv,umaren_box3_pay,umaren_box3_profit,umaren_box3_ci_low,umaren_box3_ci_high,umaren_box3_p_gt_1,wide_box3_roi,wide_box3_hit,wide_box3_n_hit,wide_box3_inv,wide_box3_pay,wide_box3_profit,wide_box3_ci_low,wide_box3_ci_high,wide_box3_p_gt_1,trio_box3_roi,trio_box3_hit,trio_box3_n_hit,trio_box3_inv,trio_box3_pay,trio_box3_profit,trio_box3_ci_low,trio_box3_ci_high,trio_box3_p_gt_1,trio7_strategy_roi,trio7_strategy_hit,trio7_strategy_n_hit,trio7_strategy_inv,trio7_strategy_pay,trio7_strategy_profit,trio7_strategy_ci_low,trio7_strategy_ci_high,trio7_strategy_p_gt_1,tierce_box6_roi,tierce_box6_hit,tierce_box6_n_hit,tierce_box6_inv,tierce_box6_pay,tierce_box6_profit,tierce_box6_ci_low,tierce_box6_ci_high,tierce_box6_p_gt_1,tierce_form_t1axis_roi,tierce_form_t1axis_hit,tierce_form_t1axis_n_hit,tierce_form_t1axis_inv,tierce_form_t1axis_pay,tierce_form_t1axis_profit,tierce_form_t1axis_ci_low,tierce_form_t1axis_ci_high,tierce_form_t1axis_p_gt_1
A,中京,15,0.8266666666666667,0.26666666666666666,4,1500,1240,-260,0.07333333333333333,1.7733333333333334,0.334,0.7755555555555556,0.5333333333333333,8,4500,3490,-1010,0.3309444444444445,1.2800555555555555,0.166,0.9911111111111112,0.9333333333333333,14,4500,4460,-40,0.6532777777777777,1.4333888888888888,0.448,0.0,0.0,0,1500,0,-1500,0.0,0.0,0.0,1.9333333333333333,0.26666666666666666,4,1500,2900,1400,0.38,3.6933333333333334,0.81,2.1533333333333333,0.3333333333333333,5,4500,9690,5190,0.25333333333333335,5.24,0.711,1.7222222222222223,0.6,9,4500,7750,3250,0.4487777777777778,3.940888888888888,0.65,8.293333333333333,0.06666666666666667,1,1500,12440,10940,0.0,24.88,0.649,2.02,0.4,6,10500,21210,10710,0.45714285714285713,4.556214285714286,0.788,10.087777777777777,0.06666666666666667,1,9000,90790,81790,0.0,30.263333333333332,0.649,0.0,0.0,0,3000,0,-3000,0.0,0.0,0.0
A,中山,33,0.9,0.2727272727272727,9,3300,2970,-330,0.3939393939393939,1.552045454545454,0.354,0.5616161616161616,0.48484848484848486,16,9900,5560,-4340,0.34040404040404043,0.8324747474747474,0.001,0.8737373737373737,0.9393939393939394,31,9900,8650,-1250,0.7191919191919192,1.0527020202020199,0.083,0.0,0.0,0,3300,0,-3300,0.0,0.0,0.0,1.4424242424242424,0.21212121212121213,7,3300,4760,1460,0.38484848484848483,2.788030303030303,0.777,0.5787878787878787,0.2727272727272727,9,9900,5730,-4170,0.22305555555555556,1.0121464646464646,0.029,0.8111111111111111,0.5151515151515151,17,9900,8030,-1870,0.47555555555555556,1.2415909090909087,0.184,1.5333333333333334,0.12121212121212122,4,3300,5060,1760,0.2606060606060606,3.533333333333333,0.722,0.8632034632034632,0.36363636363636365,12,23100,19940,-3160,0.4258549783549783,1.4507792207792207,0.307,1.6772727272727272,0.12121212121212122,4,19800,33210,13410,0.25,4.155050505050505,0.708,5.031818181818182,0.12121212121212122,4,6600,33210,26610,0.75,12.465151515151515,0.941
A,新潟,5,0.92,0.4,2,500,460,-40,0.0,1.96,0.397,0.56,0.6,3,1500,840,-660,0.13333333333333333,1.0133333333333334,0.027,0.9,0.8,4,1500,1350,-150,0.44,1.2666666666666666,0.328,0.0,0.0,0,500,0,-500,0.0,0.0,0.0,0.0,0.0,0,500,0,-500,0.0,0.0,0.0,0.7,0.2,1,1500,1050,-450,0.0,2.1,0.271,1.0266666666666666,0.8,4,1500,1540,40,0.46,1.5808333333333326,0.53,0.0,0.0,0,500,0,-500,0.0,0.0,0.0,0.19142857142857142,0.2,1,3500,670,-2830,0.0,0.5742857142857143,0.0,0.0,0.0,0,3000,0,-3000,0.0,0.0,0.0,0.0,0.0,0,1000,0,-1000,0.0,0.0,0.0
A,東京,14,0.18571428571428572,0.07142857142857142,1,1400,260,-1140,0.0,0.5571428571428572,0.0,0.6571428571428571,0.7142857142857143,10,4200,2760,-1440,0.3976190476190476,0.92625,0.008,0.7095238095238096,0.9285714285714286,13,4200,2980,-1220,0.5403571428571429,0.8476785714285714,0.0,0.0,0.0,0,1400,0,-1400,0.0,0.0,0.0,1.542857142857143,0.2857142857142857,4,1400,2160,760,0.32857142857142857,2.993035714285714,0.75,0.5880952380952381,0.35714285714285715,5,4200,2470,-1730,0.18321428571428572,1.0691071428571428,0.051,0.55,0.5714285714285714,8,4200,2310,-1890,0.2571428571428571,0.8905952380952379,0.006,0.4,0.07142857142857142,1,1400,560,-840,0.0,1.2,0.071,0.3051020408163265,0.21428571428571427,3,9800,2990,-6810,0.0,0.6673469387755102,0.001,0.21071428571428572,0.07142857142857142,1,8400,1770,-6630,0.0,0.6321428571428571,0.001,0.0,0.0,0,2800,0,-2800,0.0,0.0,0.0
A,福島,8,0.3625,0.125,1,800,290,-510,0.0,1.0875,0.072,1.2958333333333334,0.75,6,2400,3110,710,0.5125,2.1083333333333334,0.751,0.7541666666666667,0.75,6,2400,1810,-590,0.34145833333333336,1.1376041666666665,0.113,0.0,0.0,0,800,0,-800,0.0,0.0,0.0,2.425,0.25,2,800,1940,1140,0.0,5.8,0.763,1.4333333333333333,0.375,3,2400,3440,1040,0.24583333333333332,3.0015624999999986,0.747,0.8791666666666667,0.5,4,2400,2110,-290,0.22916666666666666,1.5583333333333333,0.359,0.0,0.0,0,800,0,-800,0.0,0.0,0.0,1.7464285714285714,0.125,1,5600,9780,4180,0.0,5.239285714285714,0.65,0.0,0.0,0,4800,0,-4800,0.0,0.0,0.0,0.0,0.0,0,1600,0,-1600,0.0,0.0,0.0
A,阪神,42,1.2571428571428571,0.40476190476190477,17,4200,5280,1080,0.640297619047619,2.1238690476190474,0.697,0.6952380952380952,0.5952380952380952,25,12600,8760,-3840,0.44285714285714284,1.0007936507936508,0.026,0.8714285714285714,0.9523809523809523,40,12600,10980,-1620,0.703154761904762,1.0571825396825396,0.101,2.530952380952381,0.16666666666666666,7,4200,10630,6430,0.3570238095238095,6.312023809523809,0.735,0.35,0.07142857142857142,3,4200,1470,-2730,0.0,0.8428571428571429,0.012,1.134126984126984,0.2857142857142857,12,12600,14290,1690,0.3404166666666667,2.461329365079365,0.531,0.85,0.5,21,12600,10710,-1890,0.44121031746031747,1.3327777777777774,0.254,0.4666666666666667,0.047619047619047616,2,4200,1960,-2240,0.0,1.4,0.096,1.1088435374149659,0.3333333333333333,14,29400,32600,3200,0.29102891156462585,2.437848639455782,0.556,0.23293650793650794,0.047619047619047616,2,25200,5870,-19330,0.0,0.5876984126984127,0.0,0.6988095238095238,0.047619047619047616,2,8400,5870,-2530,0.0,1.763095238095238,0.329
B,中山,4,0.0,0.0,0,400,0,-400,0.0,0.0,0.0,0.5,0.5,2,1200,600,-600,0.0,1.0,0.017,1.25,0.75,3,1200,1500,300,0.18333333333333332,3.1166666666666667,0.709,0.0,0.0,0,400,0,-400,0.0,0.0,0.0,0.0,0.0,0,400,0,-400,0.0,0.0,0.0,0.0,0.0,0,1200,0,-1200,0.0,0.0,0.0,1.05,0.25,1,1200,1260,60,0.0,3.15,0.709,0.0,0.0,0,400,0,-400,0.0,0.0,0.0,0.0,0.0,0,2800,0,-2800,0.0,0.0,0.0,0.0,0.0,0,2400,0,-2400,0.0,0.0,0.0,0.0,0.0,0,800,0,-800,0.0,0.0,0.0
B,新潟,2,5.75,1.0,2,200,1150,950,2.8,8.7,1.0,1.9166666666666667,1.0,2,600,1150,550,0.9333333333333333,2.9,0.757,0.85,1.0,2,600,510,-90,0.7666666666666667,0.9333333333333333,0.0,0.0,0.0,0,200,0,-200,0.0,0.0,0.0,0.0,0.0,0,200,0,-200,0.0,0.0,0.0,0.0,0.0,0,600,0,-600,0.0,0.0,0.0,0.4166666666666667,0.5,1,600,250,-350,0.0,0.8333333333333334,0.0,0.0,0.0,0,200,0,-200,0.0,0.0,0.0,0.0,0.0,0,1400,0,-1400,0.0,0.0,0.0,0.0,0.0,0,1200,0,-1200,0.0,0.0,0.0,0.0,0.0,0,400,0,-400,0.0,0.0,0.0
B,東京,3,1.4,0.3333333333333333,1,300,420,120,0.0,4.2,0.737,0.7222222222222222,0.6666666666666666,2,900,650,-250,0.25555555555555554,1.4,0.165,0.5222222222222223,0.6666666666666666,2,900,470,-430,0.24444444444444444,0.8333333333333334,0.0,1.2333333333333334,0.3333333333333333,1,300,370,70,0.0,3.7,0.737,0.4666666666666667,0.3333333333333333,1,300,140,-160,0.0,1.4,0.035,0.5666666666666667,0.6666666666666666,2,900,510,-390,0.15555555555555556,1.2333333333333334,0.037,0.3333333333333333,0.6666666666666666,2,900,300,-600,0.12222222222222222,0.6333333333333333,0.0,0.0,0.0,0,300,0,-300,0.0,0.0,0.0,1.0285714285714285,0.6666666666666666,2,2100,2160,60,0.16666666666666666,2.585714285714286,0.631,0.0,0.0,0,1800,0,-1800,0.0,0.0,0.0,0.0,0.0,0,600,0,-600,0.0,0.0,0.0
B,阪神,5,0.88,0.4,2,500,440,-60,0.0,1.98,0.383,0.8066666666666666,0.8,4,1500,1210,-290,0.29333333333333333,1.3,0.229,0.98,1.0,5,1500,1470,-30,0.5333333333333333,1.64,0.439,0.78,0.2,1,500,390,-110,0.0,2.34,0.274,0.64,0.2,1,500,320,-180,0.0,1.92,0.275,0.47333333333333333,0.4,2,1500,710,-790,0.0,0.9478333333333323,0.011,0.2866666666666667,0.4,2,1500,430,-1070,0.0,0.5738333333333329,0.0,0.0,0.0,0,500,0,-500,0.0,0.0,0.0,0.0,0.0,0,3500,0,-3500,0.0,0.0,0.0,0.0,0.0,0,3000,0,-3000,0.0,0.0,0.0,0.0,0.0,0,1000,0,-1000,0.0,0.0,0.0
