race_date,course_code,course_name,race_no,class_code,distance,num_starters,umaban,horse_id,horse_name,sex,age,jockey_code,jockey_name,trainer_name,weight,finish_pos,finish_time,finish_time_sec,tansho_odds
2009-09-08,45,川崎,1,4,800,5,1,2007109306,ニッショウシンザン,牡,2,05331,山崎尋美,山崎誠士,441,5,0:52.5,52.5,
2009-09-08,45,川崎,1,4,800,5,2,2007100953,リギル,牡,2,05552,高月賢一,金子正彦,521,2,0:50.6,50.6,
2009-09-08,45,川崎,1,4,800,5,3,2007104357,フェイスミラクル,牝,2,05524,久保秀男,藤江渉,436,1,0:50.6,50.6,
2009-09-08,45,川崎,1,4,800,5,4,2007104793,ピーエムイレブン,牡,2,20480,福島秀夫,山林堂信,479,4,0:51.3,51.3,
2009-09-08,45,川崎,1,4,800,5,5,2007106609,ワタリカイザー,牡,2,05388,佐々木仁,酒井忍,465,3,0:51.2,51.2,
2009-09-08,45,川崎,2,4,800,6,1,2007102277,グレースビスティー,牝,2,05331,山崎尋美,山崎誠士,430,3,0:52.2,52.2,
2009-09-08,45,川崎,2,4,800,6,2,2007105886,シナノキセキ,牡,2,05552,高月賢一,金子正彦,436,5,0:53.6,53.6,
2009-09-08,45,川崎,2,4,800,6,3,2007109347,ハッピーサオリン,牝,2,05603,長谷川三,藤江渉,499,6,0:53.8,53.8,
2009-09-08,45,川崎,2,4,800,6,4,2007100586,ブルーマーサー,牝,2,05302,内田勝義,真島大輔,474,1,0:51.6,51.6,
2009-09-08,45,川崎,2,4,800,6,5,2007104531,スプレンディッド,牡,2,05049,八木仁,酒井忍,484,2,0:51.7,51.7,
2009-09-08,45,川崎,2,4,800,6,6,2007100200,ハネダフクサ,牡,2,05592,岩本洋,佐藤博紀,435,4,0:52.8,52.8,
2009-09-08,45,川崎,3,4,800,6,1,2007106143,フェイスキング,牡,2,05552,高月賢一,山崎誠士,542,4,0:51.7,51.7,
2009-09-08,45,川崎,3,4,800,6,2,2007104016,メジャーボス,牡,2,05627,吉橋淳一,町田直希,482,5,0:52.0,52.0,
2009-09-08,45,川崎,3,4,800,6,3,2007100585,フェイスウィン,牝,2,05552,高月賢一,藤江渉,455,2,0:51.6,51.6,
2009-09-08,45,川崎,3,4,800,6,4,2007102428,キザハシ,牡,2,05388,佐々木仁,佐藤博紀,515,3,0:51.6,51.6,
2009-09-08,45,川崎,3,4,800,6,5,2007100707,マサヒロ,牡,2,05392,池田孝,酒井忍,438,6,0:52.3,52.3,
2009-09-08,45,川崎,3,4,800,6,6,2007104513,エコリライアブル,牡,2,05532,田村予志,真島大輔,445,1,0:50.3,50.3,
2009-09-08,45,川崎,4,4,900,4,1,2006106852,ネヴァプレジデント,セン,3,05331,山崎尋美,山崎誠士,476,4,0:59.1,59.1,
2009-09-08,45,川崎,4,4,900,4,2,2006106569,アリーペデ,牝,3,05552,高月賢一,今野忠成,476,1,0:58.7,58.7,
2009-09-08,45,川崎,4,4,900,4,3,2006104628,ゴールデンイーグル,牡,3,05275,八木正喜,山林堂信,443,2,0:58.7,58.7,
2009-09-08,45,川崎,4,4,900,4,4,2006104780,コウギョウサクラ,牡,3,05388,佐々木仁,佐藤博紀,441,3,0:58.8,58.8,
2009-09-08,45,川崎,5,4,900,5,1,2006104880,ナイル,牝,3,05302,内田勝義,山崎誠士,447,4,0:57.9,57.9,
2009-09-08,45,川崎,5,4,900,5,2,2006105041,サイレントヤマト,牡,3,05288,鈴木敏一,今野忠成,441,1,0:57.9,57.9,
2009-09-08,45,川崎,5,4,900,5,3,2006102014,クールザヒート,牡,3,20139,佐藤健二,藤江渉,430,5,0:58.0,58.0,
2009-09-08,45,川崎,5,4,900,5,4,2006104517,ウメムスメ,牝,3,05424,足立勝久,佐藤博紀,471,2,0:57.9,57.9,
2009-09-08,45,川崎,5,4,900,5,5,2006102390,ワタリサウンド,牡,3,05388,佐々木仁,坂井英光,470,3,0:57.9,57.9,
