horse_name,horse_id,umaban,horse_weight,weight_carry,age,sex,distance,surface,condition,course,course_enc,surface_enc,condition_enc,sex_enc,horse_num,num_horses,odds,pop_rank,jockey_name,finish,bracket,race_id,prev_finish,prev2_finish,prev3_finish,avg_finish_3r,best_finish_3r,top3_count_3r,finish_trend,prev_odds_log,rest_days,rest_category,dist_change,dist_change_abs,target
フレディバローズ,2018100419,12,484,56.0,4,牡,1600,ダ,良,,10,1,0,0,12,16,15.0,8,矢野貴之,1,6,202244012501,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
ランペロニキ,2018105812,16,520,56.0,4,牡,1600,ダ,良,,10,1,0,0,16,16,15.0,8,森泰斗,2,8,202244012501,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
グリーンフラッシュ,2018109112,2,463,54.0,4,牝,1600,ダ,良,,10,1,0,1,2,16,15.0,8,安藤洋一,3,1,202244012501,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,1
ツカサ,2018102815,9,482,56.0,4,セ,1600,ダ,良,,10,1,0,2,9,16,15.0,8,山本聡紀,4,5,202244012501,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ノーブルフューチャ,2016101827,11,478,54.0,6,牝,1600,ダ,良,,10,1,0,1,11,16,15.0,8,吉井章,5,6,202244012501,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ロイヤルピンク,2014103856,15,444,54.0,8,牝,1600,ダ,良,,10,1,0,1,15,16,15.0,8,岡村健司,6,8,202244012501,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
ロッツオブハピネス,2018105727,10,461,54.0,4,牝,1600,ダ,良,,10,1,0,1,10,16,15.0,8,横川怜央,7,5,202244012501,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
カズノマンゲツ,2017101854,7,443,54.0,5,牝,1600,ダ,良,,10,1,0,1,7,16,15.0,8,石川駿介,8,4,202244012501,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
パワポケロワージ,2015106366,6,481,56.0,7,牡,1600,ダ,良,,10,1,0,0,6,16,15.0,8,的場文男,9,3,202244012501,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
アンジュールレーヌ,2018102788,4,461,54.0,4,牝,1600,ダ,良,,10,1,0,1,4,16,15.0,8,藤田凌,10,2,202244012501,5,5,5,5.0,5,0,0,2.772588722239781,30,2,0,0,0
