race_id,horse_id,corner_position_delta,jockey_trainer_combo_top3_exp
0318251103,10100034.0,,0.3333333333333333
0518141009,10100034.0,-3.0,
0518171004,10100034.0,-2.0,0.0
0518231014,10100034.0,-7.0,0.0
05182A1201,10100034.0,-2.0,0.14285714285714285
05182C1115,10100034.0,-5.0,0.13333333333333333
0618110903,10100034.0,-11.0,0.6666666666666666
0618161111,10100034.0,1.0,0.0
0618271014,10100034.0,1.0,0.1
0618371001,10100034.0,-2.0,0.09523809523809523
0718311111,10100034.0,-1.0,0.08695652173913043
0318141115,10100035.0,,
0320141112,10100035.0,-4.0,0.12
0418141104,10100035.0,-2.0,
0420121101,10100035.0,-6.0,0.1111111111111111
0518341111,10100035.0,-2.0,0.0
0619561105,10100035.0,-5.0,0.0
0620111110,10100035.0,-1.0,0.0
0518151209,10100155.0,,0.0
0718121114,10100155.0,-8.0,0.0
0718151108,10100155.0,-17.0,
0718221207,10100155.0,-18.0,0.5
0718311001,10100155.0,-10.0,0.14285714285714285
0719151109,10100155.0,-15.0,0.0
0719221207,10100155.0,-9.0,0.375
0719251204,10100155.0,-15.0,0.5714285714285714
0918350907,10100155.0,1.0,0.047619047619047616
0518171007,10100307.0,,
05182C1113,10100307.0,-12.0,0.08
0518371103,10100307.0,-8.0,0.3333333333333333
0618110911,10100307.0,-11.0,0.0
0618161107,10100307.0,1.0,0.0
0618271003,10100307.0,3.0,0.0759493670886076
0618371002,10100307.0,5.0,0.2413793103448276
0618511003,10100307.0,4.0,0.2222222222222222
0619110906,10100307.0,2.0,0.07954545454545454
0619231002,10100307.0,-6.0,0.08888888888888889
0619271013,10100307.0,-1.0,0.08333333333333333
0818411105,10100307.0,-1.0,0.0
0918121009,10100307.0,1.0,
1018211103,10100307.0,0.0,0.0
1018291102,10100307.0,0.0,0.0
0818321112,10100356.0,,0.3333333333333333
0818371113,10100356.0,-11.0,0.09090909090909091
0918311104,10100356.0,-4.0,0.10909090909090909
0918361105,10100356.0,0.0,0.09090909090909091
0918491101,10100356.0,-9.0,0.08823529411764706
10182A1104,10100356.0,-5.0,0.16129032258064516
0718321002,10100463.0,,
0818321207,10100463.0,-12.0,0.17647058823529413
0918161205,10100463.0,-13.0,0.29411764705882354
0918440915,10100463.0,-15.0,0.16666666666666666
0418121108,10100483.0,,
0618261002,10100483.0,-7.0,0.0
0718321101,10100483.0,-6.0,
08183C1011,10100483.0,-7.0,0.0
0618240409,10100540.0,,
0618510811,10100540.0,3.0,1.0
0618571008,10100540.0,0.0,0.0
0619310809,10100540.0,0.0,0.0
0619371102,10100540.0,1.0,0.0
0818210805,10100540.0,-6.0,
0818420401,10100540.0,3.0,0.0
0818530802,10100540.0,2.0,0.7142857142857143
0819530813,10100540.0,2.0,0.0
0418130401,10100656.0,,
0418250401,10100656.0,1.0,
0618130811,10100656.0,1.0,0.0
0818280405,10100656.0,2.0,0.0
0118241109,10100690.0,,
0218121106,10100690.0,-12.0,0.0
0220141105,10100690.0,-13.0,0.0
0618491113,10100690.0,-13.0,0.0
0620231104,10100690.0,-11.0,0.0
0719261105,10100690.0,-14.0,0.10526315789473684
0720181104,10100690.0,-8.0,0.08695652173913043
0818361111,10100690.0,-9.0,0.1951219512195122
0819151107,10100690.0,-11.0,0.38461538461538464
0819221118,10100690.0,-11.0,1.0
0820131115,10100690.0,-15.0,0.14754098360655737
0820221104,10100690.0,-12.0,0.13846153846153847
0818391103,10100855.0,,0.1875
0319110501,10100880.0,,0.0
0418130407,10100880.0,-10.0,0.14285714285714285
0518550811,10100880.0,-5.0,0.0
0618130802,10100880.0,-6.0,
0619210807,10100880.0,0.0,0.0
0718430511,10100880.0,-3.0,
0519121115,10100960.0,,
0618541101,10100960.0,-10.0,0.0
0818521004,10100960.0,-8.0,0.3333333333333333
0818130903,10101161.0,,0.0
0818170905,10101161.0,2.0,0.0
0818251006,10101161.0,0.0,0.0
08183C0808,10101161.0,0.0,0.125
0818491112,10101161.0,0.0,0.2
0818551113,10101161.0,-1.0,0.18181818181818182
0820171110,10101161.0,1.0,0.15384615384615385
0918321104,10101161.0,0.0,0.11764705882352941
0918381111,10101161.0,0.0,0.16666666666666666
0918511112,10101161.0,0.0,0.15789473684210525
0919141102,10101161.0,0.0,0.15
0919181105,10101161.0,-1.0,0.14285714285714285
0920141113,10101161.0,-10.0,0.14285714285714285
0920311110,10101161.0,-2.0,0.22302158273381295
1019141101,10101161.0,-1.0,0.16
10201C1105,10101161.0,0.0,0.21428571428571427
0218241003,10101257.0,,0.13333333333333333
0518271213,10101257.0,-2.0,
0518361002,10101257.0,-15.0,0.16666666666666666
0618171014,10101326.0,,0.1111111111111111
0818141212,10101326.0,-11.0,0.0
0818231212,10101326.0,-15.0,0.2857142857142857
0818311001,10101326.0,-10.0,0.38
0918121210,10101326.0,-6.0,0.0
