race_id,course,race_num,race_name,condition,num_horses,distance,surface,track_condition,top1_num,top1_name,top1_score,top2_num,top3_num,top1_finish,top2_finish,top3_finish,trio_bets,trio_result,bet_type,trio_hit,trio_payout,umaren_payout,actual_payout,investment,profit,status,date,umaren_hit,trio_bets_str
202606020501,中山,1,中山1R,C,,,,,,,,,,2.0,9,4,,6-8-11,,0.0,0,0,,700,-700,settled,20260314,0.0,
202606020502,中山,2,中山2R,C,,,,,,,,,,2.0,4,3,,5-12-14,,0.0,0,0,,700,-700,settled,20260314,0.0,
202606020503,中山,3,中山3R,D,,,,,,,,,,2.0,1,3,,4-9-13,,1.0,570,0,,700,-130,settled,20260314,0.0,
202606020504,中山,4,中山4R,C,,,,,,,,,,1.0,2,8,,7-8-11,,0.0,0,0,,700,-700,settled,20260314,0.0,
202606020505,中山,5,レース,C,16.0,1600.0,芝,良,11.0,アイムイン,0.1988226976964497,4.0,9.0,5.0,2,7,2-4-11; 2-9-11; 4-5-11; 4-8-11; 4-9-11; 5-9-11; 8-9-11,4-5-8,trio,0.0,0,0,0.0,700,-700,settled,20260314,,
202606020506,中山,6,レース,C,16.0,1800.0,ダ,良,12.0,テンカムテキ,0.1574649023659729,13.0,4.0,3.0,12,4,1-4-12; 1-12-13; 4-9-12; 4-11-12; 4-12-13; 9-12-13; 11-12-13,3-12-15,trio,0.0,0,0,0.0,700,-700,settled,20260314,,
202606020507,中山,7,レース,A,10.0,2500.0,芝,良,7.0,ノクターン,0.1834722115245527,1.0,4.0,2.0,1,5,1-2-7; 1-4-7; 1-6-7; 1-7-9; 2-4-7; 4-6-7; 4-7-9,1-2-7,trio,1.0,1780,0,1780.0,700,1080,settled,20260314,,
202606020508,中山,8,レース,D,16.0,1200.0,ダ,良,15.0,トモジャシーマ,0.1507907490291375,1.0,13.0,2.0,3,6,1-7-15; 1-10-15; 1-11-15; 1-13-15; 7-13-15; 10-13-15; 11-13-15,1-12-15,trio,0.0,0,0,0.0,700,-700,settled,20260314,,
202606020509,中山,9,レース,A,10.0,2000.0,芝,良,9.0,テンミラクルスター,0.165856199793038,11.0,3.0,1.0,7,4,1-3-9; 1-9-11; 3-8-9; 3-9-10; 3-9-11; 8-9-11; 9-10-11,6-7-9,trio,0.0,0,0,0.0,700,-700,settled,20260314,,
202606020510,中山,10,レース,C,16.0,1600.0,芝,良,7.0,ヒシアマン,0.164323526226143,10.0,13.0,2.0,5,4,2-7-10; 2-7-13; 5-7-10; 5-7-13; 6-7-10; 6-7-13; 7-10-13,6-7-16,trio,0.0,0,0,0.0,700,-700,settled,20260314,,
202606020511,中山,11,レース,C,16.0,1600.0,芝,良,2.0,バルボアパーク,0.1584094431395503,4.0,10.0,3.0,1,4,2-4-7; 2-4-9; 2-4-10; 2-4-13; 2-7-10; 2-9-10; 2-10-13,2-4-16,trio,0.0,0,0,0.0,700,-700,settled,20260314,,
