race_id,course,race_num,race_name,condition,trio_hit,trio_payout,umaren_hit,umaren_payout,investment,profit,status,top1_finish,top2_finish,top3_finish,trio_result
202607010101,中京,1,レース,A,0,0,0,0,700,-700,settled,1,4,5,3-4-5
202607010102,中京,2,レース,D,0,0,0,0,700,-700,settled,12,-,-,2-5-6
202607010103,中京,3,レース,A,0,0,0,0,700,-700,settled,7,-,-,1-4-4
202607010104,中京,4,レース,C,0,0,0,0,700,-700,settled,15,16,-,3-6-7
202607010105,中京,5,レース,C,0,0,0,0,700,-700,settled,14,9,15,3-6-7
202607010106,中京,6,レース,C,0,0,0,0,700,-700,settled,-,-,-,2-5-6
202607010107,中京,7,レース,C,0,0,0,0,700,-700,settled,8,14,4,1-5-7
202607010108,中京,8,レース,D,0,0,0,0,700,-700,settled,-,-,-,1-6-7
202607010109,中京,9,レース,A,0,0,0,0,700,-700,settled,-,9,7,1-2-7
202607010110,中京,10,レース,A,0,0,0,0,700,-700,settled,4,3,6,1-6-7
202607010111,中京,11,レース,A,0,0,0,0,700,-700,settled,12,-,-,5-6-8
202607010112,中京,12,レース,D,0,0,0,0,700,-700,settled,-,17,-,1-3-8
202606020501,中山,1,レース,C,0,0,0,0,700,-700,settled,12,8,10,4-5-6
202606020502,中山,2,レース,C,0,0,0,0,700,-700,settled,8,15,-,3-6-7
202606020503,中山,3,レース,D,0,0,0,0,700,-700,settled,-,13,-,2-5-7
202606020504,中山,4,レース,C,0,0,0,0,700,-700,settled,16,-,3,4-4-6
202606020505,中山,5,レース,C,0,0,0,0,700,-700,settled,-,11,-,2-3-4
202606020506,中山,6,レース,C,0,0,0,0,700,-700,settled,-,-,10,2-6-8
202606020507,中山,7,レース,A,1,1780,0,0,700,1080,settled,9,1,5,1-2-7
202606020508,中山,8,レース,D,0,0,0,0,700,-700,settled,-,12,-,1-6-8
202606020509,中山,9,レース,A,0,0,0,0,700,-700,settled,-,-,4,6-6-7
202606020510,中山,10,レース,C,0,0,0,0,700,-700,settled,12,-,-,3-4-8
202606020511,中山,11,レース,C,0,0,0,0,700,-700,settled,13,15,-,1-2-8
202606020512,中山,12,レース,D,0,0,0,0,700,-700,settled,-,-,10,3-6-8
202609010701,阪神,1,レース,A,0,0,0,0,700,-700,settled,3,5,4,4-4-8
202609010702,阪神,2,レース,D,0,0,0,0,700,-700,settled,12,-,15,2-4-7
202609010703,阪神,3,レース,A,0,0,0,0,700,-700,settled,11,1,-,1-3-5
202609010704,阪神,4,レース,D,0,0,0,0,700,-700,settled,11,8,-,2-4-7
202609010705,阪神,5,レース,C,0,0,0,0,700,-700,settled,11,10,-,2-5-8
202609010706,阪神,6,レース,A,0,0,0,0,700,-700,settled,-,-,5,1-5-6
202609010707,阪神,7,レース,D,0,0,0,0,700,-700,settled,-,-,16,1-4-4
202609010708,阪神,8,レース,A,0,0,0,0,700,-700,settled,2,-,-,2-3-8
202609010709,阪神,9,レース,D,0,0,0,0,700,-700,settled,13,-,4,3-4-4
202609010710,阪神,10,レース,A,0,0,0,0,700,-700,settled,9,10,2,1-4-7
202609010711,阪神,11,レース,D,0,0,0,0,700,-700,settled,2,-,-,1-4-7
202609010712,阪神,12,レース,A,1,270,0,0,700,-430,settled,2,1,6,3-5-7
