race_id,course,race_num,race_name,condition,bet_type,trio_bets_str,trio_hit,trio_payout,umaren_hit,umaren_payout,investment,profit,status,top1_finish,top2_finish,top3_finish,trio_result
202606030301,3歳未勝利,0,3歳未勝利,D,trio,3-5-8; 3-7-8; 3-8-11; 3-8-12; 5-7-8; 5-8-11; 5-8-12,1,1590,0,0,700,890,settled,1,5,2,5-8-12
202606030302,3歳未勝利,0,3歳未勝利,A,trio,1-5-12; 1-12-14; 5-9-12; 5-10-12; 5-12-14; 9-12-14; 10-12-14,0,0,0,0,700,-700,settled,6,1,2,5-11-14
202606030303,3歳未勝利,0,3歳未勝利,D,trio,1-3-4; 1-4-15; 2-3-4; 2-4-15; 3-4-15; 3-4-16; 4-15-16,0,0,0,0,700,-700,settled,9,2,14,1-2-3
202606030305,3歳未勝利,0,3歳未勝利,C,trio,3-7-13; 3-10-13; 3-11-13; 3-13-15; 7-10-13; 7-11-13; 7-13-15,1,2630,0,0,700,1930,settled,3,1,5,3-11-13
202606030306,3歳未勝利,0,3歳未勝利,A,trio,4-5-8; 4-5-10; 4-7-8; 4-7-10; 4-8-10; 4-8-13; 4-10-13,1,4640,0,0,700,3940,settled,3,6,1,4-7-8
202606030307,4歳以上1勝クラス,0,4歳以上1勝クラス,A,trio,1-2-7; 1-2-8; 1-7-8; 1-7-9; 1-7-10; 1-8-9; 1-8-10,1,2910,0,0,700,2210,settled,1,6,3,1-7-9
202606030308,4歳以上1勝クラス,0,4歳以上1勝クラス,B,trio,1-3-7; 1-7-9; 3-5-7; 3-7-9; 3-7-11; 5-7-9; 7-9-11,0,0,0,0,700,-700,settled,8,2,4,1-3-5
202606030309,山吹賞,0,山吹賞,A,trio,4-5-13; 4-8-13; 5-8-13; 5-10-13; 5-11-13; 8-10-13; 8-11-13,0,0,0,0,700,-700,settled,3,-,10,4-12-13
202606030310,千葉日報杯,0,千葉日報杯,X,trio,3-6-10; 3-10-15; 6-9-10; 6-10-11; 6-10-15; 9-10-15; 10-11-15,0,0,0,0,700,-700,settled,6,2,9,3-6-11
202606030311,ダービー卿CT,0,ダービー卿CT,C,trio,2-8-15; 2-14-15; 4-8-15; 4-14-15; 8-10-15; 8-14-15; 10-14-15,0,0,0,0,700,-700,settled,13,11,3,8-11-16
202606030312,4歳以上2勝クラス,0,4歳以上2勝クラス,D,trio,1-2-3; 1-3-14; 2-3-6; 2-3-13; 2-3-14; 3-6-14; 3-13-14,0,0,0,0,700,-700,settled,7,12,3,1-12-14
202609020302,3歳未勝利,0,3歳未勝利,D,trio,1-10-15; 1-11-15; 1-14-15; 1-15-16; 10-14-15; 11-14-15; 14-15-16,1,3060,0,0,700,2360,settled,1,5,3,1-11-15
202609020303,3歳未勝利,0,3歳未勝利,A,trio,4-6-13; 4-8-13; 4-11-13; 4-12-13; 6-8-13; 6-11-13; 6-12-13,1,1080,0,0,700,380,settled,3,5,2,6-11-13
202609020304,3歳未勝利,0,3歳未勝利,D,trio,5-6-11; 5-11-16; 6-10-11; 6-11-13; 6-11-16; 10-11-16; 11-13-16,0,0,0,0,700,-700,settled,2,1,13,6-9-11
202609020305,3歳未勝利,0,3歳未勝利,C,trio,3-6-8; 3-6-11; 3-6-16; 3-6-17; 3-8-16; 3-11-16; 3-16-17,0,0,0,0,700,-700,settled,4,6,2,8-11-16
202609020306,4歳以上1勝クラス,0,4歳以上1勝クラス,D,trio,2-5-6; 2-6-13; 4-5-6; 4-6-13; 5-6-13; 5-6-14; 6-13-14,0,0,0,0,700,-700,settled,3,15,13,2-6-14
202609020307,4歳以上1勝クラス,0,4歳以上1勝クラス,A,trio,3-5-8; 3-8-9; 4-5-8; 4-8-9; 5-6-8; 5-8-9; 6-8-9,1,400,0,0,700,-300,settled,2,6,1,4-5-8
202609020308,4歳以上2勝クラス,0,4歳以上2勝クラス,D,trio,1-2-7; 1-6-7; 1-7-8; 1-7-9; 2-6-7; 2-7-8; 2-7-9,1,630,0,0,700,-70,settled,3,1,2,1-2-7
202609020309,アザレア賞,0,アザレア賞,A,trio,2-3-4; 2-4-6; 2-4-7; 2-4-9; 3-4-7; 4-6-7; 4-7-9,1,790,0,0,700,90,settled,1,2,9,2-3-4
202609020310,ポラリスS,0,ポラリスS,D,trio,3-5-8; 3-6-8; 3-7-8; 3-8-12; 5-7-8; 6-7-8; 7-8-12,0,0,0,0,700,-700,settled,12,2,5,5-7-12
202609020311,チャーチルダウンズC,0,チャーチルダウンズC,A,trio,3-6-10; 3-7-10; 3-8-10; 3-10-14; 6-8-10; 7-8-10; 8-10-14,0,0,0,0,700,-700,settled,3,8,9,10-11-14
202609020312,4歳以上2勝クラス,0,4歳以上2勝クラス,D,trio,3-5-6; 3-5-14; 5-6-9; 5-6-14; 5-6-15; 5-9-14; 5-14-15,0,0,0,0,700,-700,settled,2,15,8,3-5-11
