race_id,course,race_num,race_name,condition,bet_type,trio_bets_str,trio_hit,trio_payout,umaren_hit,umaren_payout,investment,profit,status,top1_finish,top2_finish,top3_finish,trio_result,distance,surface
202606030501,中山,1,3歳未勝利,X,trio,2-8-13; 2-8-16; 2-10-13; 2-10-16; 2-13-15; 2-13-16; 2-15-16,0,0,0,0,700,-700,settled,1,15,4,2-5-15,1800,ダ
202606030502,中山,2,3歳未勝利,D,trio,5-6-12; 5-10-12; 5-12-14; 5-12-15; 6-12-15; 10-12-15; 12-14-15,0,0,0,0,700,-700,settled,10,2,3,5-9-15,1200,ダ
202606030503,中山,3,3歳未勝利,B,trio,1-4-10; 1-4-13; 1-5-10; 1-5-13; 1-10-11; 1-10-13; 1-11-13,0,0,0,0,700,-700,settled,4,3,1,4-10-13,1800,ダ
202606030505,中山,5,3歳未勝利,C,trio,2-3-6; 2-5-6; 2-6-9; 2-6-11; 3-5-6; 3-6-9; 3-6-11,0,0,0,0,700,-700,settled,2,1,6,2-6-16,1600,芝
202606030506,中山,6,3歳未勝利,C,trio,2-13-17; 2-13-18; 3-13-17; 3-13-18; 11-13-17; 11-13-18; 13-17-18,0,0,0,0,700,-700,settled,2,1,10,13-14-17,2000,芝
202606030507,中山,7,3歳1勝クラス,D,trio,5-9-14; 5-9-15; 6-9-14; 6-9-15; 9-11-14; 9-11-15; 9-14-15,0,0,0,0,700,-700,settled,1,7,12,2-8-9,1200,ダ
202606030508,中山,8,4歳以上1勝クラス,C,trio,4-7-14; 4-10-14; 7-8-14; 7-10-14; 7-12-14; 8-10-14; 10-12-14,0,0,0,0,700,-700,settled,2,1,7,1-7-14,1800,ダ
202606030509,中山,9,山藤賞,E,umaren,3-5; 5-7,0,0,0,0,700,-700,settled,2,3,5,3-5-6,2000,芝
202606030510,中山,10,卯月S,D,trio,2-4-5; 2-4-6; 2-4-11; 2-4-13; 4-5-11; 4-6-11; 4-11-13,0,0,0,0,700,-700,settled,6,5,2,2-5-6,1200,ダ
202606030511,中山,11,ニュージーランドT,C,trio,3-5-11; 3-11-14; 4-5-11; 4-11-14; 5-7-11; 5-11-14; 7-11-14,0,0,0,0,700,-700,settled,6,3,4,3-5-7,1600,芝
