race_id,course,race_num,race_name,condition,bet_type,trio_bets_str,trio_hit,trio_payout,umaren_hit,umaren_payout,investment,profit,status,top1_finish,top2_finish,top3_finish,trio_result,distance,surface
202606030601,中山,1,3歳未勝利,D,trio,4-6-9; 4-9-15; 5-6-9; 5-9-15; 6-9-12; 6-9-15; 9-12-15,1,510,0,0,700,-190,settled,1,2,3,6-9-15,1200,ダ
202606030602,中山,2,3歳未勝利,A,trio,1-2-4; 1-2-6; 1-2-12; 1-2-15; 2-4-15; 2-6-15; 2-12-15,0,0,0,0,700,-700,settled,4,5,3,1-6-12,1800,ダ
202606030603,中山,3,3歳未勝利,D,trio,5-7-8; 5-7-12; 5-7-13; 5-7-14; 5-8-12; 5-12-13; 5-12-14,1,5630,0,0,700,4930,settled,3,1,5,5-12-14,1200,ダ
202606030605,中山,5,3歳未勝利,C,trio,1-3-14; 1-5-14; 1-11-14; 1-14-17; 3-5-14; 3-11-14; 3-14-17,0,0,0,0,700,-700,settled,15,6,2,3-8-15,2200,芝
202606030606,中山,6,3歳1勝クラス,A,trio,3-8-9; 3-8-11; 4-8-9; 4-8-11; 6-8-9; 6-8-11; 8-9-11,0,0,0,0,700,-700,settled,10,3,11,5-6-9,1800,ダ
202606030607,中山,7,4歳以上1勝クラス,C,trio,1-4-8; 1-8-9; 4-8-9; 4-8-10; 4-8-14; 8-9-10; 8-9-14,0,0,0,0,700,-700,settled,1,2,13,5-8-9,1600,芝
202606030608,中山,8,4歳以上2勝クラス,A,trio,1-5-9; 1-6-9; 1-8-9; 1-9-10; 5-9-10; 6-9-10; 8-9-10,0,0,0,0,700,-700,settled,5,3,1,1-4-10,1800,芝
202606030609,中山,9,印西特別,A,trio,1-5-7; 1-7-8; 1-7-10; 1-7-11; 5-7-11; 7-8-11; 7-10-11,0,0,0,0,700,-700,settled,2,11,6,5-7-12,2400,ダ
202606030610,中山,10,あけぼのS,A,trio,3-5-6; 3-6-9; 5-6-7; 5-6-8; 5-6-9; 6-7-9; 6-8-9,1,1620,0,0,700,920,settled,3,6,2,5-6-7,1600,芝
202606030611,中山,11,春雷S,D,trio,1-2-11; 1-8-11; 2-3-11; 2-8-11; 2-10-11; 3-8-11; 8-10-11,0,0,0,0,700,-700,settled,12,7,4,7-9-16,1200,芝
202606030612,中山,12,4歳以上1勝クラス,D,trio,2-6-12; 2-12-13; 6-9-12; 6-11-12; 6-12-13; 9-12-13; 11-12-13,0,0,0,0,700,-700,settled,1,11,4,1-2-12,1200,ダ
202603010201,福島,1,3歳未勝利,C,trio,1-3-14; 1-11-14; 3-10-14; 3-11-14; 3-13-14; 10-11-14; 11-13-14,1,1330,0,0,700,630,settled,3,1,9,11-13-14,1700,ダ
202603010202,福島,2,3歳未勝利,D,trio,4-5-9; 4-6-9; 4-7-9; 4-9-10; 5-9-10; 6-9-10; 7-9-10,0,0,0,0,700,-700,settled,2,6,1,9-10-14,1200,芝
202603010203,福島,3,3歳未勝利,C,trio,2-6-15; 2-11-15; 4-6-15; 4-11-15; 6-9-15; 6-11-15; 9-11-15,0,0,0,0,700,-700,settled,6,2,1,6-10-11,1700,ダ
202603010204,福島,4,3歳未勝利,D,trio,2-9-16; 2-13-16; 4-9-16; 4-13-16; 9-13-16; 9-14-16; 13-14-16,1,4960,0,0,700,4260,settled,2,-,3,13-14-16,1200,芝
202603010205,福島,5,3歳未勝利,C,trio,2-12-13; 2-12-14; 6-12-13; 6-12-14; 12-13-14; 12-13-15; 12-14-15,0,0,0,0,700,-700,settled,12,15,7,2-6-10,1800,芝
202603010206,福島,6,4歳以上1勝クラス,C,trio,3-11-12; 3-12-15; 4-11-12; 4-12-15; 6-11-12; 6-12-15; 11-12-15,1,2610,0,0,700,1910,settled,2,3,1,11-12-15,2000,芝
202603010207,福島,7,4歳以上1勝クラス,C,trio,3-11-15; 3-13-15; 4-11-15; 4-13-15; 8-11-15; 8-13-15; 11-13-15,1,3090,0,0,700,2390,settled,2,1,10,4-11-15,1700,ダ
202603010208,福島,8,4歳以上1勝クラス,D,trio,6-7-13; 6-9-13; 6-10-13; 6-11-13; 7-9-13; 7-10-13; 7-11-13,1,3770,0,0,700,3070,settled,3,1,7,7-11-13,1200,芝
202603010209,福島,9,燧ケ岳特別,A,trio,1-2-6; 1-6-11; 2-4-6; 2-6-11; 2-6-12; 4-6-11; 6-11-12,0,0,0,0,700,-700,settled,5,4,8,4-9-12,2600,芝
202603010210,福島,10,喜多方特別,D,trio,2-3-8; 2-3-13; 3-8-9; 3-8-13; 3-8-15; 3-9-13; 3-13-15,0,0,0,0,700,-700,settled,7,1,10,6-8-14,1150,ダ
202603010211,福島,11,福島民報杯,C,trio,1-2-11; 1-11-14; 2-8-11; 2-11-13; 2-11-14; 8-11-14; 11-13-14,1,12760,0,0,700,12060,settled,1,3,14,8-11-14,2000,芝
202603010212,福島,12,4歳以上1勝クラス,C,trio,6-13-15; 6-14-15; 7-13-15; 7-14-15; 11-13-15; 11-14-15; 13-14-15,1,2820,0,0,700,2120,settled,2,10,1,6-13-15,1700,ダ
202609020601,阪神,1,3歳未勝利,D,trio,3-8-10; 3-10-15; 5-8-10; 5-10-15; 6-8-10; 6-10-15; 8-10-15,0,0,0,0,700,-700,settled,6,2,12,6-11-15,1400,ダ
202609020602,阪神,2,3歳未勝利,C,trio,1-2-8; 1-6-8; 1-8-15; 1-8-16; 2-8-15; 6-8-15; 8-15-16,0,0,0,0,700,-700,settled,1,5,12,4-8-12,1800,ダ
202609020603,阪神,3,3歳未勝利,D,trio,2-4-9; 2-9-12; 4-7-9; 4-9-11; 4-9-12; 7-9-12; 9-11-12,1,510,0,0,700,-190,settled,1,2,3,4-9-12,1200,ダ
202609020604,阪神,4,3歳未勝利,C,trio,3-7-11; 3-8-11; 3-11-13; 3-11-14; 7-8-11; 8-11-13; 8-11-14,0,0,0,0,700,-700,settled,1,4,2,3-6-11,1600,芝
202609020605,阪神,5,3歳1勝クラス,D,trio,2-7-9; 2-9-14; 6-7-9; 6-9-14; 7-9-11; 7-9-14; 9-11-14,0,0,0,0,700,-700,settled,7,8,3,8-14-16,1400,ダ
202609020607,阪神,7,4歳以上2勝クラス,A,trio,2-3-6; 2-3-10; 2-4-6; 2-4-10; 2-6-10; 2-6-11; 2-10-11,0,0,0,0,700,-700,settled,1,6,5,2-4-11,1600,芝
202609020608,阪神,8,川西特別,A,trio,1-3-5; 1-3-11; 2-3-5; 2-3-11; 3-5-8; 3-5-11; 3-8-11,0,0,0,0,700,-700,settled,9,2,10,1-8-11,1800,ダ
202609020609,阪神,9,忘れな草賞,A,trio,3-6-12; 3-9-12; 6-9-12; 6-10-12; 6-12-13; 9-10-12; 9-12-13,0,0,0,0,700,-700,settled,7,13,2,1-9-14,2000,芝
202609020610,阪神,10,京橋S,C,trio,2-5-10; 2-8-10; 5-7-10; 5-8-10; 5-9-10; 7-8-10; 8-9-10,0,0,0,0,700,-700,settled,12,3,15,2-5-7,2000,芝
