race_id,course,race_num,race_name,condition,bet_type,trio_bets_str,trio_hit,trio_payout,umaren_hit,umaren_payout,actual_payout,investment,profit,status,top1_finish,top2_finish,top3_finish,trio_result,distance,surface
202608030101,京都,1,3歳未勝利,C,trio,3-5-6; 3-6-10; 5-6-10; 5-6-11; 5-6-14; 6-10-11; 6-10-14,0,0,0,0,0,700,-700,settled,6,2,14,5-9-11,1800,ダ
202608030102,京都,2,3歳未勝利,D,trio,3-8-10; 3-8-15; 3-10-11; 3-10-12; 3-10-15; 3-11-15; 3-12-15,0,0,0,0,0,700,-700,settled,3,8,4,3-11-12,1400,ダ
202608030103,京都,3,3歳未勝利,C,trio,1-4-12; 1-8-12; 1-11-12; 1-12-13; 4-8-12; 4-11-12; 4-12-13,0,0,0,0,0,700,-700,settled,2,6,10,9-12-15,1800,芝
202608030105,京都,5,3歳未勝利,A,trio,1-2-3; 1-2-5; 1-2-9; 1-2-10; 1-3-5; 1-5-9; 1-5-10,0,0,0,0,0,700,-700,settled,2,1,5,1-4-5,2200,芝
202608030106,京都,6,3歳未勝利,C,trio,1-2-15; 1-14-15; 2-4-15; 2-8-15; 2-14-15; 4-14-15; 8-14-15,0,0,0,0,0,700,-700,settled,4,5,8,1-8-16,1600,芝
202608030107,京都,7,3歳1勝クラス,A,trio,1-6-7; 1-7-11; 2-6-7; 2-7-11; 3-6-7; 3-7-11; 6-7-11,0,0,0,0,0,700,-700,settled,10,13,2,3-6-10,1800,ダ
202608030108,京都,8,あやめ賞,E,umaren,1-2; 2-5,0,0,0,0,0,700,-700,settled,1,4,5,2-3-4,1800,芝
202608030109,京都,9,4歳以上1勝クラス,D,trio,1-2-7; 1-2-9; 2-4-7; 2-4-9; 2-5-7; 2-5-9; 2-7-9,0,0,0,0,0,700,-700,settled,4,14,2,6-7-10,1400,芝
202608030110,京都,10,観月橋S,A,trio,3-4-7; 3-4-10; 4-7-8; 4-7-9; 4-7-10; 4-8-10; 4-9-10,0,0,0,0,0,700,-700,settled,8,5,10,2-3-9,1800,ダ
202608030111,京都,11,天王山S,D,trio,1-5-12; 1-7-12; 1-10-12; 1-11-12; 5-11-12; 7-11-12; 10-11-12,0,0,0,0,0,700,-700,settled,7,2,12,2-3-11,1200,ダ
202608030112,京都,12,4歳以上2勝クラス,A,trio,1-2-5; 1-2-6; 1-2-7; 1-2-11; 2-5-11; 2-6-11; 2-7-11,0,0,0,0,0,700,-700,settled,1,3,4,2-9-11,1600,芝
202605020101,東京,1,3歳未勝利,A,trio,1-10-12; 1-12-13; 6-10-12; 6-12-13; 7-10-12; 7-12-13; 10-12-13,0,0,0,0,0,700,-700,settled,2,1,14,8-12-13,1600,ダ
202605020102,東京,2,3歳未勝利,D,trio,4-5-11; 4-5-13; 4-5-14; 4-5-16; 5-11-16; 5-13-16; 5-14-16,0,0,0,0,0,700,-700,settled,12,2,1,4-14-16,1400,ダ
202605020103,東京,3,3歳未勝利,A,trio,4-6-11; 4-7-11; 4-9-11; 4-11-12; 6-7-11; 7-9-11; 7-11-12,0,0,0,0,0,700,-700,settled,2,8,7,5-6-11,2100,ダ
202605020104,東京,4,3歳未勝利,C,trio,1-6-12; 1-10-12; 1-12-13; 1-12-15; 6-10-12; 10-12-13; 10-12-15,0,0,0,0,0,700,-700,settled,1,4,2,1-2-12,1800,芝
202605020105,東京,5,3歳未勝利,D,trio,3-6-17; 3-11-17; 3-13-17; 3-14-17; 6-11-17; 11-13-17; 11-14-17,0,0,0,0,0,700,-700,settled,7,1,9,2-3-6,1400,芝
202605020106,東京,6,3歳1勝クラス,C,trio,2-5-10; 2-8-10; 5-7-10; 5-8-10; 5-10-13; 7-8-10; 8-10-13,0,0,0,0,0,700,-700,settled,1,2,7,8-10-11,1600,ダ
202605020107,東京,7,4歳以上1勝クラス,D,trio,4-10-16; 4-12-16; 5-10-16; 5-12-16; 8-10-16; 8-12-16; 10-12-16,0,0,0,0,0,700,-700,settled,2,4,16,3-5-16,1400,ダ
202605020108,東京,8,4歳以上1勝クラス,A,trio,1-4-7; 1-4-8; 1-5-7; 1-5-8; 1-6-7; 1-6-8; 1-7-8,0,0,0,0,0,700,-700,settled,5,8,3,3-4-7,1600,芝
202605020109,東京,9,石和特別,A,trio,1-4-6; 1-4-9; 2-4-6; 2-4-9; 4-6-7; 4-6-9; 4-7-9,0,0,0,0,0,700,-700,settled,7,2,1,6-7-9,1800,芝
202605020110,東京,10,鎌倉S,D,trio,4-5-8; 4-5-14; 5-8-12; 5-8-14; 5-8-15; 5-12-14; 5-14-15,0,0,0,0,0,700,-700,settled,15,9,4,4-12-15,1400,ダ
