0520130101062000100000000001458  58B2                                                         
0520130102061010000000000002352  57B3                                                  5901   
0520130103053010100000000002137  43B4                                                  4201   
0520130104053010100000000002452  44B3                                                   502   
0520130105082000100000000001455  50B1                                                  3702   
0520130106052010100000000001463  59B2                                                  5502   
0520130107041010000000000002449  51B3                                                  5201   
0520130108043010001000000001453  55B3                                                  5203   
0520130109052000100000000001460  69B3                                                  3402   
0520130110052000100000000001449  49B3                                                  4502   
0520130111092000100000000001438  60C4                                                  4902   
0520130112091010000000100002452  57B3                                                  5901   
0520130113052000100000000001470  70B3                                                  7102   
0520130114072000100000000011458  50B2                                                  4502   
0520130115071010000000000002443  41C3                                                  5801   
0520130116053010100000000002461  64B3                                                  5602   
0520130201051010000000000002439  48A3                                                  3901   
0520130202041010100000000002358  60A3                                                  5202   
0520130203052010100000000001155  47B3                                                  3302   
0520130204081010000000000002449  49B3                                                  5001   
0520130205021010100000100002449  52A3                                                  3411   
0520130206051010100000000002142  44A3                                                  4201   
0520130207083010100000000002140  41B3                                                  3601   
0520130208042000001000000011435  46A3                                                  3403   
0520130209051010100000000001450  48A3                                                  4302   
0520130210033010100000000001435  51A3                                                  5002   
0520130211053010100000000001451  49A3                                                  4702   
0520130212051010100000000001465  60A3                                                  6612   
0520130213052000100000000011443  56A3                                                  5302   
0520130214073010100000000001458  51B3                                                  4802   
0520130215053010000000000012153  51B3                                                  3610   
0520130216081010000000000002441  42B3                                                  5311   
0520130301051010000000000002445  51B3                                                  4801   
0520130302073010100000000001448  47B3                                                  5601   
0520130303023010100000100001461  61B3                                                  5601   
0520130304072000100000000001463  54B3                                                  4602   
0520130305082000001000000001358  58C2                                                         
0520130306092000101000000001460  54C3                                                  6302   
0520130307082000101000000001451  54B3                                                  6203   
0520130308052000100000000001454  56B3                                                  5502   
0520130309093010100000000001454  47D2                                                  5802   
0520130310021010000000000002463  63B2                                                  3401   
0520130311083010100000000002437  35B4                                                  5602   
0520130312053010100000000001451  56B2                                                  6602   
0520130313051010000000000002453  53B3                                                  5901   
0520130314053010100000000001455  58B3                                                  6102   
0520130315052000100000000001460  53B3                                                  4802   
0520130316052000100000000001458  61B3                                                  5902   
0520130401051010000000000002459  51B3                                                  5201   
0520130402061010000000000002459  64B4                                                  4301   
0520130403051010100000000002453  56B3                                                  6401   
0520130404053010100000000002447  55B3                                                  6702   
0520130405081010000000000002456  45B3                                                  4201   
0520130406052000100000100001466  69B2                                                  7802   
0520130407051010000000000002441  63B4                                                  6201   
0520130408072000100000000001448  48C4                                                         
0520130409061010000000000002459  57B2                                                  6111   
0520130410053010100000000001452  62B3                                                  6902   
0520130411072000100000000001450  53B3                                                  5202   
0520130412053010100000100001452  58B3                                                  6402   
0520130413021010100000000002158  58A3                                                  4701   
0520130414021010000000000002358  66B3                                                  6601   
0520130415053010100000100002450  54B3                                                  5712   
0520130501091010000000000002452  55B3                                                  6201   
0520130502081010000000000002445  46B3                                                  4001   
0520130503092000100000000001440  40B3                                                  2702   
0520130504082010100000000001449  51B3                                                  6002   
0520130505022010100000100001466  72A1                                                  7202   
0520130506053010100000000001452  56A3                                                  6102   
0520130507082000100000000001455  39B3                                                  5102   
0520130508052000100000000001450  52B3                                                  6302   
0520130509091010000000000002451  52B2                                                  6901   
0520130510082000100000000001448  50B4                                                  5602   
0520130511063010100000000001448  48B3                                                  5102   
0520130512082000100000000011123  63B4                                                  6702   
0520130513082000100000000001446  51B3                                                  3502   
0520130514063010100000000001450  50B3                                                         
0520130515033010100000100002340  46B3                                                  4802   
0520130516031010100000000001340  55A3                                                  6301   
0520130601091010000000000002450  50C2                                                         
0520130602082000100000000001455  58B3                                                  5702   
0520130603051010000000000002453  53B3                                                         
0520130604082000100000000001150  46B3                                                  3202   
0520130605053010100000000001452  52B2                                                  6302   
0520130606053010100000000001453  52B3                                                  5401   
0520130607062000000000000011452  57B3                                                         
0520130608052000100000100001457  53B3                                                  4302   
0520130609062000100000000002159  62B3                                                         
0520130610042000101000000001453  51B3                                                  5502   
0520130611082000100000000011452  48B3                                                  4810   
0520130612062000100000000001356  56B2                                                         
0520130613063010000000000011341  42B3                                                  3910   
0520130614073010100000000011459  56B3                                                  6710   
0520130615092000100000000001461  57C4                                                  6002   
0520130701063010100000000002460  51B3                                                  4502   
0520130702093010100000000001443  41B3                                                  5402   
0520130703082000100000000002453  64B3                                                  6502   
0520130704083010100000000001458  46B3                                                  3401   
0520130705082000100000100001470  61B3                                                  4502   
0520130706061010000000000002352  59B3                                                         
0520130707032000000000100011430  66B3                                                  5710   
0520130708093010100000100002448  57B4                                                  6202   
0520130709053010100000000011160  60B2                                                  5702   
0520130710085000001010001001455  31B4                                                  1362   
0520130711081010000000000002456  48B1                                                  4701   
0520130712053010100000000001448  54B3                                                  6002   
0520130713062000100000000001464  64B2                                                  3002   
0520130714051010000000000002466  58B3                                                  5401   
0520130715081010000000000002255  59B3                                                  6501   
0520130716061010000000000002352  52B2                                                         
0520130801052000100000000001452  55B3                                                  5802   
0520130802053010100000000001454  59B3                                                  5202   
0520130803041010000000000002443  53B3                                                  6601   
0520130804081010100000000002461  55B3                                                  4102   
0520130805052010100000100001460  56B3                                                  4102   
0520130806082000100000000001159  51C3                                                  7102   
0520130807022010100000000001448  49B3                                                  5202   
0520130808052010100000000001345  53B3                                                  5502   
0520130809052000100000000001473  67B3                                                  5902   
0520130810062000100000000002178  78B1                                                         
0520130811062000100000000001471  60B2                                                  5002   
0520130812051010000000000002447  51B3                                                  5501   
0520130813082010100000000001457  56C3                                                  6602   
0520130814042000100000000002451  56B3                                                  5602   
0520130815083010100000000002466  71B3                                                  7501   
0520130901092000100000000001451  41C3                                                  2102   
0520130902083010100000000002453  56B3                                                  6112   
0520130903052000100000100001129  53B3                                                  7502   
0520130904092000100000000011460  56C4                                                  3602   
0520130905063010000000000011359  48B3                                                  3010   
0520130906052000100000000001437  56B3                                                  6402   
0520130907062000100000000001172  72B2                                                         
0520130908062010100000000001467  60B3                                                  3102   
0520130909063010100000000002165  63B3                                                  7201   
0520130910061010100000000002447  59B4                                                  4601   
0520130911083010100000000002473  62C3                                                  5602   
0520130912051010100000000001465  62A3                                                  6311   
0520130913082000100000000001466  65B2                                                  7302   
0520130914052000100000000001461  63B2                                                  6702   
0520130915052010100000000001454  54B3                                                  5802   
0520130916072000100000000001458  62C3                                                  6612   
0520131001062000100000100001359  63B3                                                  7002   
0520131002082000100000000001459  56B3                                                  5002   
0520131003093010100000000001469  59B3                                                  6802   
0520131004083010100000100001455  57B3                                                  6502   
0520131005062010100000100001448  49B3                                                  5202   
0520131006023010100000000001456  67B3                                                  7102   
0520131007091010100000000002445  50B4                                                  2801   
0520131008043010100000000002455  65B3                                                  7202   
0520131009053010100000000001459  58B4                                                  5202   
0520131010063010100000000001446  52B3                                                  4502   
0520131011082000100000000011450  51C3                                                  4902   
0520131101083010100000000001471  62B3                                                  5302   
0520131102082010100000100001463  58B3                                                  6002   
0520131103061010100000000001439  48B4                                                  2401   
0520131104061010000000000002456  59B3                                                         
0520131105023010100010100012358  64A3                                                  7412   
0520131106052000100000000001459  65B2                                                  7602   
0520131107031010100000000001359  58B3                                                  4102   
0520131108052010100000000012470  66B2                                                  6817   
0520131109031010000000000002461  61B3                                                  3101   
0520131110052000100000000001358  63B3                                                  4102   
0520131111062000000000000011364  57B3                                                  3710   
0520131112091010000000000002454  51B4                                                  5501   
0520131113062000100000100001447  50B3                                                  5402   
0520131114052000100000000001464  67B3                                                  6602   
0520131115021010000000000002464  64B3                                                  6401   
0520131116023010100000000001331  56B4                                                  6102   
0520131201053010100000100001468  63B2                                                  6202   
0520131202063010100000000001457  54B3                                                  5101   
0520131203092000100000000001448  52C3                                                  6202   
0520131204023010100010000012453  55A3                                                  5416   
0520131205082000100000000001468  61B2                                                  6002   
0520131206082000001000000001256  50B4                                                  6607   
0520131207083010100000000001452  52B3                                                  5802   
0520131208033010100000000001438  66B3                                                  2501   
0520131209062000100000000001153  53B3                                                  5902   
0520131210053010100000100011356  50B3                                                  4702   
0520131211082000100000100001459  45B4                                                  4002   
0520131212033010100000000001461  58B3                                                  6602   
0520131213053010100000000002459  70B2                                                  7012   
0520131214053010100000100001351  55B3                                                  5702   
0520131215032010100000000001462  64B2                                                  7002   
0820230101051010000000000002473  63B3                                                  5611   
0820230102023010100000000001464  60B2                                                  5812   
0820230103051010000000000002438  45B3                                                         
0820230104061010000000000002456  56B3                                                         
0820230105023010100000000001148  48A3                                                  2811   
0820230106042000100000000001227  45B3                                                  4512   
0820230107061010000000000002144  51B3                                                         
0820230108072000100000000001159  61B3                                                         
0820230109032000100000000001358  58B2                                                  5112   
0820230110061010000000000002364  64B1                                                         
0820230111021010000000000002333  38A3                                                         
08202301121000000000000000000    49B3                                                         
0820230201091010000000000002438  38D3                                                         
08202302021100000000000000000    23D3                                                         
0820230203061010000000000002449  53B3                                                         
0820230204021010000000000002457  57B3                                                  4711   
0820230205052000100000100001254  57B2                                                  6912   
0820230206051010000000100002355  58B3                                                  4511   
0820230207041010000000000002453  53A2                                                         
0820230208061010000000000002145  46B3                                                         
0820230209051010000000000002447  58B4                                                         
0820230210051010000000000002471  60B2                                                  6011   
0820230211031010100000100002454  63B3                                                  6611   
0820230212033010100000000002423  46B2                                                  2012   
0820230301053010100000000001456  62B3                                                  7412   
0820230302033010100000100002345  55B2                                                  5512   
0820230303091010000000000002331  52B3                                                  2711   
0820230304021010000000000012452  55A3                                                  5811   
0820230305051010000000000002471  53B3                                                  4811   
0820230306081010000000000002462  44B3                                                  6511   
0820230307061010000000100002455  57B3                                                         
0820230308051010100000100002440  43B3                                                  5612   
0820230309051010000000100002457  50B3                                                  4511   
0820230310051010100000000001463  56B3                                                  5311   
0820230311021010000000000002456  57B3                                                  5711   
0820230312061010000000000002338  38B2                                                         
