trainer_code,del_flag,del_date,trainer_name,trainer_kana,trainer_short,area_code,area_name,birthday,first_year,trainer_comment,comment_date,year_leading,year_flat_1,year_flat_2,year_flat_3,year_flat_out,year_obs_1,year_obs_2,year_obs_3,year_obs_out,year_special_win,year_graded_win,last_leading,last_flat_1,last_flat_2,last_flat_3,last_flat_out,total_flat_1,total_flat_2,total_flat_3,total_flat_out,data_date
10323,0,00000000,高市圭二,タカイチ　ケイジ,高市圭,1,美浦,19550818,1996.0,元騎手。最近の調教師らしく乗込量は豊富,,63.0,1.0,0.0,3.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,16.0,10.0,14.0,206.0,288,348,360,3855,20200222
10259,0,20200303,山内研二,ヤマウチ　ケンジ,山内研,2,栗東,19490630,1987.0,新馬での勝ち上がりは驚異的,20020815,37.0,4.0,9.0,7.0,55.0,0.0,1.0,1.0,1.0,0.0,0.0,57.0,16.0,21.0,16.0,248.0,841,790,736,6694,20200301
10318,0,20200303,作田誠二,サクタ　セイジ,作田誠,2,栗東,19490307,1995.0,,,76.0,2.0,2.0,4.0,37.0,0.0,0.0,0.0,2.0,1.0,0.0,91.0,3.0,7.0,4.0,155.0,270,245,265,3547,20200301
10343,0,00000000,高橋義博,タカハシ　ヨシヒロ,高橋博,1,美浦,19510207,1998.0,,,88.0,3.0,1.0,1.0,61.0,0.0,0.0,0.0,3.0,2.0,0.0,91.0,3.0,4.0,10.0,118.0,120,149,170,3262,20200822
30681,0,20200815,渡辺博文,ワタナベ　ヒロフミ,渡辺博,3,佐賀,19660704,2020.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,0,0,1,20200822
30013,0,20200320,井上孝彦,イノウエ　タカヒコ,井上孝,3,笠松,19610109,2020.0,,,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,1,6,3,134,20200905
30616,0,20200829,石川浩文,イシカワ　ヒロフミ,石川浩,3,佐賀,19630118,2020.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,0,0,2,20200905
30280,0,20200906,林和弘,ハヤシ　カズヒロ,林和弘,3,北海,19640429,2020.0,,,,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,1,3,6,59,20200912
70227,0,20201203,Ａ．マルチア,Ａ．マルチアリス,マルチ,3,仏国,19830523,2020.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,0,0,1,20201205
30683,0,20201212,稲益貴弘,イナマス　タカヒロ,稲益貴,3,船橋,19800502,2020.0,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,0,0,0,1,20201219
