umaban,train_type,train_course_type,train_baba,train_mark,train_amount,train_change,train_comment,comment_year,comment_date,train_eval,train_course,race_id
1,0,5,1,0,1,0,000000000002158  57B3,   ,   , ,  ,202006010101
2,0,5,3,0,1,0,100000000001455  57B3,   ,   , ,  ,202006010101
3,0,9,2,0,0,0,100000000001470  47C3,   ,   , ,  ,202006010101
4,0,5,3,0,1,0,100000100002440  42B3,   ,   , ,  ,202006010101
5,0,8,1,0,1,0,000000000002431  47C4,   ,   , ,  ,202006010101
6,0,8,1,0,1,0,000000000002463  62B2,   ,   , ,  ,202006010101
7,0,5,1,0,1,0,000000000002457  52B3,   ,   , ,  ,202006010101
8,0,7,1,0,1,0,000000000002154  54B2,   ,   , ,  ,202006010101
9,0,6,1,0,1,0,000000100002144  57B3,   ,   , ,  ,202006010101
10,0,8,1,0,1,0,000000000002461  61B2,   ,   , ,  ,202006010101
11,0,7,1,0,1,0,000000000002452  44B4,   ,   , ,  ,202006010101
12,0,6,1,0,1,0,000000100002375  67B2,   ,   , ,  ,202006010101
13,0,8,3,0,1,0,100000000001357  41B3,   ,   , ,  ,202006010101
14,0,8,2,0,1,0,100000000001457  48B3,   ,   , ,  ,202006010101
15,0,5,2,0,0,0,001000000001438  41B1,   ,   , ,  ,202006010101
16,0,5,1,0,1,0,100000000002455  52B3,   ,   , ,  ,202006010101
1,0,4,3,0,1,0,100000000002354  52B3,   ,   , ,  ,202006010102
2,0,6,1,0,1,0,000000100002121  46B4,   ,   , ,  ,202006010102
3,0,6,3,0,1,0,100000000002458  48B3,   ,   , ,  ,202006010102
4,0,2,1,0,1,0,000000100002467  67A2,   ,   , ,  ,202006010102
5,0,7,2,0,0,0,001000000001445  55C4,   ,   , ,  ,202006010102
6,0,9,3,0,1,0,100000000002453  42C4,   ,   , ,  ,202006010102
7,0,3,2,0,0,0,100000000001445  59B2,   ,   , ,  ,202006010102
8,0,7,1,0,1,0,000000100002453  45B3,   ,   , ,  ,202006010102
9,0,6,2,0,0,0,100000000001466  69B2,   ,   , ,  ,202006010102
10,0,3,3,0,1,0,100000000001367  67B2,   ,   , ,  ,202006010102
11,0,3,3,0,1,0,100000000001462  61B3,   ,   , ,  ,202006010102
12,0,8,1,0,1,0,000000000002455  60C3,   ,   , ,  ,202006010102
13,0,6,2,0,0,0,100000000001470  68B3,   ,   , ,  ,202006010102
14,0,8,2,0,0,0,101000000001457  53C2,   ,   , ,  ,202006010102
15,0,2,3,0,1,0,100000000002444  52B3,   ,   , ,  ,202006010102
16,0,5,3,0,1,0,100000000001363  63B3,   ,   , ,  ,202006010102
1,0,6,2,0,0,0,100000000001447  53B3,   ,   , ,  ,202006010103
2,0,8,2,0,0,0,100000000001469  58B3,   ,   , ,  ,202006010103
3,0,8,2,0,0,0,001000000001466  60B1,   ,   , ,  ,202006010103
4,0,8,2,0,0,0,100000000001163  55B3,   ,   , ,  ,202006010103
5,0,8,2,0,0,0,100000000001157  48C3,   ,   , ,  ,202006010103
6,0,6,2,0,1,0,100000000001472  63B1,   ,   , ,  ,202006010103
7,0,8,3,0,1,0,100000100002470  62B2,   ,   , ,  ,202006010103
8,0,2,3,0,1,0,100000000012448  55B3,   ,   , ,  ,202006010103
9,0,9,2,0,0,0,100000000001374  59C3,   ,   , ,  ,202006010103
10,0,4,1,0,1,0,000000000002458  56A2,   ,   , ,  ,202006010103
11,0,8,1,0,1,0,000000000002156  38D3,   ,   , ,  ,202006010103
12,0,5,2,0,0,0,100000000001131  48A3,   ,   , ,  ,202006010103
13,0,6,3,0,1,0,100000000001476  68C2,   ,   , ,  ,202006010103
14,0,5,1,0,1,0,000000000002447  57B4,   ,   , ,  ,202006010103
15,0,8,2,0,0,0,101000100002472  57B3,   ,   , ,  ,202006010103
16,0,2,3,0,1,0,100000000002460  57A3,   ,   , ,  ,202006010103
1,0,6,2,0,1,0,100000000001367  64B3,   ,   , ,  ,202006010104
2,0,8,3,0,1,0,100000000001455  53B3,   ,   , ,  ,202006010104
3,0,8,3,0,1,0,1010000000023    47B3,   ,   , ,  ,202006010104
4,0,5,2,0,1,0,100000000001452  50B3,   ,   , ,  ,202006010104
5,0,9,1,0,1,0,100000000002452  44B3,   ,   , ,  ,202006010104
6,0,5,1,0,1,0,100000000001349  47B3,   ,   , ,  ,202006010104
7,0,8,2,0,1,0,100000100002462  51B3,   ,   , ,  ,202006010104
8,0,5,3,0,1,0,100000100001454  51A3,   ,   , ,  ,202006010104
9,0,7,3,0,1,0,000000100012453  51B3,   ,   , ,  ,202006010104
10,0,8,1,0,1,0,000000000002146  44B3,   ,   , ,  ,202006010104
11,0,5,1,0,1,0,001000100012450  44A3,   ,   , ,  ,202006010104
12,0,5,3,0,1,0,100000000002466  63B3,   ,   , ,  ,202006010104
13,0,8,2,0,0,0,100000000001443  44B3,   ,   , ,  ,202006010104
14,0,5,3,0,1,0,100000000011442  48B3,   ,   , ,  ,202006010104
15,0,8,2,0,1,0,100000000001460  61B3,   ,   , ,  ,202006010104
16,0,8,1,0,1,0,000000000002452  50B3,   ,   , ,  ,202006010104
1,0,8,2,0,0,0,100000000001476  60B3,   ,   , ,  ,202006010105
2,0,8,3,0,1,0,100000000002440  53C4,   ,   , ,  ,202006010105
3,0,5,3,0,1,0,100000000001463  62B2,   ,   , ,  ,202006010105
4,0,8,3,0,1,0,100000000002153  50B4,   ,   , ,  ,202006010105
5,0,8,1,0,1,0,100000000002443  47B3,   ,   , ,  ,202006010105
6,0,6,1,0,1,0,000000000002475  65B3,   ,   , ,  ,202006010105
7,1,0,0,0,0,0,0000000000000    50B3,   ,   , ,  ,202006010105
8,0,8,2,0,0,0,100000000001467  70B3,   ,   , ,  ,202006010105
9,0,5,1,0,1,0,100000000002451  54B4,   ,   , ,  ,202006010105
10,0,9,2,0,0,0,100000000001444  51B3,   ,   , ,  ,202006010105
1,0,5,2,0,1,0,100000000001446  45B4,   ,   , ,  ,202006010106
2,0,5,2,0,0,0,100000000012444  42B4,   ,   , ,  ,202006010106
3,0,2,3,0,1,0,100000000001449  51B3,   ,   , ,  ,202006010106
4,0,5,1,0,1,0,100000000002455  49B3,   ,   , ,  ,202006010106
5,0,5,1,0,1,0,000000000002460  57B3,   ,   , ,  ,202006010106
6,0,8,2,0,0,0,000000000011461  56B3,   ,   , ,  ,202006010106
7,0,5,2,0,0,0,000000000011355  57B3,   ,   , ,  ,202006010106
8,0,5,3,0,1,0,100000000011361  60B3,   ,   , ,  ,202006010106
9,0,5,2,0,0,0,101000000001462  60B2,   ,   , ,  ,202006010106
10,0,7,2,0,0,0,100000000001457  61B3,   ,   , ,  ,202006010106
11,0,5,3,0,1,0,100000000011462  62A4,   ,   , ,  ,202006010106
12,0,9,1,0,1,0,000000000002440  52C4,   ,   , ,  ,202006010106
13,0,5,1,0,1,0,000000000002465  57B3,   ,   , ,  ,202006010106
14,0,5,3,0,1,0,100000000001467  66B3,   ,   , ,  ,202006010106
15,0,6,3,0,1,0,100000000001354  54B3,   ,   , ,  ,202006010106
1,0,5,3,0,1,0,100000000001453  49B4,   ,   , ,  ,202006010107
2,0,6,1,0,1,0,000000000002466  52B2,   ,   , ,  ,202006010107
3,0,5,2,0,0,0,101000000001452  56B3,   ,   , ,  ,202006010107
4,0,8,2,0,1,0,100000000001471  55B4,   ,   , ,  ,202006010107
5,0,5,3,0,1,0,100000100001453  57B3,   ,   , ,  ,202006010107
6,0,6,2,0,0,0,100000100001456  56B2,   ,   , ,  ,202006010107
7,0,5,3,0,1,0,100000000011455  60B2,   ,   , ,  ,202006010107
8,0,6,1,0,1,0,000000000002465  65B3,   ,   , ,  ,202006010107
9,0,5,2,0,0,0,001000000001356  64B3,   ,   , ,  ,202006010107
10,0,5,3,0,1,0,100000000001344  51B3,   ,   , ,  ,202006010107
11,0,9,2,0,0,0,000000000011465  61B3,   ,   , ,  ,202006010107
12,0,5,1,0,1,0,100000000002467  59B4,   ,   , ,  ,202006010107
13,0,5,3,0,1,0,100000000001455  56B3,   ,   , ,  ,202006010107
14,0,5,3,0,1,0,100000000001473  62B3,   ,   , ,  ,202006010107
15,0,7,3,0,1,0,100000000002463  58B4,   ,   , ,  ,202006010107
16,0,8,2,0,0,0,100000000011472  62C3,   ,   , ,  ,202006010107
1,0,5,2,0,0,0,100000000001468  66B3,   ,   , ,  ,202006010108
2,0,5,1,0,1,0,000000000002455  57B3,   ,   , ,  ,202006010108
3,0,5,3,0,1,0,100000100002353  68A3,   ,   , ,  ,202006010108
4,0,5,2,0,0,0,100000000001478  73B3,   ,   , ,  ,202006010108
5,0,5,2,0,0,0,001000000001451  57B3,   ,   , ,  ,202006010108
6,0,5,3,0,1,0,100000000001353  49B3,   ,   , ,  ,202006010108
7,0,8,2,0,0,0,100000000001471  58B3,   ,   , ,  ,202006010108
8,0,5,1,0,1,0,100000100002455  53B3,   ,   , ,  ,202006010108
9,0,3,1,0,1,0,000000000002470  65A2,   ,   , ,  ,202006010108
10,0,5,3,0,1,0,100000100001363  62B3,   ,   , ,  ,202006010108
11,0,5,1,0,1,0,000000000002153  56B3,   ,   , ,  ,202006010108
12,0,6,1,0,1,0,100000000001457  52B2,   ,   , ,  ,202006010108
13,0,5,2,0,0,0,100000100002469  67B2,   ,   , ,  ,202006010108
14,0,5,2,0,0,0,100000000001460  60B3,   ,   , ,  ,202006010108
15,0,5,2,0,1,0,100000000002173  56C4,   ,   , ,  ,202006010108
16,0,5,1,0,1,0,000000000002474  74B2,   ,   , ,  ,202006010108
1,0,6,1,0,1,0,000000000002362  66B3,   ,   , ,  ,202006010109
2,0,2,3,0,1,0,100000000002474  74B2,   ,   , ,  ,202006010109
3,0,5,2,0,1,0,100000000002463  60B3,   ,   , ,  ,202006010109
4,0,2,3,0,1,0,100000100001468  68A2,   ,   , ,  ,202006010109
5,0,5,3,0,1,0,100000000001372  66B3,   ,   , ,  ,202006010109
6,0,6,2,0,0,0,100000000001161  62B2,   ,   , ,  ,202006010109
7,0,9,2,0,0,0,100000000001368  53C3,   ,   , ,  ,202006010109
8,0,8,3,0,1,0,100000000002434  42B3,   ,   , ,  ,202006010109
9,0,6,2,0,0,0,100000100012445  46B3,   ,   , ,  ,202006010109
10,0,5,2,0,1,0,101000000001484  75B3,   ,   , ,  ,202006010109
11,0,3,2,0,1,0,100000000001463  63A3,   ,   , ,  ,202006010109
12,0,5,3,0,1,0,100000000001460  58B3,   ,   , ,  ,202006010109
13,0,2,1,0,1,0,000000000002441  70B1,   ,   , ,  ,202006010109
14,0,6,1,0,1,0,000000000002462  62B3,   ,   , ,  ,202006010109
15,0,9,1,0,1,0,000000000002441  53C4,   ,   , ,  ,202006010109
16,0,8,3,0,1,0,100000000001457  54B3,   ,   , ,  ,202006010109
1,0,2,1,0,1,0,100000000002445  65B3,   ,   , ,  ,202006010110
2,0,9,2,0,1,0,100000100002163  54B3,   ,   , ,  ,202006010110
3,0,8,1,0,1,0,000000000002475  67B3,   ,   , ,  ,202006010110
4,0,9,2,0,0,0,100000000011453  38B4,   ,   , ,  ,202006010110
5,0,2,3,0,1,0,100000000001476  76B2,   ,   , ,  ,202006010110
6,0,9,1,0,1,0,000000000002468  68D2,   ,   , ,  ,202006010110
7,0,5,1,0,1,0,000000000002480  67B3,   ,   , ,  ,202006010110
8,0,6,2,0,0,0,100000000001427  33B3,   ,   , ,  ,202006010110
9,0,5,1,0,1,0,000000000002266  67B3,   ,   , ,  ,202006010110
10,0,3,2,0,0,0,100000000011451  60B2,   ,   , ,  ,202006010110
11,1,0,0,0,0,0,0000000000000    53B3,   ,   , ,  ,202006010110
12,0,9,1,0,1,0,000000000002167  67B2,   ,   , ,  ,202006010110
13,0,5,3,0,1,0,001000000002166  65B3,   ,   , ,  ,202006010110
14,0,5,1,0,1,0,000000000002474  66B3,   ,   , ,  ,202006010110
15,0,6,1,0,1,0,000000000002480  75B3,   ,   , ,  ,202006010110
16,0,2,1,0,1,0,000000000002472  74A3,   ,   , ,  ,202006010110
1,0,2,1,0,1,0,000000100002469  68A2,   ,   , ,  ,202006010111
2,0,2,1,0,1,0,000000000002473  68A2,   ,   , ,  ,202006010111
3,0,2,3,0,1,0,100000000001365  67A2,   ,   , ,  ,202006010111
4,0,2,1,0,1,0,000000100002468  64B2,   ,   , ,  ,202006010111
5,0,5,2,0,0,0,100000000001469  67B3,   ,   , ,  ,202006010111
6,0,3,3,0,1,0,100000000002441  65B3,   ,   , ,  ,202006010111
7,0,2,1,0,1,0,100000000002350  58A3,   ,   , ,  ,202006010111
8,0,9,2,0,0,0,100000000001451  59D4,   ,   , ,  ,202006010111
9,0,6,1,0,1,0,000000000002475  64C3,   ,   , ,  ,202006010111
10,0,5,2,0,0,0,100000100001382  82B1,   ,   , ,  ,202006010111
11,0,2,1,0,1,0,100000100002120  69A3,   ,   , ,  ,202006010111
12,0,3,1,0,1,0,100000000002354  58B3,   ,   , ,  ,202006010111
13,0,2,2,0,1,0,100000100001460  62A3,   ,   , ,  ,202006010111
14,0,5,1,0,1,0,000000100012464  60B3,   ,   , ,  ,202006010111
15,0,6,1,0,1,0,000000000002466  59B3,   ,   , ,  ,202006010111
16,0,5,3,0,1,0,100000000001468  63B3,   ,   , ,  ,202006010111
17,0,6,3,0,1,0,100000000001368  61B3,   ,   , ,  ,202006010111
1,0,9,1,0,1,0,000000100002155  60B3,   ,   , ,  ,202006010112
2,0,5,2,0,0,0,100000000001465  66B3,   ,   , ,  ,202006010112
3,0,8,2,0,1,0,100000000002472  55B4,   ,   , ,  ,202006010112
4,0,6,1,0,1,0,000000000002462  60B3,   ,   , ,  ,202006010112
5,0,2,3,0,1,0,100000000001356  58B3,   ,   , ,  ,202006010112
6,0,6,1,0,1,0,100000000002151  55B3,   ,   , ,  ,202006010112
7,0,5,2,0,1,0,100000000001469  65B3,   ,   , ,  ,202006010112
8,0,5,3,0,1,0,100000100001362  56B3,   ,   , ,  ,202006010112
9,0,2,1,0,1,0,001000000002474  68B3,   ,   , ,  ,202006010112
10,0,5,1,0,1,0,000000100002339  62B3,   ,   , ,  ,202006010112
11,0,5,1,0,1,0,000000000002453  56B4,   ,   , ,  ,202006010112
12,0,6,1,0,1,0,000000000002355  58B3,   ,   , ,  ,202006010112
13,0,9,1,0,1,0,000000000002462  52B3,   ,   , ,  ,202006010112
14,0,5,2,0,0,0,000000100011351  48B3,   ,   , ,  ,202006010112
15,0,9,2,0,0,0,100000000002141  41B3,   ,   , ,  ,202006010112
16,0,5,2,0,0,0,001000000001260  65B2,   ,   , ,  ,202006010112
1,0,5,1,0,1,0,000000000002156  55B3,   ,   , ,  ,202008010101
2,0,6,1,0,1,0,000000000002448  51B3,   ,   , ,  ,202008010101
3,0,6,1,0,1,0,000000100002451  41B3,   ,   , ,  ,202008010101
4,0,3,1,0,1,0,000000000002461  55A3,   ,   , ,  ,202008010101
5,0,5,2,0,0,0,100000000001122  36B1,   ,   , ,  ,202008010101
6,0,2,1,0,1,0,000000000002443  49B3,   ,   , ,  ,202008010101
7,0,8,2,0,1,0,100000000002455  52B3,   ,   , ,  ,202008010101
8,0,3,1,0,1,0,000000100002473  64B2,   ,   , ,  ,202008010101
9,0,2,1,0,1,0,100000000002334  53A2,   ,   , ,  ,202008010101
10,0,5,3,0,1,0,100000000001463  58B2,   ,   , ,  ,202008010101
11,0,5,1,0,1,0,000000000002461  53B3,   ,   , ,  ,202008010101
12,0,2,1,0,1,0,000000000002454  52B3,   ,   , ,  ,202008010101
13,0,5,1,0,1,0,000000000002441  56B2,   ,   , ,  ,202008010101
14,0,6,1,0,1,0,000000000002158  55B2,   ,   , ,  ,202008010101
15,0,6,1,0,1,0,000000000002456  56B1,   ,   , ,  ,202008010101
16,0,5,1,0,1,0,000000000002456  53B2,   ,   , ,  ,202008010101
1,0,5,1,0,1,0,000000000002451  48B3,   ,   , ,  ,202008010102
2,0,5,1,0,1,0,000000000002355  49B4,   ,   , ,  ,202008010102
3,0,5,1,0,1,0,100000000002335  52B3,   ,   , ,  ,202008010102
4,0,3,1,0,1,0,000000000002156  55B3,   ,   , ,  ,202008010102
5,0,5,3,0,1,0,100000000001475  64A1,   ,   , ,  ,202008010102
6,0,2,1,0,1,0,000000000002358  58B3,   ,   , ,  ,202008010102
7,0,5,3,0,1,0,000000000011158  56B3,   ,   , ,  ,202008010102
8,0,8,3,0,1,0,100000000002471  56B3,   ,   , ,  ,202008010102
9,0,3,1,0,1,0,000000000002168  68B1,   ,   , ,  ,202008010102
10,0,8,1,0,1,0,000000000002451  44B3,   ,   , ,  ,202008010102
11,0,5,1,0,1,0,000000000002466  63B3,   ,   , ,  ,202008010102
12,0,5,1,0,1,0,000000000002455  55B3,   ,   , ,  ,202008010102
13,0,2,1,0,1,0,100000000002472  72A1,   ,   , ,  ,202008010102
14,0,5,1,0,1,0,100000000002446  40B2,   ,   , ,  ,202008010102
15,0,5,1,0,1,0,000000000002443  40B3,   ,   , ,  ,202008010102
16,0,5,3,0,1,0,100000000001455  51B3,   ,   , ,  ,202008010102
1,0,5,1,0,1,0,000000000002464  63B3,   ,   , ,  ,202008010103
2,0,5,3,0,1,0,101000100002349  54B3,   ,   , ,  ,202008010103
3,0,9,2,0,1,0,100000000011447  30B3,   ,   , ,  ,202008010103
4,0,5,1,0,1,0,000000000002449  41B3,   ,   , ,  ,202008010103
5,0,5,1,0,1,0,000000000002458  48B3,   ,   , ,  ,202008010103
6,0,8,3,0,1,0,100000000001133  39B3,   ,   , ,  ,202008010103
7,0,5,1,0,1,0,101000000002456  48B3,   ,   , ,  ,202008010103
8,0,2,3,0,1,0,100000000002466  62A3,   ,   , ,  ,202008010103
9,0,8,3,0,1,0,100010000012449  42B3,   ,   , ,  ,202008010103
10,0,6,3,0,1,0,100000100002474  64B3,   ,   , ,  ,202008010103
11,0,5,3,0,1,0,001000100012448  44A3,   ,   , ,  ,202008010103
12,0,5,1,0,1,0,100000000002444  42B3,   ,   , ,  ,202008010103
13,0,5,3,0,1,0,100010000002446  58B3,   ,   , ,  ,202008010103
14,0,8,1,0,1,0,100000000002348  46B3,   ,   , ,  ,202008010103
15,0,5,3,0,1,0,101000000002441  46A3,   ,   , ,  ,202008010103
16,0,8,1,0,1,0,000000000002155  45B3,   ,   , ,  ,202008010103
1,0,4,2,0,0,0,100000000001452  53B3,   ,   , ,  ,202008010104
2,0,5,1,0,1,0,000000000002458  59B3,   ,   , ,  ,202008010104
3,1,1,0,0,0,0,0000000000000    50D3,   ,   , ,  ,202008010104
