race_id,tansho_num1,tansho_pay1,tansho_num2,tansho_pay2,tansho_num3,tansho_pay3,fukusho_num1,fukusho_pay1,fukusho_num2,fukusho_pay2,fukusho_num3,fukusho_pay3,wakuren_num1,wakuren_pay1,wakuren_num2,wakuren_pay2,wakuren_num3,wakuren_pay3,umaren_num1,umaren_pay1,umaren_num2,umaren_pay2,umaren_num3,umaren_pay3,wide_num1,wide_pay1,wide_num2,wide_pay2,wide_num3,wide_pay3,umatan_num1,umatan_pay1,umatan_num2,umatan_pay2,umatan_num3,umatan_pay3,trio_num1,trio_pay1,trio_num2,trio_pay2,trio_num3,trio_pay3,tierce_num1,tierce_pay1,tierce_num2,tierce_pay2,tierce_num3,tierce_pay3
202006010101,07,36000,,0,007,25001,6,,6000,0,,,8500,,0,107,2,3300000,,0,,107.0,730,,3200,,0000,0.0,0000,,0000,0,000,7,01,3650000,0,0,,0,,0,0,0,0010,,100000,0.0
202006010102,07,59000,,0,007,14002,1,,2000,0,,14.0,4700,,0,207,,4300000,,0,,207.0,210,716.0,3600,,7000,0.0,0000,,0000,0,000,7,02,1200000,0,0,,0,,0,0,0,0020,,800000,0.0
202006010103,15,39000,,0,015,19006,1,,1000,0,,38.0,6700,,0,615,,5600000,,0,,615.0,350,,4000,,3000,0.0,0000,,0000,0,000,15,06,1130000,0,0,,0,,0,0,0,0061,,600000,0.0
202006010104,01,27000,,0,001,15010,2,,0000,0,,,8900,,0,110,1,9900000,,0,,110.0,810,115.0,4401,,6000,0.0,0000,,0000,0,000,1,10,3060000,0,0,,0,,0,0,0,0011,,800000,0.0
202006010105,06,16000,,0,006,11005,2,,1000,0,,,1700,,0,506,1,2100000,,0,,506.0,450,608.0,3300,,3000,0.0,0000,,0000,0,000,6,05,1410000,0,0,,0,,0,0,0,0050,,700000,0.0
202006010106,08,17000,,0,008,11014,1,,0000,0,,58.0,2700,,0,814,,3400000,,0,,814.0,210,,3001,,4000,0.0,0000,,0000,0,000,8,14,460000,0,0,,0,,0,0,0,0081,,900000,0.0
202006010107,01,54000,,0,001,16008,1,,4000,0,,14.0,4100,,0,108,,6300000,,0,,108.0,300,116.0,7900,,6000,0.0,0000,,0000,0,000,1,08,1310000,0,0,,0,,0,0,0,0010,,100000,0.0
202006010108,03,51000,,0,003,21006,5,,8000,0,,,5700,,0,306,5,6800000,,0,,306.0,2380,,2900,,2000,0.0,0000,,0000,0,000,3,06,8790000,0,0,,0,,0,0,0,0010,,500000,0.0
202006010109,12,84000,,0,012,31011,2,,2000,0,,,0200,,0,1112,2,8100000,,0,,1112.0,1270,,3600,,3000,0.0,0000,,0000,0,000,12,11,5380000,0,0,,0,,0,0,0,0071,,900000,0.0
202006010110,15,43000,,0,015,17016,1,,0000,0,,88.0,7600,,0,1516,,7700000,,0,,1516.0,350,915.0,9000,,7000,0.0,0000,,0000,0,000,15,16,1440000,0,0,,0,,0,0,0,0091,,700000,0.0
202006010111,07,43000,,0,007,20008,2,,3000,0,,,8200,,0,708,2,5500000,,0,,708.0,830,,0400,,5000,0.0,0000,,0000,0,000,7,08,3990000,0,0,,0,,0,0,0,0010,,400000,0.0
202006010112,07,373000,,0,007,84006,3,,8000,0,,,9200,,0,607,14,6500000,,0,,607.0,3370,,1500,,6000,0.0,0000,,0000,0,000,7,06,33180000,0,0,,0,,0,0,0,0060,,600000,0.0
202008010101,04,13000,,0,004,11008,1,,2000,0,,24.0,2500,,0,408,,3300000,,0,,408.0,170,,9500,,5000,0.0,0000,,0000,0,000,4,08,390000,0,0,,0,,0,0,0,0040,,000000,0.0
202008010102,06,35000,,0,006,14011,3,,1000,0,,36.0,6700,,0,611,1,8300000,,0,,611.0,690,,4900,,8000,0.0,0000,,0000,0,000,6,11,3190000,0,0,,0,,0,0,0,0060,,900000,0.0
202008010103,13,49000,,0,013,15010,1,,4000,0,,,1100,,0,1013,1,3100000,,0,,1013.0,520,813.0,4300,,5000,0.0,0000,,0000,0,000,13,10,2910000,0,0,,0,,0,0,0,0081,,700000,0.0
202008010104,06,78000,,0,006,21008,1,,2000,0,,56.0,6900,,0,608,1,7800000,,0,,608.0,620,607.0,8000,,7000,0.0,0000,,0000,0,000,6,08,4030000,0,0,,0,,0,0,0,0060,,100000,0.0
202008010105,05,79000,,0,005,29001,3,,7000,0,,,8000,,0,105,4,2200000,,0,,105.0,1370,,8700,,2000,0.0,0000,,0000,0,000,5,01,7680000,0,0,,0,,0,0,0,0010,,500000,0.0
202008010106,05,43000,,0,005,14003,9,,1000,0,,23.0,2500,,0,305,18,2600000,,0,,305.0,2960,405.0,1900,,0000,0.0,0000,,0000,0,000,5,03,30490000,0,0,,0,,0,0,0,0030,,000000,0.0
202008010107,07,182000,,0,007,52012,2,,7000,0,,,3000,,0,712,4,6700000,,0,,712.0,1530,,4801,,7000,0.0,0000,,0000,0,000,7,12,11360000,0,0,,0,,0,0,0,0071,,100000,0.0
202008010108,06,39000,,0,006,12002,1,,1000,0,,,0600,,0,206,1,5100000,,0,,206.0,520,406.0,1900,,6000,0.0,0000,,0000,0,000,6,02,2640000,0,0,,0,,0,0,0,0020,,900000,0.0
202008010109,07,50000,,0,007,24002,3,9000.0,000,0,,0.0,00,,0,207,1,9600000,,0,,207.0,600,107.0,5000,,6000,0.0,0000,,0000,0,000,7,02,3530000,0,0,,0,,0,0,0,0010,,800000,0.0
202008010110,15,54000,,0,015,19003,1,,7000,0,,28.0,5400,,0,315,,7200000,,0,,315.0,380,,6800,,1000,0.0,0000,,0000,0,000,15,03,1790000,0,0,,0,,0,0,0,0030,,600000,0.0
202008010111,03,55000,,0,003,20006,2,,0000,0,,,1900,,0,306,1,2600000,,0,,306.0,530,,1600,,6000,0.0,0000,,0000,0,000,3,06,2370000,0,0,,0,,0,0,0,0030,,100000,0.0
202008010112,16,77000,,0,016,23004,1,,9000,0,,28.0,9600,,0,416,1,1500000,,0,,416.0,520,916.0,9000,,6000,0.0,0000,,0000,0,000,16,04,3000000,0,0,,0,,0,0,0,0040,,700000,0.0
202006010201,03,83000,,0,003,28006,6,,6000,0,,23.0,8600,,0,306,8,5000000,,0,,306.0,2590,305.0,6500,,3000,0.0,0000,,0000,0,000,3,06,18220000,0,0,,0,,0,0,0,0030,,800000,0.0
202006010202,13,23000,,0,013,15001,4,,4000,0,,,3900,,0,113,3,5600000,,0,,113.0,1440,1315.0,5200,,3000,0.0,0000,,0000,0,000,13,01,4720000,0,0,,0,,0,0,0,0011,,700000,0.0
202006010203,09,20000,,0,009,11013,1,,0000,0,,57.0,3800,,0,913,,3600000,,0,,913.0,200,809.0,3700,,8000,0.0,0000,,0000,0,000,9,13,510000,0,0,,0,,0,0,0,0080,,700000,0.0
202006010204,12,28000,,0,012,11011,2,,1000,0,,,2500,,0,1112,2,1500000,,0,,1112.0,510,312.0,1400,,4000,0.0,0000,,0000,0,000,12,11,3040000,0,0,,0,,0,0,0,0031,,200000,0.0
202006010205,07,38000,,0,007,14016,1,,8000,0,,48.0,6900,,0,716,,8900000,,0,,716.0,400,709.0,5800,,9000,0.0,0000,,0000,0,000,7,16,1730000,0,0,,0,,0,0,0,0070,,300000,0.0
202006010206,08,57000,,0,008,19002,2,,9000,0,,14.0,3600,,0,208,2,2000000,,0,,208.0,770,608.0,4300,,7000,0.0,0000,,0000,0,000,8,02,4220000,0,0,,0,,0,0,0,0020,,100000,0.0
202006010207,04,193000,,0,004,31003,2,,1000,0,,,5700,,0,304,10,3000000,,0,,304.0,2080,409.0,5600,,0000,0.0,0000,,0000,0,000,4,03,30260000,0,0,,0,,0,0,0,0030,,900000,0.0
202006010208,15,21000,,0,015,13016,4,,7000,0,,,5900,,0,1516,2,6700000,,0,,1516.0,880,1015.0,3201,,4000,0.0,0000,,0000,0,000,15,16,3780000,0,0,,0,,0,0,0,0101,,900000,0.0
202006010209,01,78000,,0,001,18016,1,,4000,0,,18.0,8600,,0,116,1,6400000,,0,,116.0,580,110.0,5801,,2000,0.0,0000,,0000,0,000,1,16,3400000,0,0,,0,,0,0,0,0011,,900000,0.0
202006010210,06,24000,,0,006,12008,2,,4000,0,,45.0,3300,,0,608,1,9800000,,0,,608.0,610,609.0,2200,,3000,0.0,0000,,0000,0,000,6,08,3160000,0,0,,0,,0,0,0,0060,,600000,0.0
202006010211,10,32000,,0,010,14008,1,,5000,0,,78.0,7300,,0,810,,8000000,,0,,810.0,370,310.0,3700,,9000,0.0,0000,,0000,0,000,10,08,1360000,0,0,,0,,0,0,0,0030,,700000,0.0
202006010212,04,46000,,0,004,21003,2,,5000,0,,,5800,,0,304,1,4900000,,0,,304.0,510,,4900,,3000,0.0,0000,,0000,0,000,4,03,2710000,0,0,,0,,0,0,0,0010,,500000,0.0
202008010201,09,70000,,0,009,23004,1,,8000,0,,,6500,,0,409,1,8800000,,0,,409.0,720,910.0,8900,,1000,0.0,0000,,0000,0,000,9,04,3660000,0,0,,0,,0,0,0,0040,,500000,0.0
202008010202,09,49000,,0,009,20011,2,,4000,0,,,1000,,0,911,1,3900000,,0,,911.0,560,,9701,,7000,0.0,0000,,0000,0,000,9,11,2880000,0,0,,0,,0,0,0,0091,,200000,0.0
202008010203,03,59000,,0,003,21007,2,,2000,0,,24.0,3900,,0,307,1,5800000,,0,,307.0,690,,2600,,2000,0.0,0000,,0000,0,000,3,07,3340000,0,0,,0,,0,0,0,0030,,000000,0.0
202008010204,01,22000,,0,001,13011,1,,5000,0,,18.0,5600,,0,111,,7200000,,0,,111.0,330,108.0,6700,,7000,0.0,0000,,0000,0,000,1,11,1060000,0,0,,0,,0,0,0,0010,,500000,0.0
202008010205,11,19000,,0,011,11003,1,,3000,0,,26.0,3800,,0,311,,5900000,,0,,311.0,290,411.0,4800,,1000,0.0,0000,,0000,0,000,11,03,830000,0,0,,0,,0,0,0,0030,,400000,0.0
202008010206,02,205000,,0,002,41001,6,,9000,0,,,3900,,0,102,12,3000000,,0,,102.0,2410,,9400,,5000,0.0,0000,,0000,0,000,2,01,25240000,0,0,,0,,0,0,0,0010,,700000,0.0
202008010207,14,132000,,0,014,35006,1,,6000,0,,,2000,,0,614,2,600000,,0,,614.0,720,,8500,,0000,0.0,0000,,0000,0,000,14,06,4610000,0,0,,0,,0,0,0,0060,,300000,0.0
202008010208,05,30000,,0,005,14012,1,,7000,0,,58.0,3600,,0,512,,5800000,,0,,512.0,270,,1000,,1000,0.0,0000,,0000,0,000,5,12,950000,0,0,,0,,0,0,0,0050,,400000,0.0
202008010209,11,28000,,0,011,12006,1,,6000,0,,58.0,4500,,0,611,,8100000,,0,,611.0,340,911.0,3500,,3000,0.0,0000,,0000,0,000,11,06,1320000,0,0,,0,,0,0,0,0060,,400000,0.0
202008010210,02,163000,,0,002,45010,2,,0000,0,,,2800,,0,210,5,6200000,,0,,210.0,1560,,6000,,0000,0.0,0000,,0000,0,000,2,10,11460000,0,0,,0,,0,0,0,0020,,500000,0.0
202008010211,15,31000,,0,015,16005,2,,8000,0,,,2900,,0,515,1,8600000,,0,,515.0,820,315.0,8100,,2000,0.0,0000,,0000,0,000,15,05,2850000,0,0,,0,,0,0,0,0030,,600000,0.0
202008010212,10,256000,,0,010,58013,6,,5000,0,,,0500,,0,1013,31,4500000,,0,,1013.0,6110,,6300,,7000,0.0,0000,,0000,0,000,10,13,61970000,0,0,,0,,0,0,0,0051,,800000,0.0
202006010301,14,199000,,0,014,57015,1,,6000,0,,,7700,,0,1415,5,100000,,0,,1415.0,1510,,3500,,6000,0.0,0000,,0000,0,000,14,15,11880000,0,0,,0,,0,0,0,0051,,500000,0.0
202006010302,13,13000,,0,013,11016,2,,1000,0,,78.0,5200,,0,1316,,5500000,,0,,1316.0,350,,3800,,1000,0.0,0000,,0000,0,000,13,16,760000,0,0,,0,,0,0,0,0081,,700000,0.0
202006010303,09,22000,,0,009,11013,1,,2000,0,,57.0,6500,,0,913,,6400000,,0,,913.0,320,916.0,9101,,9000,0.0,0000,,0000,0,000,9,13,990000,0,0,,0,,0,0,0,0091,,400000,0.0
202006010304,05,185000,,0,005,35015,1,,3000,0,,,5500,,0,515,2,1600000,,0,,515.0,880,,9000,,8000,0.0,0000,,0000,0,000,5,15,5520000,0,0,,0,,0,0,0,0040,,300000,0.0
202006010305,01,27000,,0,001,13005,1,,3000,0,,,2700,,0,105,1,2900000,,0,,105.0,490,111.0,2600,,3000,0.0,0000,,0000,0,000,1,05,1830000,0,0,,0,,0,0,0,0010,,200000,0.0
202006010306,02,27000,,0,002,14009,5,,3000,0,,,6300,,0,209,4,4000000,,0,,209.0,1240,205.0,1900,,0000,0.0,0000,,0000,0,000,2,09,5980000,0,0,,0,,0,0,0,0020,,200000,0.0
202006010307,16,30000,,0,016,16002,1,,4000,0,,18.0,4700,,0,216,1,500000,,0,,216.0,410,,0600,,2000,0.0,0000,,0000,0,000,16,02,1650000,0,0,,0,,0,0,0,0020,,800000,0.0
202006010308,11,70000,,0,011,23010,1,,0000,0,,,0600,,0,1011,1,600000,,0,,1011.0,460,,4200,,8000,0.0,0000,,0000,0,000,11,10,2440000,0,0,,0,,0,0,0,0091,,100000,0.0
202006010309,05,103000,,0,005,33001,2,,1000,0,,13.0,8200,,0,105,2,3700000,,0,,105.0,950,,9600,,4000,0.0,0000,,0000,0,000,5,01,5570000,0,0,,0,,0,0,0,0010,,600000,0.0
202006010310,12,137000,,0,012,28014,2,,2000,0,,67.0,3900,,0,1214,4,3100000,,0,,1214.0,1150,1112.0,4401,,0000,0.0,0000,,0000,0,000,12,14,8930000,0,0,,0,,0,0,0,0111,,800000,0.0
202006010311,04,72000,,0,004,21012,1,,0000,0,,,9700,,0,412,1,6800000,,0,,412.0,540,,0501,,3000,0.0,0000,,0000,0,000,4,12,4110000,0,0,,0,,0,0,0,0041,,800000,0.0
202006010312,13,76000,,0,013,24014,2,,0000,0,,,9500,,0,1314,3,2900000,,0,,1314.0,1120,813.0,7500,,5000,0.0,0000,,0000,0,000,13,14,6190000,0,0,,0,,0,0,0,0081,,900000,0.0
202008010301,08,49000,,0,008,19011,2,,0000,0,,,3900,,0,811,1,8500000,,0,,811.0,690,815.0,6801,,6000,0.0,0000,,0000,0,000,8,11,3880000,0,0,,0,,0,0,0,0081,,900000,0.0
202008010302,12,16000,,0,012,11006,3,,8000,0,,36.0,8200,,0,612,1,600000,,0,,612.0,470,,0100,,4000,0.0,0000,,0000,0,000,12,06,1350000,0,0,,0,,0,0,0,0061,,300000,0.0
