kaisai_key,yyyymmdd,kaisai_ku,youbi,course_name,weather_code,turf_baba_code,turf_baba_inner,turf_baba_mid,turf_baba_outer,turf_baba_sa,straight_sa_most,straight_sa_inner,straight_sa_mid,straight_sa_outer,straight_sa_far,dirt_baba_code,dirt_baba_inner,dirt_baba_mid,dirt_baba_outer,dirt_baba_sa,data_ku,renzoku_day,turf_type,grass_height,tennatsu,touketsu,rain_mid
2020060101,20200105,1,日,中山,1,1,2.0,2.0,2.0,-6.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.0,2.0,-6.0,4,,,,,,
2020080101,20200105,2,日,京都,1,1,1.0,1.0,1.0,-15.0,-1.0,-1.0,0.0,0.0,0.0,1,2.0,2.0,2.0,-1.0,4,,,,,,
2020060102,20200106,1,月,中山,1,1,2.0,2.0,2.0,-6.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.0,2.0,-6.0,4,,,,,,
2020080102,20200106,2,月,京都,1,1,1.0,1.0,1.0,-15.0,-1.0,-1.0,0.0,0.0,0.0,1,2.0,2.0,2.0,-1.0,4,,,,,,
2020060103,20200111,1,土,中山,2,1,2.0,2.0,2.0,-10.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.0,2.0,-8.0,4,,,,,,
2020080103,20200111,2,土,京都,1,1,3.0,2.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,2,1.0,1.0,1.0,-3.0,4,,,,,,
2020060104,20200112,1,日,中山,2,1,2.0,2.0,2.0,-10.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.0,2.0,-8.0,4,,,,,,
2020080104,20200112,2,日,京都,1,1,3.0,2.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,1,2.0,2.0,2.0,-1.0,4,,,,,,
2020060105,20200113,1,月,中山,2,1,2.0,2.0,2.0,-10.0,0.0,0.0,0.0,0.0,0.0,1,2.0,2.0,2.0,-8.0,4,,,,,,
2020080105,20200113,2,月,京都,1,1,3.0,2.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,1,2.0,2.0,2.0,-1.0,4,,,,,,
2020060106,20200118,1,土,中山,2,2,3.0,2.0,2.0,-7.0,1.0,1.0,0.0,0.0,0.0,2,1.0,1.0,1.0,-11.0,4,,,,,,
2020080106,20200118,2,土,京都,2,1,3.0,2.0,2.0,8.0,1.0,1.0,0.0,0.0,0.0,1,2.0,2.0,2.0,0.0,4,,,,,,
2020100101,20200118,3,土,小倉,4,1,1.0,1.0,1.0,-20.0,-1.0,-1.0,0.0,0.0,0.0,2,1.0,1.0,1.0,-8.0,4,,,,,,
2020060107,20200119,1,日,中山,1,2,3.0,2.0,2.0,-7.0,1.0,1.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-18.0,4,,,,,,
2020080107,20200119,2,日,京都,2,1,3.0,2.0,2.0,8.0,1.0,1.0,0.0,0.0,0.0,1,2.0,2.0,2.0,0.0,4,,,,,,
2020100102,20200119,3,日,小倉,2,1,1.0,1.0,1.0,-20.0,-1.0,-1.0,0.0,0.0,0.0,2,1.0,1.0,1.0,-8.0,4,,,,,,
2020060108,20200125,1,土,中山,2,1,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,2,1.0,1.0,1.0,-11.0,4,,,,,,
2020080108,20200125,2,土,京都,2,2,3.0,3.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,2,2.0,2.0,2.0,-2.0,4,,,,,,
2020100103,20200125,3,土,小倉,2,2,3.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-17.0,4,,,,,,
2020060109,20200126,1,日,中山,2,1,3.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,1,1.0,2.0,2.0,-8.0,4,,,,,,
2020080109,20200126,2,日,京都,2,2,3.0,3.0,3.0,10.0,1.0,1.0,0.0,0.0,0.0,3,2.0,2.0,2.0,-8.0,4,,,,,,
2020100104,20200126,3,日,小倉,4,2,3.0,2.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-17.0,4,,,,,,
2020050101,20200201,1,土,東京,1,1,1.0,1.0,1.0,-20.0,-1.0,-1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-4.0,4,,,,,,
2020080201,20200201,2,土,京都,1,1,3.0,2.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,2,2.0,2.0,2.0,-3.0,4,,,,,,
2020100105,20200201,3,土,小倉,1,2,3.0,3.0,3.0,18.0,1.0,1.0,1.0,1.0,1.0,2,2.0,2.0,2.0,-8.0,4,,,,,,
2020050102,20200202,1,日,東京,1,1,1.0,1.0,1.0,-20.0,-1.0,-1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-4.0,4,,,,,,
2020080202,20200202,2,日,京都,1,1,3.0,2.0,2.0,6.0,1.0,1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-1.0,4,,,,,,
2020100106,20200202,3,日,小倉,1,1,3.0,3.0,3.0,18.0,1.0,1.0,1.0,1.0,1.0,3,1.0,1.0,1.0,-17.0,4,,,,,,
2020050103,20200208,1,土,東京,1,1,1.0,1.0,1.0,-20.0,-1.0,-1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-4.0,4,,,,,,
2020080203,20200208,2,土,京都,2,1,3.0,3.0,3.0,14.0,2.0,2.0,1.0,1.0,1.0,1,3.0,3.0,3.0,-1.0,4,,,,,,
2020100107,20200208,3,土,小倉,1,1,3.0,2.0,2.0,12.0,1.0,1.0,0.0,0.0,0.0,1,2.0,2.0,2.0,-7.0,4,,,,,,
2020050104,20200209,1,日,東京,1,1,1.0,1.0,1.0,-20.0,-1.0,-1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-4.0,4,,,,,,
2020080204,20200209,2,日,京都,1,1,3.0,3.0,3.0,14.0,2.0,2.0,1.0,1.0,1.0,1,3.0,3.0,3.0,-1.0,4,,,,,,
2020100108,20200209,3,日,小倉,2,1,3.0,2.0,2.0,12.0,1.0,1.0,0.0,0.0,0.0,1,2.0,2.0,2.0,-7.0,4,,,,,,
2020050105,20200215,1,土,東京,1,1,2.0,1.0,1.0,-12.0,0.0,0.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-4.0,4,,,,,,
2020080205,20200215,2,土,京都,2,1,3.0,3.0,3.0,10.0,2.0,2.0,1.0,1.0,1.0,2,2.0,2.0,2.0,-3.0,4,,,,,,
2020100109,20200215,3,土,小倉,4,2,3.0,2.0,2.0,10.0,1.0,1.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-16.0,4,,,,,,
2020050106,20200216,1,日,東京,4,2,2.0,1.0,1.0,-6.0,0.0,0.0,0.0,0.0,0.0,3,1.0,1.0,1.0,-17.0,4,,,,,,
2020080206,20200216,2,日,京都,4,3,3.0,3.0,3.0,20.0,2.0,2.0,1.0,1.0,1.0,4,1.0,1.0,1.0,-17.0,4,,,,,,
2020100110,20200216,3,日,小倉,4,3,3.0,2.0,2.0,25.0,1.0,1.0,0.0,0.0,0.0,4,1.0,1.0,1.0,-20.0,4,,,,,,
2020050107,20200222,1,土,東京,2,1,3.0,2.0,2.0,-4.0,1.0,1.0,0.0,0.0,0.0,2,2.0,2.0,2.0,-8.0,4,,,,,,
2020080207,20200222,2,土,京都,2,1,3.0,3.0,3.0,10.0,2.0,2.0,2.0,2.0,2.0,1,3.0,3.0,3.0,-1.0,4,,,,,,
2020100111,20200222,3,土,小倉,4,2,3.0,3.0,3.0,20.0,2.0,2.0,1.0,1.0,1.0,2,2.0,2.0,2.0,-8.0,4,,,,,,
2020050108,20200223,1,日,東京,1,1,3.0,2.0,2.0,-4.0,1.0,1.0,0.0,0.0,0.0,1,3.0,3.0,3.0,-4.0,4,,,,,,
