kaisai_key,yyyymmdd,course_name,kaisai_ku,weather_code,turf_baba_code,turf_baba_sa,turf_baba_inner,turf_baba_mid,turf_baba_outer,straight_sa_most,straight_sa_inner,straight_sa_mid,straight_sa_outer,straight_sa_far,dirt_baba_code,dirt_baba_sa,dirt_baba_inner,dirt_baba_mid,dirt_baba_outer,turf_type,grass_height,rain_mid,renzoku_day,data_ku
2020060101,20200105,中山,1,1,1 ,-6.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-6.0,2,2,2,3,14.0,0.0,10,4
2020080101,20200105,京都,2,1,1 ,-15.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,1 ,-1.0,2,2,2,3,16.0,10.5,1,4
2020060102,20200106,中山,1,1,1 ,-6.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-6.0,2,2,2,3,14.0,0.5,11,4
2020080102,20200106,京都,2,1,1 ,-15.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,1 ,-1.0,2,2,2,3,16.0,10.5,2,4
2020060103,20200111,中山,1,2,1 ,-10.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-8.0,2,2,2,3,14.0,14.0,12,4
2020080103,20200111,京都,2,1,1 ,6.0,3,2,2,1.0,1.0,0.0,0.0,0.0,2 ,-3.0,1,1,1,3,16.0,19.5,3,4
2020060104,20200112,中山,1,2,1 ,-10.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-8.0,2,2,2,3,14.0,14.0,13,4
2020080104,20200112,京都,2,1,1 ,6.0,3,2,2,1.0,1.0,0.0,0.0,0.0,1 ,-1.0,2,2,2,3,16.0,19.5,4,4
2020060105,20200113,中山,1,2,1 ,-10.0,2,2,2,0.0,0.0,0.0,0.0,0.0,1 ,-8.0,2,2,2,3,14.0,14.0,14,4
2020080105,20200113,京都,2,1,1 ,6.0,3,2,2,1.0,1.0,0.0,0.0,0.0,1 ,-1.0,2,2,2,3,16.0,19.5,5,4
2020060106,20200118,中山,1,2,2 ,-7.0,3,2,2,1.0,1.0,0.0,0.0,0.0,2 ,-11.0,1,1,1,3,14.0,13.0,15,4
2020080106,20200118,京都,2,2,1 ,8.0,3,2,2,1.0,1.0,0.0,0.0,0.0,1 ,0.0,2,2,2,3,16.0,0.5,6,4
2020100101,20200118,小倉,3,4,1 ,-20.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,2 ,-8.0,1,1,1,3,16.0,8.0,1,4
2020060107,20200119,中山,1,1,2 ,-7.0,3,2,2,1.0,1.0,0.0,0.0,0.0,3 ,-18.0,1,1,1,3,14.0,13.0,16,4
2020080107,20200119,京都,2,2,1 ,8.0,3,2,2,1.0,1.0,0.0,0.0,0.0,1 ,0.0,2,2,2,3,16.0,0.5,7,4
2020100102,20200119,小倉,3,2,1 ,-20.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,2 ,-8.0,1,1,1,3,16.0,8.0,2,4
2020060108,20200125,中山,1,2,1 ,2.0,3,2,2,1.0,1.0,0.0,0.0,0.0,2 ,-11.0,1,1,1,3,14.0,4.5,17,4
2020080108,20200125,京都,2,2,2 ,10.0,3,3,3,1.0,1.0,0.0,0.0,0.0,2 ,-2.0,2,2,2,3,16.0,19.5,8,4
2020100103,20200125,小倉,3,2,2 ,4.0,3,2,2,1.0,1.0,0.0,0.0,0.0,3 ,-17.0,1,1,1,3,16.0,37.5,3,4
2020060109,20200126,中山,1,2,1 ,2.0,3,2,2,1.0,1.0,0.0,0.0,0.0,1 ,-8.0,1,2,2,3,14.0,4.5,18,4
2020080109,20200126,京都,2,2,2 ,10.0,3,3,3,1.0,1.0,0.0,0.0,0.0,3 ,-8.0,2,2,2,3,16.0,19.5,9,4
2020100104,20200126,小倉,3,4,2 ,4.0,3,2,2,1.0,1.0,0.0,0.0,0.0,3 ,-17.0,1,1,1,3,16.0,37.5,4,4
2020050101,20200201,東京,1,1,1 ,-20.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,1 ,-4.0,3,3,3,3,16.0,73.0,1,4
2020080201,20200201,京都,2,1,1 ,6.0,3,2,2,1.0,1.0,0.0,0.0,0.0,2 ,-3.0,2,2,2,3,16.0,6.5,10,4
2020100105,20200201,小倉,3,1,2 ,18.0,3,3,3,1.0,1.0,1.0,1.0,1.0,2 ,-8.0,2,2,2,3,16.0,44.5,5,4
2020050102,20200202,東京,1,1,1 ,-20.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,1 ,-4.0,3,3,3,3,16.0,73.0,2,4
2020080202,20200202,京都,2,1,1 ,6.0,3,2,2,1.0,1.0,0.0,0.0,0.0,1 ,-1.0,3,3,3,3,16.0,6.5,11,4
2020100106,20200202,小倉,3,1,1 ,18.0,3,3,3,1.0,1.0,1.0,1.0,1.0,3 ,-17.0,1,1,1,3,16.0,44.5,6,4
2020050103,20200208,東京,1,1,1 ,-20.0,1,1,1,-1.0,-1.0,0.0,0.0,0.0,1 ,-4.0,3,3,3,3,16.0,0.0,3,4
