jockey_code,register_del_flag,register_del_date,jockey_name,jockey_kana,jockey_name_short,area_code,area_name,birthday,first_ride_year,apprentice_class,stable_code,jockey_comment,comment_date,year_leading,year_turf_wr,year_special_w,last_leading,last_turf_wr,last_special_w,data_date,year_turf_1st,year_turf_2nd,year_turf_3rd,year_turf_out,year_dirt_1st,year_dirt_2nd,year_dirt_3rd,year_dirt_out,last_turf_1st,last_turf_2nd,last_turf_3rd,last_turf_out,last_dirt_1st,last_dirt_2nd,last_dirt_3rd,last_dirt_out,total_turf_1st,total_turf_2nd,total_turf_3rd,total_turf_out,total_dirt_1st,total_dirt_2nd,total_dirt_3rd,total_dirt_out
10007,1,19920229,増沢末夫,マスザワ　スエオ,増沢末,1,,19371020,1957,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10011,1,19930228,徳吉一己,トクヨシ　カズミ,徳吉一,1,,19410201,1958,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10031,1,19930228,郷原洋行,ゴウハラ　ヒロユキ,郷原洋,1,,19440121,1962,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10040,1,19990114,大崎昭一,オオサキ　シヨウイチ,大　崎,1,,19450115,1963,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10043,1,19940228,久保敏文,クボ　トシフミ,久保敏,2,,19431121,1963,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10054,1,19920229,菅原泰夫,スガワラ　ヤスオ,菅原泰,1,,19460401,1964,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10066,1,19950228,樋口弘,ヒグチ　ヒロシ,樋口弘,2,,19470120,1965,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10068,1,19960229,小島太,コジマ　フトシ,小島太,1,,19470411,1966,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10072,1,19920229,田島良保,タジマ　ヨシヤス,田島良,2,,19471017,1966,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10076,1,20050310,岡部幸雄,オカベ　ユキオ,岡　部,1,,19481031,1967,0,,まだまだ衰え見られず。長距離戦は一級品。,20020815,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10077,1,19950228,柴田政人,シバタ　マサト,柴田政,1,,19480819,1967,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10082,1,19960613,清水英次,シミズ　エイジ,清水英,2,,19471214,1967,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10086,1,20010902,安田富男,ヤスダ　トミオ,安田富,1,,19471007,1968,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10090,1,19930228,作田誠二,サクタ　セイジ,作田誠,2,,19490307,1968,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
10091,1,19930228,武永祥,タケ　ナガヨシ,武永祥,2,,19480922,1968,0,,,,,,,,,,20260328,,,,,,,,,,,,,,,,,,,,,,,,
