race_id,num_horses,trio_count,trio_min,trio_max,trio_median,trio_p10
202006010101,16,407,15.8,9970.9,1140.6,73.6
202006010102,16,404,9.1,9972.4,1281.7,84.3
202006010103,16,422,9.4,9975.4,1189.8,86.1
202006010104,16,454,14.5,9789.3,1146.4,87.3
202006010105,10,120,10.8,7308.5,145.7,38.1
202006010106,15,348,6.6,9964.4,1208.0,77.4
202006010107,16,509,19.2,9938.2,925.0,93.0
202006010108,16,501,19.1,9856.2,755.1,90.3
202006010109,16,560,36.0,6997.8,666.0,109.3
202006010110,16,490,16.9,9990.7,867.7,83.2
202006010111,17,611,19.2,9923.1,1164.3,119.6
202006010112,16,559,28.0,9253.0,681.9,104.5
202008010101,16,516,11.2,9879.5,1403.3,101.6
202008010102,16,459,13.9,9967.1,1119.4,85.7
202008010103,16,491,10.1,9866.7,1046.0,86.9
202008010104,12,220,11.6,9669.3,390.9,57.6
202008010105,16,514,26.5,9972.0,930.0,110.5
202008010106,16,497,15.0,9966.0,1134.6,95.3
202008010107,16,515,21.3,9814.1,863.3,94.7
202008010108,16,473,8.7,9929.2,1176.9,103.4
202008010109,7,35,10.2,79.7,32.7,15.0
202008010110,16,516,13.2,9786.3,1055.8,104.9
202008010111,18,743,33.3,9963.6,1028.6,154.1
202008010112,16,504,14.7,9435.8,1031.6,93.3
202006010201,16,480,23.7,9928.6,858.8,81.5
202006010202,16,452,17.1,9879.1,850.2,79.7
202006010203,16,470,12.8,9861.7,1042.4,86.1
202006010204,16,510,11.3,9902.7,1250.4,109.0
202006010205,16,455,11.3,9738.7,1060.8,80.9
202006010206,16,467,25.4,9729.1,903.6,86.5
202006010207,11,165,7.5,6966.2,344.1,50.0
202006010208,16,432,15.9,9849.0,1086.1,80.9
202006010209,16,501,28.5,9665.3,735.0,83.5
202006010210,15,416,15.8,9840.3,851.6,80.1
202006010211,11,165,15.2,5238.6,165.5,48.0
202006010212,11,165,11.0,6349.5,293.8,50.8
202008010201,15,440,39.1,9466.7,600.9,77.5
202008010202,16,537,19.2,9931.1,823.8,96.5
202008010203,16,499,12.5,9843.2,1102.6,92.8
202008010204,12,220,7.7,7428.4,377.2,55.5
202008010205,16,460,12.9,9816.0,1224.2,88.0
202008010206,9,84,9.7,1452.7,101.8,33.4
202008010207,15,438,20.7,9956.1,774.9,89.5
202008010208,12,220,11.7,9390.5,366.2,56.1
202008010209,12,220,17.4,5055.6,288.2,59.8
202008010210,11,165,14.9,4226.0,223.0,51.1
