race_id,num_horses,umaren_count,umaren_min,umaren_max,umaren_median,umaren_p10
202006010101,16,120,9.8,9999.8,717.5,67.4
202006010102,16,120,10.2,9999.8,722.0,55.7
202006010103,16,120,10.5,9999.8,675.0,64.4
202006010104,16,120,15.0,9096.4,542.6,74.4
202006010105,10,45,6.8,1905.4,128.8,23.2
202006010106,15,105,9.0,9999.8,557.1,51.2
202006010107,16,120,14.9,7419.6,329.0,71.2
202006010108,16,120,17.9,9999.8,322.2,73.4
202006010109,16,120,30.2,1283.7,229.0,77.9
202006010110,16,120,11.8,9999.8,356.2,67.3
202006010111,17,136,14.5,4488.8,420.3,77.9
202006010112,16,120,19.7,1860.4,280.6,78.9
202008010101,16,120,10.0,4725.5,564.8,79.8
202008010102,16,120,11.1,9999.8,495.0,62.6
202008010103,16,120,11.6,4889.9,562.2,88.9
202008010104,12,66,8.8,1757.7,195.6,33.1
202008010105,16,120,22.6,4855.9,296.6,50.4
202008010106,16,120,9.2,5189.2,477.2,76.8
202008010107,16,120,21.7,4477.9,340.2,68.5
202008010108,16,120,8.6,3718.0,584.0,70.4
202008010109,7,21,12.2,127.4,29.6,17.6
202008010110,16,120,11.3,5411.5,431.8,70.1
202008010111,18,153,24.6,6919.4,372.6,81.4
202008010112,16,120,12.8,4974.0,414.7,73.2
202006010201,16,120,19.7,9999.8,346.4,57.3
202006010202,16,120,14.2,9999.8,388.7,60.5
202006010203,16,120,11.4,9999.8,486.2,65.6
202006010204,16,120,7.2,4906.7,556.7,60.8
202006010205,16,120,12.8,9999.8,562.9,71.9
202006010206,16,120,21.2,9999.8,416.7,56.7
202006010207,11,55,7.3,1395.5,169.1,25.9
202006010208,16,120,15.3,9999.8,554.7,61.4
202006010209,16,120,27.2,9999.8,316.2,71.0
202006010210,15,105,10.6,5794.4,390.2,58.7
202006010211,11,55,15.7,1382.9,115.1,33.4
202006010212,11,55,8.4,1690.3,147.0,27.9
202008010201,15,105,33.0,2956.1,233.5,45.6
202008010202,16,120,17.0,3876.2,326.4,72.3
202008010203,16,120,12.3,3051.7,436.4,69.8
202008010204,12,66,8.7,1553.8,222.9,43.3
202008010205,16,120,10.9,8800.6,534.7,75.7
202008010206,9,36,12.4,488.4,86.7,15.8
202008010207,15,105,19.5,1749.6,286.0,54.8
202008010208,12,66,10.3,1756.8,214.7,31.8
202008010209,12,66,18.3,1053.2,176.3,32.8
202008010210,11,55,12.9,1066.0,131.8,25.7
202008010211,15,105,12.9,1876.9,274.2,66.4
202008010212,16,120,12.0,2418.5,499.4,85.0
202006010301,16,120,11.2,9999.8,573.3,79.5
202006010302,16,120,8.4,9999.8,615.8,69.7
202006010303,16,120,9.0,9999.8,813.0,69.0
202006010304,16,120,8.8,9999.8,801.6,59.6
202006010305,16,120,15.3,8848.3,442.8,51.1
202006010306,16,120,10.4,9999.8,524.8,57.7
202006010307,16,120,26.4,8024.2,404.8,63.9
202006010308,13,78,12.8,3262.3,287.0,38.7
202006010309,16,120,21.4,9999.8,352.4,63.3
202006010310,16,120,13.5,7182.3,369.3,82.8
202006010311,13,78,14.1,2870.3,232.8,32.6
202006010312,16,120,16.7,9999.8,380.6,65.7
202008010301,16,120,19.3,8366.4,452.0,60.0
202008010302,16,120,14.5,6679.5,489.3,73.9
202008010303,16,120,10.0,2744.4,442.9,71.3
202008010304,13,78,9.7,2141.6,222.7,45.7
202008010305,16,120,15.2,2950.7,333.2,73.9
202008010306,16,120,15.6,4076.2,362.8,70.5
202008010307,8,28,7.9,453.2,80.3,13.2
202008010308,11,55,12.3,1256.7,130.2,28.4
202008010309,16,120,13.7,7213.2,461.2,61.3
202008010310,12,66,14.3,1144.3,157.7,25.2
202008010311,15,105,12.1,6763.5,406.8,54.5
202008010312,16,120,9.3,3351.8,422.1,71.3
202006010401,16,120,13.2,9999.8,609.2,62.0
202006010402,16,120,13.6,9999.8,391.3,63.3
202006010403,16,120,8.0,9999.8,652.5,67.8
202006010404,14,91,9.5,5514.2,432.8,53.2
202006010405,16,120,9.5,9999.8,523.7,61.3
202006010406,16,120,22.6,9999.8,361.5,53.1
202006010407,16,120,13.5,9999.8,396.6,60.3
202006010408,16,120,25.4,2528.1,230.8,69.0
202006010409,13,78,11.3,2435.0,244.6,36.9
202006010410,12,66,12.1,1073.7,157.5,39.1
202006010411,15,105,11.2,9999.8,451.2,79.5
202006010412,16,120,12.9,9999.8,458.1,67.9
202008010401,16,120,12.0,5687.8,391.0,75.3
202008010402,14,91,11.2,2374.0,332.6,56.5
202008010403,16,120,17.2,8832.8,368.4,68.7
202008010404,16,120,7.4,2709.8,486.1,69.8
202008010405,16,120,14.1,9999.8,488.5,54.9
202008010406,15,105,11.4,7194.5,290.8,63.6
202008010407,16,120,13.8,3489.4,340.0,73.0
202008010408,16,120,13.1,2469.5,323.6,69.9
202008010409,16,120,15.2,3063.6,324.1,69.5
202008010410,16,120,11.7,7811.3,408.0,70.7
202008010411,10,45,7.9,693.8,125.7,27.3
202008010412,12,66,11.6,938.4,177.1,33.0
202006010501,16,120,18.0,9999.8,490.2,48.2
202006010502,16,120,5.0,9999.8,1004.2,70.7
202006010503,16,120,11.0,9999.8,492.8,88.3
202006010504,16,120,7.4,4633.2,619.1,71.9
202006010505,15,105,12.6,7645.3,344.8,56.3
202006010506,16,120,12.1,9999.8,461.6,79.7
202006010507,15,105,19.3,9999.8,395.9,54.1
