race_id,num_horses,tierce_count,tierce_min,tierce_max,tierce_median,tierce_p10
202006010110,16,3360,61.1,769999.8,7150.5,728.6
202006010111,17,4080,75.5,319769.6,8340.5,989.8
202006010112,16,3360,117.2,64656.5,3959.0,800.0
202006010101,16,3360,48.9,769999.8,15099.9,881.3
202006010102,16,3360,30.2,769999.8,17830.8,997.9
202006010103,16,3360,32.0,769999.8,13971.3,898.1
202006010104,16,3360,56.3,769999.8,11134.6,852.5
202006010105,10,720,33.3,43888.8,1124.0,166.4
202006010106,15,2730,21.4,769999.8,13081.5,815.0
202006010107,16,3360,74.8,536905.6,6699.8,775.9
202006010108,16,3360,82.6,670822.3,5453.6,760.6
202006010109,16,3360,161.5,41496.1,3818.3,809.5
202008010101,16,3360,32.7,195130.2,9816.7,869.6
202008010102,16,3360,49.2,769999.8,10373.4,855.2
202008010103,16,3360,37.1,300228.8,8264.9,829.3
202008010104,12,1320,36.7,57584.1,2320.2,315.8
202008010105,16,3360,115.9,283015.3,6311.4,890.3
202008010106,16,3360,48.2,351227.9,8745.0,826.1
202008010107,16,3360,92.1,308945.1,6068.4,766.5
202008010108,16,3360,28.6,206758.6,10211.3,937.5
202008010109,7,210,38.0,666.9,141.2,58.6
202008010110,16,3360,45.7,375843.2,7215.1,832.2
202008010111,18,4896,139.1,535549.8,7234.5,1140.1
202008010112,16,3360,52.4,297259.9,7392.2,813.4
202006010201,16,3360,102.0,769999.8,7239.8,705.8
202006010202,16,3360,62.4,769999.8,8450.0,757.8
202006010203,16,3360,45.2,769999.8,9205.2,829.1
202006010204,16,3360,36.1,330168.5,9394.8,902.2
202006010205,16,3360,41.6,769999.8,10571.6,816.0
202006010206,16,3360,102.3,769999.8,8117.6,742.7
202006010207,11,990,24.3,41123.8,2003.5,236.2
202006010208,16,3360,55.4,769999.8,12009.2,841.0
202006010209,16,3360,129.7,769999.8,5683.7,698.1
202006010210,15,2730,56.7,434484.2,6126.7,655.1
202006010211,11,990,59.8,31505.1,1134.4,224.8
202006010212,11,990,35.7,38110.0,1689.0,221.5
202008010201,15,2730,175.8,163476.0,3849.4,613.7
202008010202,16,3360,78.7,211953.4,5219.2,761.5
202008010203,16,3360,45.7,168117.6,8106.3,816.3
202008010204,12,1320,26.3,44235.1,2167.8,305.8
202008010205,16,3360,40.5,769999.8,10991.6,856.3
202008010206,9,504,36.7,8603.0,737.5,145.6
202008010207,15,2730,88.3,76089.8,4892.6,706.6
202008010208,12,1320,40.5,55834.8,2162.0,313.9
202008010209,12,1320,71.6,29892.2,1677.3,332.6
202008010210,11,990,53.3,25150.5,1268.8,227.3
202008010211,15,2730,68.3,60124.8,3880.6,662.4
202008010212,16,3360,40.6,113002.3,6641.9,837.5
202006010301,16,3360,40.0,769999.8,14485.2,884.8
202006010302,16,3360,37.8,769999.8,12171.0,892.8
202006010303,16,3360,40.0,769999.8,19169.1,932.0
202006010304,16,3360,36.4,769999.8,19454.7,966.6
202006010305,16,3360,73.8,769999.8,8955.3,806.5
202006010306,16,3360,55.5,769999.8,10853.8,810.0
202006010307,16,3360,119.0,769999.8,7346.6,829.9
202006010308,13,1716,52.4,165419.8,3530.4,406.8
202006010309,16,3360,114.0,769999.8,5952.7,716.2
202006010310,16,3360,71.1,468921.5,6341.9,779.5
202006010311,13,1716,80.7,108452.0,2493.5,353.1
202006010312,16,3360,101.3,769999.8,6924.5,711.8
202008010301,16,3360,82.9,769999.8,7950.9,778.9
202008010302,16,3360,62.0,379681.8,8150.2,874.0
202008010303,16,3360,42.7,134720.4,7417.9,878.6
202008010304,13,1716,47.5,55578.0,2562.9,398.6
202008010305,16,3360,70.0,129215.7,5390.7,798.2
202008010306,16,3360,73.1,227147.6,5788.9,754.8
202008010307,8,336,18.6,5616.0,419.7,76.8
202008010308,11,990,47.9,38463.8,1270.0,216.8
202008010309,16,3360,50.1,463726.9,8756.1,813.4
202008010310,12,1320,64.6,20266.8,1616.0,278.9
202008010311,15,2730,67.8,389236.5,6030.2,638.6
202008010312,16,3360,42.3,170453.4,8123.9,835.1
202006010407,16,3360,55.2,769999.8,8078.1,728.0
202006010408,16,3360,174.9,81047.4,3320.3,819.3
202006010409,13,1716,44.0,88242.8,3040.0,397.5
202006010410,12,1320,56.2,21079.7,1523.8,318.0
202006010411,15,2730,43.1,608446.8,7445.0,642.6
202006010412,16,3360,48.0,769999.8,9595.6,799.2
202008010401,16,3360,54.5,417743.2,7864.4,789.6
202008010402,14,2184,37.4,93313.1,4288.6,530.5
202008010403,16,3360,73.4,644673.3,6124.9,746.0
202008010404,16,3360,41.2,128783.2,8123.3,898.4
202008010405,16,3360,53.7,769999.8,8878.3,798.2
202008010406,15,2730,64.2,480662.7,5301.5,603.4
202008010407,16,3360,65.0,145258.1,5468.6,796.6
202008010408,16,3360,73.9,129041.9,5344.9,801.0
202008010409,16,3360,76.2,124966.6,5590.4,793.3
202008010410,16,3360,65.5,423828.9,7630.2,809.3
202008010411,10,720,26.3,14370.1,966.4,166.6
202008010412,12,1320,54.1,26116.9,1765.3,305.8
202006010401,16,3360,52.8,769999.8,14480.1,892.7
202006010402,16,3360,74.2,769999.8,7848.5,759.5
202006010403,16,3360,39.7,769999.8,11403.4,815.4
202006010404,14,2184,27.5,403648.6,7484.6,571.5
202006010405,16,3360,49.7,769999.8,10652.2,795.4
202006010406,16,3360,98.9,769999.8,7060.1,691.8
202006010501,16,3360,80.2,769999.8,11379.2,731.5
202006010502,16,3360,18.1,769999.8,20301.6,1136.9
202006010503,16,3360,40.9,769999.8,10249.2,839.7
202006010504,16,3360,29.3,280827.1,10082.2,957.7
202006010505,15,2730,63.2,393354.7,6029.4,655.0
202006010506,16,3360,53.7,769999.8,10106.2,792.5
202006010507,15,2730,74.7,769999.8,7263.3,560.6
202006010508,10,720,25.2,64055.0,1491.3,176.4
202006010509,16,3360,92.7,164934.6,5193.9,753.4
202006010510,16,3360,123.4,176392.1,4403.4,780.2
202006010511,16,3360,46.7,769999.8,11996.2,916.7
202006010512,16,3360,94.5,769999.8,8964.6,697.5
202008010501,15,2730,43.4,769999.8,8792.8,673.1
202008010502,16,3360,60.2,769999.8,8253.7,766.1
202008010503,14,2184,70.5,109576.6,3547.7,502.1
202008010504,14,2184,40.1,116398.1,4999.4,561.3
202008010505,16,3360,38.0,420491.3,8718.0,876.3
202008010506,13,1716,33.8,51916.4,2903.2,401.8
202008010507,16,3360,53.4,769999.8,9679.7,876.0
202008010508,13,1716,79.2,68255.5,2326.1,404.7
202008010509,15,2730,32.5,202022.3,7278.2,667.2
202008010510,13,1716,71.1,21217.5,2005.9,404.6
202008010511,14,2184,71.4,114809.9,3808.0,516.7
202008010512,12,1320,35.3,17434.5,1589.2,296.8
202006010601,16,3360,86.2,104413.3,5411.8,788.0
202006010602,15,2730,33.0,769999.8,8288.4,711.6
202006010603,16,3360,55.4,769999.8,7127.5,769.5
202006010604,14,2184,41.7,195137.0,4762.1,515.1
202006010605,16,3360,70.0,241105.0,7285.5,775.9
202006010606,7,210,11.2,8428.6,312.9,49.9
202006010607,16,3360,76.0,769999.8,7293.3,808.3
202006010608,16,3360,33.3,769999.8,12667.6,911.5
202006010609,16,3360,97.6,273812.0,5217.1,760.4
202006010610,16,3360,98.1,504142.6,6069.1,782.3
202006010611,16,3360,80.5,109911.5,4772.4,800.2
202006010612,10,720,95.6,4410.6,506.4,196.4
202008010601,16,3360,24.2,769999.8,15417.9,1001.1
202008010602,10,720,20.3,13757.3,1266.5,167.5
202008010603,13,1716,37.4,137399.6,4268.3,426.5
202008010604,16,3360,42.8,769999.8,11807.3,871.5
202008010605,15,2730,27.3,636986.3,9486.2,739.3
202008010606,6,120,18.0,505.9,97.7,29.3
202008010607,12,1320,60.3,14984.7,1322.2,320.2
202008010608,14,2184,70.5,24666.6,2523.4,495.6
202008010609,12,1320,37.7,40948.5,2010.2,294.4
202008010610,10,720,92.6,2215.6,570.9,184.4
202008010611,15,2730,38.4,157375.1,6322.2,680.4
202008010612,16,3360,55.5,203111.0,7196.1,800.3
202010010101,13,1716,81.2,80137.8,2321.5,394.2
202010010102,15,2730,51.8,338243.0,6061.1,550.9
202010010103,18,4896,57.4,769999.8,14945.6,1255.7
202010010104,12,1320,24.4,66407.3,2960.9,330.3
202010010105,15,2730,30.3,152733.1,6386.8,749.1
202010010106,13,1716,71.0,38928.8,2343.9,396.3
202010010107,16,3360,45.1,342394.7,7888.2,822.1
202010010108,18,4896,95.6,769999.8,9924.5,1106.3
202010010109,16,3360,38.2,353229.9,8960.6,867.7
202010010110,16,3360,39.5,453895.7,9394.9,850.2
202010010111,16,3360,91.5,659065.3,6163.2,751.2
202010010112,14,2184,38.6,55615.2,3911.1,520.4
202006010701,16,3360,79.5,769999.8,9245.4,726.7
202006010702,16,3360,50.0,769999.8,18859.8,961.8
202006010703,15,2730,24.2,769999.8,12751.4,791.9
202006010704,16,3360,87.7,769999.8,6859.2,785.9
202006010705,16,3360,89.8,769999.8,8403.5,773.5
202006010706,16,3360,46.4,769999.8,10361.3,769.1
202006010707,15,2730,56.7,244143.5,6369.1,657.9
202006010708,15,2730,79.3,769999.8,5727.6,581.4
202006010709,12,1320,38.7,46194.4,2040.3,299.8
202006010710,16,3360,70.0,106977.1,5892.6,816.7
202006010711,12,1320,62.1,33195.9,1556.4,297.5
202006010712,16,3360,186.6,769999.8,5339.2,677.7
202008010701,9,504,13.0,17454.3,1016.2,109.3
202008010702,13,1716,45.7,109876.2,3278.4,418.9
202008010703,13,1716,59.2,101392.3,2676.9,390.4
202008010704,11,990,40.8,44798.4,1605.1,233.5
202008010705,16,3360,91.2,167902.5,6312.7,813.0
202008010706,12,1320,48.1,42262.5,2157.5,311.9
202008010707,10,720,30.6,7571.7,819.4,165.2
202008010708,10,720,18.9,30717.4,1283.2,150.7
