race_id,num_horses,wide_min,wide_max,wide_median
202006010101,16,2.1,246.7,65.3
202006010102,16,2.2,229.0,71.7
202006010103,16,2.3,236.4,69.1
202006010104,16,3.3,242.9,57.3
202006010105,10,1.9,139.4,18.1
202006010106,15,1.9,212.5,58.6
202006010107,16,3.2,237.3,46.2
202006010108,16,3.9,259.3,45.7
202006010109,16,6.3,142.3,34.5
202006010110,16,2.7,253.1,49.4
202006010111,17,3.2,214.3,55.5
202006010112,16,4.4,165.2,41.7
202008010101,16,2.1,188.4,61.5
202008010102,16,2.7,241.1,60.2
202008010103,16,2.6,204.3,65.2
202008010104,12,2.1,138.4,26.6
202008010105,16,4.9,230.9,42.1
202008010106,16,2.4,207.2,56.4
202008010107,16,4.5,221.8,46.0
202008010108,16,2.0,176.7,62.4
202008010109,7,2.7,18.6,5.6
202008010110,16,2.7,208.5,49.9
202008010111,18,5.1,249.0,54.6
202008010112,16,2.8,211.8,55.3
202006010201,16,4.3,276.2,49.0
202006010202,16,2.9,266.6,52.9
202006010203,16,2.6,239.6,53.7
202006010204,16,1.9,194.6,59.8
202006010205,16,2.7,245.8,66.2
202006010206,16,4.2,272.0,56.3
202006010207,11,1.9,114.6,23.4
202006010208,16,2.9,251.5,68.3
202006010209,16,5.6,278.3,48.6
202006010210,15,2.5,219.5,45.6
202006010211,11,3.3,136.0,18.9
202006010212,11,2.1,135.2,22.8
202008010201,15,6.9,206.9,36.3
202008010202,16,3.6,209.7,45.3
202008010203,16,2.7,183.4,56.7
202008010204,12,2.0,126.6,29.7
202008010205,16,2.4,221.2,62.2
202008010206,9,2.7,59.8,12.2
202008010207,15,4.1,158.5,40.7
202008010208,12,2.5,143.6,27.5
202008010209,12,3.8,119.3,26.7
202008010210,11,2.8,114.8,22.0
202008010211,15,3.1,156.8,39.5
202008010212,16,2.6,163.2,55.9
202006010301,16,2.5,250.9,65.4
202006010302,16,1.9,226.2,65.8
202006010303,16,2.2,248.9,79.3
202006010304,16,2.2,244.4,77.6
202006010305,16,3.5,246.0,60.1
202006010306,16,2.5,252.4,65.3
202006010307,16,5.5,256.9,60.0
202006010308,13,3.0,188.7,34.0
202006010309,16,4.4,260.5,50.5
202006010310,16,3.2,232.7,48.5
202006010311,13,3.2,190.4,31.7
202006010312,16,3.8,274.2,48.6
202008010301,16,3.9,247.4,53.5
202008010302,16,2.8,223.3,58.3
202008010303,16,2.3,171.5,53.0
