race_id,furlong_times,corner1_order,corner2_order,corner3_order,corner4_order,pace_up_pos,bias_1corner,bias_2corner,bias_backstr,bias_3corner,bias_4corner,bias_straight,race_comment
202006010101,"11.9,10.8,11.2,12.5,13.1,13.8,,,,,,,,,,,,",,,"(*9,10,13)12-7(4,6,14)-(3,11,16)(1,5,8)15,2","(*9,10)13,12,7(4,6)14,3,16(1,11)(5,8)2-15",0.0,,,222,222,22222,22222,軽い馬場。Ｈペースで流れ好位追走した勝ち馬が直線抜け出し、外から追い込んできた２着馬の追撃を抑えて勝利。
202006010102,"12.4,11.8,12.6,13.1,13.0,13.2,13.5,13.4,13.8,,,,,,,,,","11,13(8,16)4,12(2,9)(10,14)-(1,7)15(3,5)=6","11,13,8-4,16(2,12)9,10,14,1,7(3,15)5=6","(*11,13)8(2,16,12)(4,10)9(1,5)(3,14,15)7=6","(11,*13)2(10,16)8,12,7-(9,3)(1,5)4,15-14-6",0.0,222,222,222,222,22222,22222,軽い馬場。Ｈペースで流れ中団馬群を追走した２着馬が直線叩き合いで抜け出すが、外から追い込んできた勝ち馬が最後に捉えた。
202006010103,"12.2,10.8,11.8,12.3,12.1,12.9,,,,,,,,,,,,",,,"15,9,6(7,12)(1,2,14)(3,5)16,4(8,13,11)10","15(6,9)-(1,7,12)(2,14)(3,5,16)4-(8,13)11-10",0.0,,,222,222,22222,22222,軽い馬場。平均ペースで流れ逃げ馬が渋太く押し切った。番手の内回った２着馬だけが食い下がり、３着以下は大きく離された。
202006010104,"12.8,12.0,13.0,13.4,13.1,13.3,13.6,13.1,13.8,,,,,,,,,","2(4,10)(1,12)(11,15)-5(3,6)-8-7=13,16-(9,14)","2,4(1,10)12(3,11,15)5,6-8,7=13-16,9,14","(*4,10,12)2(1,15)(3,11,5,6)7,8-13=16(9,14)","(4,*10)(1,15)(3,12)5,11(2,8,7)-6,13=9,16-14",2.0,222,222,222,222,22222,22222,軽い馬場。Ｈペースで流れ番手追走した２着馬が直線抜け出すが、好位馬群追走した勝ち馬だけがこれを捉えた。
202006010105,"12.7,11.5,12.7,12.0,12.8,12.0,12.1,12.1,11.6,11.9,,,,,,,,","4,9(8,6,10)-(3,5,2)-1,7","4,9(8,10)6(3,5,2)(1,7)","(*4,9)10(8,6)(5,2)(3,1,7)","4(9,6)(8,5,10)(3,2)1,7",5.0,222,222,222,422,44444,54222,荒れ馬場だが内有利。スローペースで流れ好位馬群追走した勝ち馬が直線しっかり抜け出した。２着は中団追走した馬が浮上。３着以下はバテる。
202006010106,"12.8,12.4,13.1,12.7,12.4,12.4,12.8,12.8,13.9,,,,,,,,,","8,11(1,14)(7,15)10,6,12(3,4)9,2,5,13","8-11,14(1,7,15)(10,6)12,3,4(2,9)5-13","8(11,14)(15,9)(1,7,6)(10,3)(12,4)5,2,13","8,14(15,9)(11,6)3,7(1,10,5)4(2,13)12",0.0,222,222,222,222,22222,22222,軽い馬場。平均ペースで流れ逃げ馬が後続を突き放し圧勝。２着は番手の外追走した馬が粘り込み。
202006010107,"12.7,11.7,13.3,12.1,12.4,11.9,12.1,11.7,11.6,11.9,,,,,,,,","12,13(1,7)5(3,15)(8,16)9(2,6,14)11(10,4)","12(1,13,7)(3,5)(8,15)2(9,16)(10,4,6)(14,11)","(*12,13)7(1,5)15(3,8,11)16,2(9,6,14)(10,4)","(*12,13)(1,5,7,15)(8,11)(3,16)(2,14)(10,9,6)-4",5.0,222,222,222,422,44444,54222,荒れ馬場だが内有利。スローペースで流れ好位の内回った勝ち馬が直線抜け出し完勝。２着争いは４頭接戦。
202006010108,"11.8,10.3,11.1,12.0,12.4,13.3,,,,,,,,,,,,",,,"(*3,9)(4,13)15(6,10,12)(1,2,16)-(5,11)14(8,7)","3,9(4,13)(6,10)(1,2,15)12(5,11,16)(14,7)-8",0.0,,,222,222,22222,22222,軽い馬場。Ｈペースで流れ逃げ馬が後続を突き放し圧勝。２着は馬群を割って浮上した差し馬。
202006010109,"12.8,12.3,13.4,12.9,12.0,12.0,12.4,12.2,13.2,,,,,,,,,","11,12,5(7,13)3,10(1,8)(6,15)2,16,4(14,9)","11,12(5,13)7(3,10)(1,8)(6,15)2,4,16-(14,9)","(*11,12)13(7,10)2(5,3)(8,15)(1,6)4-16(14,9)","(*11,12)(7,13,10)2,3,15(5,8,1,6,4)(14,16)9",6.0,222,222,222,222,22222,22222,軽い馬場。スローペースで流れ中盤速い流れ。先行した２頭が後続を突き放し叩き合って入線。
202006010110,"11.9,10.6,10.8,11.2,10.9,12.6,,,,,,,,,,,,",,,"15(3,7)(12,14)(2,10,16)1(9,11)-(4,5,6)8,13","15-(3,7)(2,12)(10,14,16)1(9,11)4,5,8(13,6)",0.0,,,222,422,44444,54222,荒れ馬場だが内有利。Ｈペースで流れ直線逃げ馬がリードを築き外から追い込んできた２頭の追撃をなんとか凌いだ。
