blood_num,horse_name,sex_code,hair_color_code,keito_code,father_name,mother_name,bms_name,birthday,father_birth_year,mother_birth_year,bms_birth_year,owner_name,owner_code,breeder_name,birthplace,register_del_flag,data_date,father_code,bms_code
17102716,イズジョーボヌール,2,04,00,アサクサキングス,ビバロングライフ,コマンダーインチーフ,20170523,2004,2003,1990,泉　一郎氏,09,森　政巳,新ひだか,0,20200105,1104,1104
17105548,ブリジャール,1,03,00,ブラックタイド,ボシンシェ,キングマンボ,20170206,2001,2004,1990,㈲シルクレーシング,03,ノーザンファーム,安平,0,20200105,1206,1503
17102937,エスケイサムソン,1,03,00,メイショウサムソン,リアユニヴァース,ネオユニヴァース,20170227,2003,2009,2000,伊藤　輔則氏,,高昭牧場,浦河,0,20200105,1109,1206
17100278,サンタラハシー,2,01,00,グラスワンダー,ネビュラ,ネオユニヴァース,20170502,1995,2011,2000,㈱加藤ステーブル,03,ケイズ,日高,0,20200105,1207,1206
17102909,シゲルカメレオンザ,1,03,00,アドマイヤムーン,クイーンフラワー,ロージズインメイ,20170616,2003,2007,2000,森中　蕃氏,09,高昭牧場,浦河,0,20200105,1503,1206
17106780,トゥーヤング,2,03,00,アンライバルド,ディーズプリンセス,ゴールドアリュール,20170531,2006,2009,1999,三岡　陽氏,,川上牧場,新冠,0,20200105,1206,1206
17101066,ペイシャワイルド,2,01,00,フリオーソ,ワイルドフェイス,ワイルドラッシュ,20170515,2004,2008,1994,北所　直人氏,01,赤石牧場,平取,0,20200105,1207,1402
17103257,ガッツ,1,03,00,マツリダゴッホ,イッツマイン,メディシアン,20170302,2003,2012,1997,㈲ミルファーム,03,岡田スタツド,新ひだか,0,20200105,1206,1503
15101886,ファントムメナス,1,04,00,ゴールドアリュール,エスワンスペクター,シャンハイ,20150520,1999,2001,1989,㈱ノルマンディーサラブレッドレーシング,02,広富牧場,日高,0,20200105,1206,1503
14104409,ラッキーアドバンス,1,07,05,スズカマンボ,ウエスティンタイム,ブライアンズタイム,20140307,2001,2001,1985,柳内　正基氏,06,グランド牧場,新ひだか,0,20200105,1206,1207
13105161,タンタラスノオカ,1,04,00,アッミラーレ,カンタベリーラヴ,マイネルラヴ,20130302,1997,2005,1995,嶋田　賢氏,03,ヤマイチ牧場,むかわ,0,20200105,1206,1503
15105507,アストロローグ,3,03,05,シニスターミニスター,フォーチュネイター,フォーティナイナー,20150304,2003,2002,1985,㈱ヒダカ・ブリーダーズ・ユニオン,01,岡田牧場,新ひだか,0,20200105,1311,1503
12102566,カフェライジング,1,03,00,マンハッタンカフェ,カフェララルー,ストラヴィンスキー,20120412,1998,2001,1996,西川　恭子氏,05,三石橋本牧場,新ひだか,0,20200105,1206,1107
16105669,レコードチェイサー,2,01,05,ディープブリランテ,ゴールドチェイス,アドマイヤムーン,20160322,2009,2010,2003,㈲グランド牧場,01,グランド牧場,新ひだか,0,20200105,1206,1503
14105413,バーミーブリーズ,2,03,00,キンシャサノキセキ,ウィンドハック,プラティニ,20140505,2003,2003,1989,吉田　照哉氏,01,社台ファーム,千歳,0,20200105,1206,1907
14102897,トリオンフ,3,04,00,タートルボウル,メジロトンキニーズ,ダンスインザダーク,20140421,2002,2002,1993,㈲桑田牧場,05,レイクヴィラファーム,洞爺湖,0,20200105,1101,1206
17101927,マイネルアルファー,1,05,00,スクリーンヒーロー,マイネアルナイル,ロージズインメイ,20170331,2004,2009,2000,㈱サラブレッドクラブ・ラフィアン,01,ビッグレッドファーム,新冠,0,20200105,1207,1206
17105844,エイシンアヴァロン,1,03,00,ロードカナロア,エイシンオルドス,フジキセキ,20170325,2008,2011,1992,㈱栄進堂,06,栄進牧場,浦河,0,20200105,1503,1206
17105817,ハルフェティ,1,04,00,トゥザグローリー,オードリーローズ,ブライアンズタイム,20170428,2007,2003,1985,畑佐　博氏,07,浦河小林牧場,浦河,0,20200105,1503,1207
14100508,アルムチャレンジ,1,04,00,シンボリクリスエス,タガノスティード,チーフベアハート,20140404,1999,2006,1993,崎川　美枝子氏,08,新冠タガノファーム,新冠,0,20200105,1207,1106
17101999,ビナアテナ,2,05,00,メイショウボーラー,シャークブロード,ディアブロ,20170303,2001,2002,1987,井之口　二三雄氏,00,プログレスファーム,新冠,0,20200105,1206,1206
14100374,ジャックナイフ,1,03,05,カンパニー,スーパーマルトク,アドマイヤボス,20140412,2001,2003,1997,岡　浩二氏,08,竹中牧場,新冠,0,20200105,1307,1206
14104589,タマモコーラス,2,04,00,サウスヴィグラス,タマモメロディ,ブライアンズタイム,20140416,1996,2007,1985,タマモ㈱,09,曾我　博,新ひだか,0,20200105,1503,1207
14105417,フナウタ,2,01,00,ダイワメジャー,ヴァイオレットラブ,ドクターデヴィアス,20140211,2001,1997,1989,谷掛　龍夫氏,09,社台ファーム,千歳,0,20200105,1206,2203
17101677,キーテーマ,1,01,00,プリサイスエンド,キーツヨイ,タバスコキャット,20170412,1997,2002,1991,北前　孔一郎氏,09,中本牧場,新冠,0,20200106,1503,1108
17102353,ラシカルガイブ,2,01,00,ゴールドシップ,ロバーブ,ドバイデスティネーション,20170130,2009,2005,1999,㈲ビッグレッドファーム,01,木田牧場,新ひだか,0,20200106,1206,1503
17101867,レーヌセレスティン,2,03,00,キズナ,ルヴェソンヴェール,クロフネ,20170119,2010,2011,1998,佐々木　雄二氏,05,ハシモトフアーム,新冠,0,20200106,1206,1103
17102523,フジコサン,2,03,00,カネヒキリ,トリプルスレット,タイキシャトル,20170303,2002,2006,1994,藤本　栄史氏,,仲野牧場,新ひだか,0,20200106,1206,1206
17100083,ティーポンド,1,06,00,スクリーンヒーロー,ナムラクニヒメ,キンググローリアス,20170520,2004,2003,1986,深見　富朗氏,07,いとう牧場,日高,0,20200106,1207,1503
17101933,スノープロー,2,01,00,アイルハヴアナザー,マイネオーチャード,ステイゴールド,20170131,2009,2008,1994,㈱サラブレッドクラブ・ラフィアン,01,ビッグレッドファーム,新冠,0,20200106,1503,1206
17105930,シャイニーステラ,2,03,00,ダンカーク,ラブリイステラ,クロフネ,20170429,2006,2008,1998,キャピタルクラブ,01,カナイシスタッド,浦河,0,20200106,1503,1103
13105429,プランスシャルマン,3,01,00,ジャングルポケット,カラフルトーク,サンデーサイレンス,20130308,1998,1999,1986,村野　康司氏,05,社台ファーム,千歳,0,20200106,1307,1206
16106180,サクセスファイター,1,01,00,ハービンジャー,ユキノマーメイド,スペシャルウィーク,20160506,2006,2003,1995,高嶋　哲氏,06,服部　牧場,新ひだか,0,20200106,1106,1206
15102375,ロードザナドゥ,3,04,00,ロードカナロア,シンメイフジ,フジキセキ,20150212,2008,2007,1992,㈱ロードホースクラブ,06,ケイアイファーム,新ひだか,0,20200106,1503,1206
13102177,マサノシーザー,1,03,00,キンシャサノキセキ,サザンビューティー,クロフネ,20130409,2003,2003,1998,猪野毛　雅人氏,01,猪野毛牧場,新ひだか,0,20200106,1206,1103
15103646,ハクサンペリー,1,03,00,クロフネ,サウンドウェーブ,シンボリクリスエス,20150408,1998,2007,1999,河崎　五市氏,05,鮫川　啓一,浦河,0,20200106,1103,1207
17109126,ブーシェガール,2,03,00,ラブイズブーシェ,コパノチカチャン,ワイルドラッシュ,20170305,2009,2006,1994,小林　祥晃氏,05,本田　土寿,熊本,0,20200106,1206,1402
17104100,セプタードアイル,1,04,00,ベルシャザール,テンザンアモーレ,タイキシャトル,20170415,2008,2002,1994,吉岡　泰治氏,08,藤原牧場,新ひだか,0,20200106,1503,1206
17104084,ロードローラー,1,07,00,クロフネ,マーヴェリックス,スマートストライク,20170401,1998,2010,1992,市川義美ホールディングス㈱,09,フジワラフアーム,新ひだか,0,20200106,1103,1503
