horse_career_n_races,horse_career_top3,horse_id,horse_last_agari,horse_last_class,horse_last_distance,horse_last_finish,horse_last_jockey,horse_last_pass1,horse_last_pass4,horse_last_surface,horse_last_trainer,horse_recent5_top3,horse_recent5_win,is_jackpot,jockey_id,jockey_recent30_n,jockey_recent30_top3,jockey_recent30_win,jockey_trainer_combo_top3,race_id,trainer_recent30_top3,trainer_recent30_win,umaban
1,0.0,2023103874,39.6,15,1400,5,1168,0.0,8.0,ダ,1082,0.0,0.0,0,01032,30,0.23333333333333334,0.1,0.3548387096774194,202608030501,0.16666666666666666,0.06666666666666667,1
1,0.0,2023100446,40.8,15,1800,9,1152,1.0,2.0,ダ,1085,0.0,0.0,0,01138,30,0.16666666666666666,0.03333333333333333,0.11650485436893204,202608030501,0.23333333333333334,0.13333333333333333,2
4,0.0,2023100452,36.2,7,1200,6,1157,0.0,8.0,ダ,1178,0.0,0.0,0,01126,30,0.36666666666666664,0.2,0.3728813559322034,202608030501,0.13333333333333333,0.03333333333333333,3
,,2023100552,,,,,,,,,,,,0,01174,30,0.3,0.1,,202608030501,,,4
4,0.5,2023103163,39.3,7,1400,3,1216,0.0,4.0,ダ,1173,0.5,0.0,0,01216,30,0.16666666666666666,0.06666666666666667,0.3157894736842105,202608030501,0.26666666666666666,0.06666666666666667,5
3,0.0,2023101130,38.9,7,1200,12,1185,0.0,4.0,ダ,1028,0.0,0.0,0,01128,30,0.1,0.0,0.0,202608030501,0.16666666666666666,0.03333333333333333,6
2,0.0,2023100596,37.7,7,1400,4,1018,0.0,7.0,ダ,1099,0.0,0.0,0,01213,30,0.36666666666666664,0.13333333333333333,0.2222222222222222,202608030501,0.2,0.1,7
3,0.0,2023102903,42.6,7,1400,9,1208,0.0,9.0,ダ,1098,0.0,0.0,0,01180,30,0.26666666666666666,0.06666666666666667,0.32142857142857145,202608030501,0.13333333333333333,0.03333333333333333,8
,,2023106134,,,,,,,,,,,,0,01220,30,0.1,0.03333333333333333,,202608030501,,,9
3,0.6666666666666666,2023103718,37.2,7,1400,3,1171,0.0,3.0,ダ,1164,0.6666666666666666,0.0,1,01171,30,0.3,0.06666666666666667,0.32432432432432434,202608030501,0.23333333333333334,0.13333333333333333,10
