race_id,umaban,horse_name,master_total,master_start,master_chase,master_finish
202505010101,7,サトノシャムロック,75,95,84,91
202505010101,4,クラウンハート,78,86,79,98
202505010101,10,バーンズベリー,73,94,86,86
202505010101,12,マサノユニコーン,72,89,81,91
202505010101,16,キャストロププ,65,91,79,86
202505010101,2,ナクライト,70,96,88,83
202505010101,15,フェンスブレイカー,68,98,89,79
202505010101,14,グリームスター,67,84,76,91
202505010101,13,キープサインオン,67,98,89,78
202505010101,8,エンジェルラダー,67,99,90,77
202505010101,6,レッドソニード,63,90,85,79
202505010101,9,スーパーホース,61,80,70,91
202505010101,3,ボーマン,55,87,78,77
202505010101,1,エソテリック,54,84,75,79
202505010101,5,キタノルシール,51,77,69,82
202505010101,11,メイショウヒンカク,45,75,59,87
202501010101,3,ショウナンカリス,87,88,84,103
202501010101,4,ファニーバニー,83,93,90,94
202501010101,2,ハルヒメ,77,89,87,89
202501010101,7,カンレイスター,72,89,88,84
202501010101,12,ココソラーレ,62,88,84,78
202501010101,11,ストームサンダー,67,93,87,81
202501010101,10,サンタカリス,67,82,74,94
202501010101,8,トーセンクリステル,59,80,75,84
202501010101,5,モズプリフォール,65,88,82,82
202501010101,9,オンマイビート,56,81,73,83
202501010101,6,ナムラシンジロー,48,82,76,72
202501010101,1,セイウンダイフク,51,68,61,90
202501010102,9,エンジェルラダー,73,96,84,76
202501010102,2,タイセイアビリティ,73,88,75,85
202501010102,12,ラピルスイメル,64,88,75,76
202501010102,8,サツキレジーナ,72,83,66,89
202501010102,5,レイアポポ,65,93,79,72
202501010102,6,サラサエンペラー,63,83,69,80
202501010102,4,キャットデイ,62,93,81,68
202501010102,10,タイセイルーマー,59,85,72,75
202501010102,1,ユウグレ,46,85,64,61
202501010102,7,コッコラーレ,44,93,80,51
202501010102,11,グランヴァルール,43,78,60,65
202501010102,3,グロリオン,42,81,61,61
202501010103,12,ディアウス,85,103,106,86
202501010103,13,ジョードリウム,83,102,105,84
202501010103,5,オオタチ,79,95,92,88
202501010103,4,ネトル,75,100,101,79
202501010103,14,オロパタジン,65,98,99,72
202501010103,9,キンセンオー,62,98,93,74
202501010103,11,ファジーロップ,69,96,98,74
202501010103,2,ジーティートゥルー,67,93,90,79
202501010103,6,サヨノミッキー,58,96,92,72
202501010103,10,タイセイバンクール,64,98,100,68
202501010103,3,ベイビーベリッシモ,58,94,90,69
202501010103,7,カズナリ,50,92,87,67
202501010103,1,ニッシンゲッポ,56,92,85,70
202501010103,8,カシマスウィープ,53,91,88,66
202501010104,8,シンヒダカゴールド,94,101,96,97
202501010104,14,ワタシマツワ,87,96,92,96
202501010104,4,エピファランド,91,97,94,97
202501010104,11,ベルジャッド,83,92,88,98
202501010104,9,リリーオブザハート,86,93,89,100
202501010104,13,オフザチェイン,82,96,93,91
202501010104,1,ゴールドハーディス,80,85,82,99
202501010104,7,エミネントキャリア,80,94,90,92
202501010104,10,ディアマント,69,89,83,89
202501010104,12,レフレクシオ,67,93,90,79
202501010104,3,バダジェフスカ,70,93,92,81
202501010104,5,ブリスディーシャ,72,91,86,86
202501010104,6,テーオーカバリエ,65,89,83,83
202501010104,2,マザーズウィル,64,91,88,79
202501010105,13,テイエムキハク,78,101,94,88
202501010105,6,ニャンタロウ,68,90,88,85
202501010105,5,ミヤエスケープ,71,99,93,82
202501010105,8,ロードアマルフィ,69,101,97,77
202501010105,10,チャーリー,63,102,97,72
202501010105,1,メイショウコシュウ,58,86,75,82
202501010105,3,ウォータースパウト,51,93,92,63
202501010105,2,チカマヨルキーナ,50,89,83,69
202501010105,4,エクストラプッシュ,48,82,76,73
202501010105,12,ニミッツハイウェイ,41,83,69,83
202501010105,7,ハグレジョー,46,101,98,56
202501010105,11,フォールティア,23,88,83,43
202501010105,9,シホノソルジェンテ,16,101,94,31
