mother,total_offspring,total_races,win_rate,top3_rate,avg_finish,best_class,shinba_win_rate
リーベストラウム,9,240,0.0625,0.2375,7.0333,7,0.0
プレシャスエルフ,9,225,0.1156,0.3422,6.5111,7,0.25
ポポチャン,10,224,0.0625,0.2009,7.5045,7,0.0
クロウキャニオン,15,223,0.1211,0.3901,6.2242,7,0.5455
ナナヨーティアラ,11,222,0.0811,0.2207,7.4775,7,0.0
ベルグチケット,7,218,0.0092,0.078,9.0596,7,0.0
シルヴァーカップ,11,215,0.093,0.3023,6.1349,7,0.2222
アガルタ,10,215,0.1209,0.3907,6.2605,7,0.2857
スズカローラン,9,215,0.0837,0.2698,6.9163,7,0.0
タマヒカル,11,211,0.0664,0.2701,7.3697,7,0.2
スペシャルディナー,12,202,0.1188,0.3317,6.5149,7,0.4444
キョウエイトルース,8,201,0.1244,0.3582,6.2687,7,0.2
タガノレヴェントン,9,197,0.1218,0.3046,5.9543,7,0.1429
ヴンダーゾンネ,11,196,0.0612,0.1633,8.4082,7,0.0909
テンイムホウ,9,195,0.0359,0.2154,7.641,7,0.0
セレブラール,10,192,0.1458,0.4583,5.6302,7,0.2222
イクスキューズ,9,191,0.1152,0.3979,5.5707,7,0.0
ユキノマーメイド,11,191,0.1309,0.3089,6.6492,7,0.1111
アイシースズカ,10,190,0.0474,0.2211,7.5053,7,0.0
マイネテレジア,8,186,0.1022,0.2903,6.8925,7,0.375
スズカフローラ,6,184,0.0489,0.1848,7.7772,7,0.0
レツィーナ,11,184,0.125,0.3043,6.6033,7,0.0
ヴァイスハイト,10,182,0.0989,0.2692,6.6484,7,0.3333
レディトゥプリーズ,8,180,0.1167,0.3778,5.7389,7,0.1667
アンジェラスキッス,11,180,0.0556,0.2111,7.5222,7,0.2222
ラヴズオンリーミー,11,180,0.15,0.4,5.9167,7,0.5
ヴァップ,8,179,0.0503,0.1788,7.5084,7,0.0
ディアデラノビア,11,178,0.1966,0.4157,5.7697,7,0.5714
マイネヌーヴェル,8,176,0.1193,0.3182,5.6534,7,0.0
コスモクラッベ,7,176,0.0568,0.25,6.6648,7,0.0
フレアキャスケード,7,176,0.0852,0.2386,6.3693,7,0.1667
マイネアルデュール,10,174,0.0517,0.2299,6.8908,7,0.1111
モンローブロンド,9,174,0.1322,0.2931,6.5115,7,0.375
スタイルリスティック,7,174,0.0862,0.2586,7.1667,7,0.4
タニノカリス,8,173,0.0809,0.2139,7.474,7,0.0
