horse_num,horse_name,location,jockey,odds,pop_rank,prev_finish,jra_grade_exp,nar_g_exp,distance_aptitude,prev_form,jockey_grade_score,blood_type,style,sleeper_score,note
8,ミッキーファイト,JRA(美浦),ルメール,1.5,1,2,5,3,5,5,5,スピード型,先行,1,1.5倍堅軸 / ルメール持続
10,ウィルソンテソーロ,JRA(美浦),川田将雅,5.7,3,2,5,5,5,4,5,キンカメ系,差し,5,昨年勝ち馬 / 5.7倍旨味
2,コスタノヴァ,JRA(美浦),レーン,5.1,2,3,4,2,4,5,5,スピード型,先行,2,レーンNAR経験80鞍
13,ナチュラルライズ,JRA(美浦),横山武史,17.9,5,7,3,1,4,3,4,キンカメ系,差し,3,前走7着が懸念
1,シャマル,JRA(栗東),川須栄一,17.6,4,10,4,3,4,1,2,スピード型,逃げ,3,牡8歳ベテラン / 川須伏兵
3,ロードフォンス,JRA(栗東),横山和生,20.2,6,4,3,1,3,3,3,スピード型,差し,2,中堅
6,ジョージテソーロ,北海道,落合玄太,34.0,7,1,1,4,3,5,2,NAR系,先行,1,門別連勝中だがG級不安
7,ベアバッキューン,川崎,野畑凌,95.5,8,1,0,3,2,5,1,NAR系,先行,0,川崎4歳新興だが格不足
4,リコースパロー,船橋,澤田龍馬,225.5,10,3,0,2,2,3,1,NAR系,差し,0,200倍超大穴
5,ガバナビリティー,船橋,笠野雄大,197.5,9,1,0,2,2,5,1,NAR系,逃げ,0,連勝中だが格不足
9,オーマイグッネス,大井,藤本現暉,430.7,11,13,0,2,2,1,1,NAR系,差し,0,前走13着完敗
11,グランデマーレ,船橋,岡村健司,566.1,13,14,0,2,1,1,1,NAR系,差し,0,牡9歳完全消化試合
12,リュードマン,船橋,篠谷葵,527.0,12,5,0,2,1,3,1,NAR系,差し,0,牡9歳完全消化試合
