horse_num,horse_name,sex_age,weight_carry,jockey,trainer,location,odds,pop_rank,prev_finish
1,シャマル,牡8,57.0,川須栄一,松下武士,JRA(栗東),17.6,4,10
2,コスタノヴァ,牡6,57.0,レーン,木村哲也,JRA(美浦),5.1,2,3
3,ロードフォンス,牡6,57.0,横山和生,安田翔伍,JRA(栗東),20.2,6,4
4,リコースパロー,牡4,57.0,澤田龍馬,荒山勝徳,船橋,225.5,10,3
5,ガバナビリティー,牡4,57.0,笠野雄大,佐藤太一,船橋,197.5,9,1
6,ジョージテソーロ,牡5,57.0,落合玄太,小久保智,北海道,34.0,7,1
7,ベアバッキューン,牡4,57.0,野畑凌,鈴木義久,川崎,95.5,8,1
8,ミッキーファイト,牡5,57.0,ルメール,田中博康,JRA(美浦),1.5,1,2
9,オーマイグッネス,牡6,57.0,藤本現暉,山田信大,大井,430.7,11,13
10,ウィルソンテソーロ,牡7,57.0,川田将雅,高木登,JRA(美浦),5.7,3,2
11,グランデマーレ,牡9,57.0,岡村健司,山本学,船橋,566.1,13,14
12,リュードマン,牡9,57.0,篠谷葵,矢内博,船橋,527.0,12,5
13,ナチュラルライズ,牡4,57.0,横山武史,伊藤圭三,JRA(美浦),17.9,5,7
