horse_num,horse_name,sex_age,weight_carry,jockey,trainer,location,odds,pop_rank,prev_finish,p_lgb,p_xgb,p_ens,rank
8,ミッキーファイト,牡5,57.0,ルメール,田中博康,JRA(美浦),1.5,1,2,0.7855022982388727,0.7690524,0.7772760955715234,1
2,コスタノヴァ,牡6,57.0,レーン,木村哲也,JRA(美浦),5.1,2,3,0.5148871098093609,0.49289027,0.503887033539008,2
10,ウィルソンテソーロ,牡7,57.0,川田将雅,高木登,JRA(美浦),5.7,3,2,0.4873010002367355,0.46475044,0.47602402405935423,3
1,シャマル,牡8,57.0,川須栄一,松下武士,JRA(栗東),17.6,4,10,0.29920012916143957,0.28532603,0.29226203900911585,4
13,ナチュラルライズ,牡4,57.0,横山武史,伊藤圭三,JRA(美浦),17.9,5,7,0.28522321699479875,0.27421346,0.2797175076096957,5
3,ロードフォンス,牡6,57.0,横山和生,安田翔伍,JRA(栗東),20.2,6,4,0.21625154645549569,0.2253078,0.2207803694917955,6
6,ジョージテソーロ,牡5,57.0,落合玄太,小久保智,北海道,34.0,7,1,0.18072988989667957,0.19072868,0.18573004708899304,7
7,ベアバッキューン,牡4,57.0,野畑凌,鈴木義久,川崎,95.5,8,1,0.11651951374854695,0.12396198,0.12024131258741538,8
5,ガバナビリティー,牡4,57.0,笠野雄大,佐藤太一,船橋,197.5,9,1,0.08416326302258116,0.094496086,0.08933045890072562,9
4,リコースパロー,牡4,57.0,澤田龍馬,荒山勝徳,船橋,225.5,10,3,0.07336456275687693,0.08642696,0.07989675244838279,10
11,グランデマーレ,牡9,57.0,岡村健司,山本学,船橋,566.1,13,14,0.06811389568436946,0.08306654,0.07559135335325451,11
12,リュードマン,牡9,57.0,篠谷葵,矢内博,船橋,527.0,12,5,0.06811389568436946,0.08306654,0.07559135335325451,12
9,オーマイグッネス,牡6,57.0,藤本現暉,山田信大,大井,430.7,11,13,0.06811389568436946,0.082506284,0.07531118172048779,13
