horse_num,horse_name,location,jockey,odds,pop_rank,prev_finish,jra_grade_exp,nar_g_exp,distance_aptitude,prev_form,jockey_grade_score,blood_type,style,sleeper_score,note,hybrid_score,pop_score,nar_v4_rank,nar_v4_score,final_score,rank
8,ミッキーファイト,JRA(美浦),ルメール,1.5,1,2,5,3,5,5,5,スピード型,先行,1,1.5倍堅軸 / ルメール持続,4.6,5.0,0,5,4.76,1
10,ウィルソンテソーロ,JRA(美浦),川田将雅,5.7,3,2,5,5,5,4,5,キンカメ系,差し,5,昨年勝ち馬 / 5.7倍旨味,4.8,4.230769230769231,2,3,4.203076923076923,2
2,コスタノヴァ,JRA(美浦),レーン,5.1,2,3,4,2,4,5,5,スピード型,先行,2,レーンNAR経験80鞍,4.1,4.615384615384616,1,4,4.121538461538461,3
1,シャマル,JRA(栗東),川須栄一,17.6,4,10,4,3,4,1,2,スピード型,逃げ,3,牡8歳ベテラン / 川須伏兵,2.85,3.8461538461538463,3,2,2.6946153846153846,4
13,ナチュラルライズ,JRA(美浦),横山武史,17.9,5,7,3,1,4,3,4,キンカメ系,差し,3,前走7着が懸念,3.1999999999999997,3.4615384615384617,4,1,2.566153846153846,5
3,ロードフォンス,JRA(栗東),横山和生,20.2,6,4,3,1,3,3,3,スピード型,差し,2,中堅,2.7500000000000004,3.076923076923077,5,0,1.9576923076923078,6
6,ジョージテソーロ,北海道,落合玄太,34.0,7,1,1,4,3,5,2,NAR系,先行,1,門別連勝中だがG級不安,2.6999999999999997,2.692307692307692,99,0,1.889230769230769,7
7,ベアバッキューン,川崎,野畑凌,95.5,8,1,0,3,2,5,1,NAR系,先行,0,川崎4歳新興だが格不足,1.9000000000000001,2.307692307692308,99,0,1.370769230769231,8
5,ガバナビリティー,船橋,笠野雄大,197.5,9,1,0,2,2,5,1,NAR系,逃げ,0,連勝中だが格不足,1.8,1.9230769230769231,99,0,1.2723076923076924,9
4,リコースパロー,船橋,澤田龍馬,225.5,10,3,0,2,2,3,1,NAR系,差し,0,200倍超大穴,1.4000000000000001,1.5384615384615385,99,0,0.9938461538461539,10
12,リュードマン,船橋,篠谷葵,527.0,12,5,0,2,1,3,1,NAR系,差し,0,牡9歳完全消化試合,1.2,0.7692307692307693,99,0,0.7969230769230768,11
9,オーマイグッネス,大井,藤本現暉,430.7,11,13,0,2,2,1,1,NAR系,差し,0,前走13着完敗,1.0,1.153846153846154,99,0,0.7153846153846154,12
11,グランデマーレ,船橋,岡村健司,566.1,13,14,0,2,1,1,1,NAR系,差し,0,牡9歳完全消化試合,0.8,0.38461538461538464,99,0,0.5184615384615384,13
