race_id,course,race_num,race_name,num_horses,finish_1,finish_2,finish_3,trio_nums,umaren_nums,payout_tansho,payout_umaren,payout_trio,payout_sanrentan,fetch_status
202608030501,京都,1,3歳未勝利,16,15,7,14,7-14-15,7-15,350,0,20000000,200000000,ok
202608030502,京都,2,3歳未勝利,15,5,9,6,5-6-9,5-9,570,0,38300000,383000000,ok
202608030503,京都,3,3歳未勝利,17,10,6,3,3-6-10,6-10,790,0,68000000,680000000,ok
202608030504,京都,4,3歳未勝利,15,8,6,13,6-8-13,6-8,530,0,22400000,224000000,ok
202608030505,京都,5,3歳1勝クラス,8,7,3,1,1-3-7,3-7,260,0,37200000,372000000,ok
202608030506,京都,6,3歳1勝クラス,16,1,7,5,1-5-7,1-7,1360,0,59900000,599000000,ok
202608030507,京都,7,4歳以上1勝クラス,11,8,6,11,6-8-11,6-8,550,0,30100000,301000000,ok
202608030508,京都,8,4歳以上1勝クラス,16,5,1,14,1-5-14,1-5,11970,0,17612000,176120000,ok
202608030509,京都,9,久御山特別,11,7,8,10,7-8-10,7-8,340,0,67500000,675000000,ok
202608030510,京都,10,鴨川特別,8,3,2,5,2-3-5,2-3,490,0,44000000,440000000,ok
202608030511,京都,11,京都新聞杯,16,5,15,6,5-6-15,5-15,1370,0,13940000,139400000,ok
202608030512,京都,12,4歳以上2勝クラス,13,8,10,13,8-10-13,8-10,340,0,12870000,128700000,ok
202604010302,新潟,2,3歳未勝利,10,3,2,8,2-3-8,2-3,220,0,10700000,107000000,ok
202604010303,新潟,3,3歳未勝利,15,15,14,13,13-14-15,14-15,340,0,67100000,671000000,ok
202604010305,新潟,5,3歳未勝利,16,10,7,16,7-10-16,7-10,630,0,68700000,687000000,ok
202604010306,新潟,6,3歳未勝利,16,15,9,5,5-9-15,9-15,2130,0,17570000,175700000,ok
202604010307,新潟,7,4歳以上1勝クラス,15,12,3,7,3-7-12,3-12,220,0,43400000,434000000,ok
202604010308,新潟,8,4歳以上1勝クラス,15,3,4,2,2-3-4,3-4,570,0,13800000,138000000,ok
202604010309,新潟,9,ゆきつばき賞,14,11,12,8,8-11-12,11-12,1930,0,67200000,672000000,ok
202604010310,新潟,10,粟島特別,13,3,8,7,3-7-8,3-8,720,0,54200000,542000000,ok
202604010311,新潟,11,駿風S,16,16,12,15,12-15-16,12-16,1190,0,14190000,141900000,ok
202604010312,新潟,12,4歳以上1勝クラス,12,11,8,3,3-8-11,8-11,170,0,21000000,210000000,ok
202605020501,東京,1,3歳未勝利,16,14,16,8,8-14-16,14-16,540,0,80000000,800000000,ok
202605020502,東京,2,3歳未勝利,11,6,5,11,5-6-11,5-6,1190,0,42980000,429800000,ok
202605020503,東京,3,3歳未勝利,16,13,6,9,6-9-13,6-13,380,0,85000000,850000000,ok
202605020504,東京,4,3歳未勝利,12,4,3,6,3-4-6,3-4,270,0,30900000,309000000,ok
202605020505,東京,5,3歳未勝利,18,13,14,11,11-13-14,13-14,920,0,30300000,303000000,ok
202605020506,東京,6,3歳1勝クラス,12,11,6,12,6-11-12,6-11,470,0,11350000,113500000,ok
202605020507,東京,7,4歳以上1勝クラス,14,10,14,11,10-11-14,10-14,2790,0,27010000,270100000,ok
202605020508,東京,8,4歳以上2勝クラス,8,8,2,6,2-6-8,2-8,570,0,18000000,180000000,ok
202605020509,東京,9,分倍河原S,12,7,8,3,3-7-8,7-8,180,0,78000000,780000000,ok
202605020510,東京,10,青竜S,15,10,2,4,2-4-10,2-10,240,0,22800000,228000000,ok
202605020511,東京,11,エプソムC,17,11,16,17,11-16-17,11-16,410,0,27400000,274000000,ok
202605020512,東京,12,4歳以上2勝クラス,16,3,11,12,3-11-12,3-11,270,0,74670000,746700000,ok
