sire,total_runners,win_rate,top2_rate,top3_rate,avg_finish,turf_top3r,dirt_top3r,sprint_top3r,mile_top3r,middle_top3r,long_top3r
ロードカナロア,966,0.1211,0.2308,0.3116,6.82,0.318,0.2667,0.338,0.3156,0.2651,
ルーラーシップ,879,0.0671,0.1468,0.2435,6.97,0.251,0.2055,0.2456,0.2017,0.2603,
ハービンジャー,831,0.0842,0.1697,0.2575,6.81,0.2712,0.12,0.1696,0.2404,0.283,
ディープインパクト,798,0.2531,0.411,0.5301,4.33,0.5347,0.35,0.4328,0.5479,0.5349,
ハーツクライ,785,0.1121,0.2293,0.3363,6.25,0.3441,0.2632,0.2872,0.3316,0.3463,
ダイワメジャー,785,0.1083,0.2204,0.3325,6.46,0.3534,0.2336,0.3654,0.2851,0.3019,
エピファネイア,750,0.144,0.2627,0.3867,5.51,0.4118,0.1429,0.3007,0.3868,0.4142,
キズナ,676,0.1272,0.2441,0.3343,6.32,0.3421,0.2913,0.3577,0.3077,0.3362,
オルフェーヴル,664,0.0602,0.1145,0.2078,7.64,0.213,0.1855,0.1833,0.2291,0.1983,
キンシャサノキセキ,569,0.0879,0.1916,0.29,6.91,0.2816,0.3121,0.3203,0.1875,0.2727,
モーリス,549,0.1275,0.2131,0.3188,6.34,0.3415,0.1333,0.2867,0.3177,0.3282,
ヘニーヒューズ,540,0.1185,0.213,0.3241,6.54,0.1504,0.37,0.3465,0.2,0.3146,
ブラックタイド,533,0.0694,0.1238,0.1951,7.73,0.2056,0.1524,0.1837,0.1439,0.2375,
ヴィクトワールピサ,513,0.0721,0.154,0.2144,7.45,0.2422,0.1318,0.2569,0.197,0.2,
キングカメハメハ,510,0.1176,0.2255,0.3216,6.29,0.3232,0.3158,0.2727,0.3256,0.3371,
ドゥラメンテ,495,0.1273,0.2465,0.3414,6.38,0.3413,0.3418,0.2424,0.2826,0.3881,
ジャスタウェイ,481,0.079,0.1518,0.2225,7.37,0.2304,0.186,0.2054,0.1955,0.2377,
クロフネ,464,0.0927,0.181,0.2608,7.01,0.2331,0.2895,0.2934,0.2292,0.2368,
パイロ,446,0.1054,0.2063,0.2937,6.74,0.2162,0.3194,0.3085,0.1731,0.3176,
エイシンフラッシュ,440,0.0455,0.0909,0.1364,8.56,0.136,0.1385,0.1756,0.1053,0.1223,
ドレフォン,426,0.0728,0.1432,0.2254,7.25,0.2103,0.2435,0.2254,0.16,0.2612,
リオンディーズ,419,0.0764,0.1575,0.2601,6.81,0.2776,0.2059,0.2913,0.2705,0.2378,
アドマイヤムーン,402,0.0299,0.092,0.1517,8.76,0.1698,0.0769,0.1274,0.156,0.2179,
スクリーンヒーロー,400,0.0725,0.1275,0.2,7.38,0.1939,0.2286,0.1596,0.1909,0.2211,
シニスターミニスター,394,0.1015,0.1827,0.264,6.97,0.1111,0.2793,0.2646,0.1143,0.2906,
メイショウボーラー,383,0.0235,0.0679,0.1149,8.52,0.1148,0.115,0.1287,0.0882,0.0488,
ゴールドシップ,378,0.0476,0.1058,0.1852,7.51,0.192,0.1034,0.2059,0.2264,0.1777,
ゴールドアリュール,376,0.1144,0.2207,0.3165,6.64,0.0962,0.3519,0.3106,0.2264,0.3448,
