label,odds_band,course,nh_band,tc,condition,N,investment,payout,ROI%,hit%,CI_lo%,CI_hi%,p_value
base,1-3,中京,12-14,良,A,5,3500,4520,129.1,60.0,35.7,222.6,0.3124
base,1-3,中京,15-18,良,C,4,2800,4400,157.1,50.0,,,
base,1-3,中京,15-18,良,D,4,2800,0,0.0,0.0,,,
base,1-3,中京,8-11,良,A,3,2100,0,0.0,0.0,,,
base,1-3,中京,8-11,良,D,1,700,0,0.0,0.0,,,
base,1-3,中山,12-14,良,A,5,3500,2060,58.9,40.0,0.0,127.4,0.8366
base,1-3,中山,12-14,良,D,1,700,0,0.0,0.0,,,
base,1-3,中山,12-14,重,B,1,700,0,0.0,0.0,,,
base,1-3,中山,15-18,稍,D,1,700,0,0.0,0.0,,,
base,1-3,中山,15-18,良,C,9,6300,0,0.0,0.0,0.0,0.0,1.0
base,1-3,中山,15-18,良,D,5,3500,6940,198.3,60.0,15.4,516.4,0.2857
base,1-3,中山,15-18,重,X,1,700,0,0.0,0.0,,,
base,1-3,中山,8-11,良,A,7,4900,3020,61.6,28.6,0.0,145.3,0.8091
base,1-3,中山,8-11,良,E,2,1400,0,0.0,0.0,,,
base,1-3,京都,12-14,良,A,4,2800,690,24.6,25.0,,,
base,1-3,京都,15-18,稍,C,1,700,0,0.0,0.0,,,
base,1-3,京都,15-18,稍,D,1,700,0,0.0,0.0,,,
base,1-3,京都,15-18,良,C,3,2100,680,32.4,33.3,,,
base,1-3,京都,15-18,良,D,3,2100,4450,211.9,33.3,,,
base,1-3,京都,8-11,良,A,4,2800,2110,75.4,50.0,,,
base,1-3,京都,8-11,良,E,1,700,0,0.0,0.0,,,
base,1-3,新潟,12-14,良,D,1,700,0,0.0,0.0,,,
base,1-3,新潟,15-18,良,C,2,1400,1850,132.1,100.0,,,
base,1-3,新潟,15-18,良,D,1,700,710,101.4,100.0,,,
base,1-3,新潟,8-11,良,A,1,700,540,77.1,100.0,,,
base,1-3,東京,12-14,稍,A,1,700,0,0.0,0.0,,,
base,1-3,東京,12-14,良,A,1,700,0,0.0,0.0,,,
base,1-3,東京,15-18,稍,C,1,700,0,0.0,0.0,,,
base,1-3,東京,15-18,良,C,2,1400,0,0.0,0.0,,,
base,1-3,東京,15-18,良,D,1,700,0,0.0,0.0,,,
base,1-3,東京,8-11,良,A,2,1400,0,0.0,0.0,,,
base,1-3,東京,8-11,良,D,1,700,2810,401.4,100.0,,,
base,1-3,福島,12-14,良,A,1,700,0,0.0,0.0,,,
base,1-3,福島,15-18,良,C,5,3500,0,0.0,0.0,0.0,0.0,1.0
base,1-3,福島,15-18,良,D,6,4200,770,18.3,16.7,0.0,55.0,0.9967
base,1-3,阪神,12-14,稍,D,1,700,0,0.0,0.0,,,
base,1-3,阪神,12-14,良,A,8,5600,1530,27.3,12.5,0.0,82.0,0.9838
base,1-3,阪神,12-14,良,D,2,1400,840,60.0,50.0,,,
base,1-3,阪神,12-14,重,B,1,700,0,0.0,0.0,,,
base,1-3,阪神,15-18,稍,D,1,700,0,0.0,0.0,,,
base,1-3,阪神,15-18,良,C,3,2100,630,30.0,33.3,,,
base,1-3,阪神,15-18,良,D,8,5600,270,4.8,12.5,0.0,14.5,1.0
base,1-3,阪神,15-18,重,D,1,700,0,0.0,0.0,,,
base,1-3,阪神,8-11,稍,A,1,700,0,0.0,0.0,,,
base,1-3,阪神,8-11,良,A,9,6300,3700,58.7,44.4,4.3,142.4,0.8331
base,10-20,中山,15-18,良,C,2,1400,0,0.0,0.0,,,
base,10-20,京都,15-18,良,C,2,1400,33200,2371.4,50.0,,,
base,10-20,京都,15-18,良,D,2,1400,0,0.0,0.0,,,
base,10-20,京都,8-11,稍,A,1,700,0,0.0,0.0,,,
base,10-20,京都,8-11,良,A,1,700,0,0.0,0.0,,,
base,10-20,新潟,12-14,良,A,1,700,12570,1795.7,100.0,,,
base,10-20,新潟,15-18,良,C,1,700,0,0.0,0.0,,,
base,10-20,東京,12-14,稍,A,1,700,0,0.0,0.0,,,
base,10-20,東京,12-14,良,A,3,2100,0,0.0,0.0,,,
base,10-20,東京,12-14,良,D,1,700,0,0.0,0.0,,,
base,10-20,東京,15-18,稍,D,1,700,0,0.0,0.0,,,
base,10-20,東京,15-18,良,C,2,1400,0,0.0,0.0,,,
base,10-20,東京,15-18,良,D,1,700,7080,1011.4,100.0,,,
base,10-20,福島,15-18,良,C,5,3500,1110,31.7,20.0,0.0,95.1,0.9512
base,10-20,福島,15-18,良,D,1,700,0,0.0,0.0,,,
base,10-20,阪神,12-14,良,A,1,700,910,130.0,100.0,,,
base,10-20,阪神,12-14,良,D,1,700,3460,494.3,100.0,,,
base,10-20,阪神,15-18,重,D,1,700,0,0.0,0.0,,,
base,20+,中山,12-14,稍,D,1,700,0,0.0,0.0,,,
base,20+,京都,15-18,良,C,1,700,0,0.0,0.0,,,
base,20+,新潟,15-18,良,D,1,700,0,0.0,0.0,,,
base,20+,東京,15-18,良,C,1,700,0,0.0,0.0,,,
base,20+,東京,15-18,良,D,1,700,0,0.0,0.0,,,
base,20+,福島,15-18,良,C,1,700,14120,2017.1,100.0,,,
base,20+,福島,15-18,良,D,1,700,0,0.0,0.0,,,
base,3-5,中京,12-14,良,A,2,1400,1780,127.1,50.0,,,
base,3-5,中京,15-18,良,C,5,3500,0,0.0,0.0,0.0,0.0,1.0
base,3-5,中京,15-18,良,D,7,4900,7380,150.6,14.3,0.0,451.8,0.3741
base,3-5,中山,12-14,良,A,3,2100,0,0.0,0.0,,,
base,3-5,中山,12-14,良,D,1,700,0,0.0,0.0,,,
base,3-5,中山,15-18,稍,C,1,700,0,0.0,0.0,,,
base,3-5,中山,15-18,稍,D,1,700,0,0.0,0.0,,,
base,3-5,中山,15-18,良,C,13,9100,22810,250.7,7.7,0.0,752.0,0.2795
base,3-5,中山,15-18,良,D,5,3500,0,0.0,0.0,0.0,0.0,1.0
base,3-5,中山,15-18,重,D,1,700,0,0.0,0.0,,,
base,3-5,中山,8-11,良,A,1,700,0,0.0,0.0,,,
base,3-5,京都,12-14,良,A,2,1400,0,0.0,0.0,,,
base,3-5,京都,12-14,良,D,1,700,1430,204.3,100.0,,,
base,3-5,京都,15-18,良,D,1,700,0,0.0,0.0,,,
base,3-5,京都,8-11,良,A,1,700,0,0.0,0.0,,,
base,3-5,京都,8-11,良,D,1,700,450,64.3,100.0,,,
base,3-5,新潟,12-14,良,D,1,700,0,0.0,0.0,,,
base,3-5,新潟,15-18,良,C,1,700,0,0.0,0.0,,,
base,3-5,新潟,15-18,良,D,2,1400,0,0.0,0.0,,,
base,3-5,東京,12-14,稍,A,1,700,0,0.0,0.0,,,
base,3-5,東京,15-18,稍,D,1,700,0,0.0,0.0,,,
