trainer_id,trainer,total_races,wins,top3,total_prize,win_rate,top3_rate,turf_races,turf_wins,turf_top3,turf_wr,dirt_races,dirt_wins,dirt_top3,dirt_wr
00131,梅田康雄,29,0,1,892,0.0,0.034482758620689655,11.0,0.0,1.0,0.0,18.0,0.0,0.0,0.0
00138,大久保洋,43,4,8,7500,0.09302325581395349,0.18604651162790697,22.0,0.0,0.0,0.0,21.0,4.0,8.0,0.19047619047619047
00201,白井寿昭,39,3,8,5090,0.07692307692307693,0.20512820512820512,5.0,0.0,0.0,0.0,34.0,3.0,8.0,0.08823529411764706
00208,鈴木康弘,36,1,9,6910,0.027777777777777776,0.25,20.0,1.0,6.0,0.05,16.0,0.0,3.0,0.0
00224,武田博,294,10,35,20704,0.034013605442176874,0.11904761904761904,122.0,3.0,12.0,0.02459016393442623,172.0,7.0,23.0,0.040697674418604654
00261,中村均,1117,64,220,134044,0.05729632945389436,0.19695613249776187,642.0,36.0,124.0,0.056074766355140186,475.0,28.0,96.0,0.05894736842105263
00339,畠山重則,55,0,2,1025,0.0,0.03636363636363636,21.0,0.0,0.0,0.0,34.0,0.0,2.0,0.0
00341,栗田博憲,954,65,191,149930,0.06813417190775681,0.20020964360587,611.0,42.0,142.0,0.06873977086743044,343.0,23.0,49.0,0.06705539358600583
00343,橋口弘次,347,29,81,70047,0.08357348703170028,0.2334293948126801,254.0,23.0,56.0,0.09055118110236221,93.0,6.0,25.0,0.06451612903225806
00346,境直行,38,2,7,2597,0.05263157894736842,0.18421052631578946,9.0,0.0,1.0,0.0,29.0,2.0,6.0,0.06896551724137931
00348,松田博資,427,41,116,109540,0.09601873536299765,0.2716627634660422,335.0,36.0,95.0,0.10746268656716418,92.0,5.0,21.0,0.05434782608695652
00349,尾形充弘,811,51,169,99091,0.06288532675709001,0.20838471023427868,344.0,18.0,79.0,0.05232558139534884,467.0,33.0,90.0,0.07066381156316917
00350,小野幸治,44,1,5,1645,0.022727272727272728,0.11363636363636363,10.0,0.0,0.0,0.0,34.0,1.0,5.0,0.029411764705882353
00353,和田正道,1092,46,159,92197,0.04212454212454213,0.14560439560439561,653.0,25.0,91.0,0.03828483920367534,439.0,21.0,68.0,0.04783599088838269
00356,坂口正則,998,52,153,94977,0.052104208416833664,0.1533066132264529,486.0,29.0,86.0,0.059670781893004114,512.0,23.0,67.0,0.044921875
00359,高橋祥泰,1757,102,364,189644,0.05805350028457598,0.20717131474103587,1044.0,65.0,224.0,0.06226053639846743,713.0,37.0,140.0,0.051893408134642355
00361,坪憲章,353,5,23,11200,0.014164305949008499,0.06515580736543909,92.0,2.0,7.0,0.021739130434782608,261.0,3.0,16.0,0.011494252873563218
00362,橋田満,1596,118,345,284465,0.07393483709273183,0.2161654135338346,909.0,68.0,187.0,0.0748074807480748,687.0,50.0,158.0,0.07278020378457059
00365,崎山博樹,989,37,134,71565,0.03741152679474216,0.13549039433771487,319.0,9.0,34.0,0.02821316614420063,670.0,28.0,100.0,0.041791044776119404
00370,二本柳俊,466,9,31,16186,0.019313304721030045,0.06652360515021459,202.0,4.0,16.0,0.019801980198019802,264.0,5.0,15.0,0.01893939393939394
00378,沖芳夫,857,46,174,92349,0.05367561260210035,0.20303383897316218,288.0,12.0,55.0,0.041666666666666664,569.0,34.0,119.0,0.05975395430579965
00379,加藤敬二,702,23,82,51057,0.03276353276353276,0.1168091168091168,298.0,8.0,33.0,0.026845637583892617,404.0,15.0,49.0,0.03712871287128713
00380,柄崎孝,1018,27,122,64493,0.026522593320235755,0.11984282907662082,502.0,12.0,56.0,0.02390438247011952,516.0,15.0,66.0,0.029069767441860465
00383,伊藤正徳,882,22,92,40583,0.024943310657596373,0.10430839002267574,445.0,9.0,48.0,0.020224719101123594,437.0,13.0,44.0,0.029748283752860413
00386,藤沢和雄,2025,316,782,822372,0.15604938271604937,0.3861728395061728,1543.0,237.0,598.0,0.15359688917692807,482.0,79.0,184.0,0.16390041493775934
00387,目野哲也,776,40,128,83768,0.05154639175257732,0.16494845360824742,298.0,12.0,44.0,0.040268456375838924,478.0,28.0,84.0,0.058577405857740586
