date,race_id,race_num,formation,n_bets,inv,pay,hit
20260425,202608030101,1,V15_baseline_7,7,700,0.0,0
20260425,202608030101,1,V15+T1-T4-T5_8,8,800,0.0,0
20260425,202608030101,1,V15+T14_T15_T16_10,10,1000,0.0,0
20260425,202608030101,1,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202608030101,1,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202608030101,1,Box5_10,10,1000,0.0,0
20260425,202608030101,1,Box6_20,20,2000,0.0,0
20260425,202608030101,1,2axis_4,4,700,0.0,0
20260425,202608030102,2,V15_baseline_7,7,700,0.0,0
20260425,202608030102,2,V15+T1-T4-T5_8,8,800,0.0,0
20260425,202608030102,2,V15+T14_T15_T16_10,10,1000,0.0,1
20260425,202608030102,2,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202608030102,2,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202608030102,2,Box5_10,10,1000,0.0,0
20260425,202608030102,2,Box6_20,20,2000,0.0,1
20260425,202608030102,2,2axis_4,4,700,0.0,0
20260425,202608030103,3,V15_baseline_7,7,700,0.0,0
20260425,202608030103,3,V15+T1-T4-T5_8,8,800,0.0,0
20260425,202608030103,3,V15+T14_T15_T16_10,10,1000,0.0,0
20260425,202608030103,3,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202608030103,3,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202608030103,3,Box5_10,10,1000,0.0,0
20260425,202608030103,3,Box6_20,20,2000,0.0,0
20260425,202608030103,3,2axis_4,4,700,0.0,0
20260425,202608030105,5,V15_baseline_7,7,700,0.0,0
20260425,202608030105,5,V15+T1-T4-T5_8,8,800,0.0,0
20260425,202608030105,5,V15+T14_T15_T16_10,10,1000,0.0,0
20260425,202608030105,5,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202608030105,5,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202608030105,5,Box5_10,10,1000,0.0,0
20260425,202608030105,5,Box6_20,20,2000,0.0,0
20260425,202608030105,5,2axis_4,4,700,0.0,0
20260425,202608030106,6,V15_baseline_7,7,700,0.0,0
20260425,202608030106,6,V15+T1-T4-T5_8,8,800,0.0,0
20260425,202608030106,6,V15+T14_T15_T16_10,10,1000,0.0,0
20260425,202608030106,6,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202608030106,6,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202608030106,6,Box5_10,10,1000,0.0,0
20260425,202608030106,6,Box6_20,20,2000,0.0,0
20260425,202608030106,6,2axis_4,4,700,0.0,0
20260425,202608030107,7,V15_baseline_7,7,700,0.0,0
20260425,202608030107,7,V15+T1-T4-T5_8,8,800,0.0,0
20260425,202608030107,7,V15+T14_T15_T16_10,10,1000,0.0,0
20260425,202608030107,7,V15+T1-T4-T5+T1-T4-T6_9,9,900,0.0,0
20260425,202608030107,7,V15+T2-T3-T4_8,8,800,0.0,0
20260425,202608030107,7,Box5_10,10,1000,0.0,0
20260425,202608030107,7,Box6_20,20,2000,0.0,0
20260425,202608030107,7,2axis_4,4,700,0.0,0
