race_id,venue,race_no,race_name,race_grade,race_start_time,umaban,horse_name,v15_score,v15_pct,integrated_score,source,confidence,motion_n,rank_in_race
202605020511,東京,11,エプソムカップ (G3),G3,15:45,14,サクラファレル,0.6952,,,fallback_top3,low,3,1
202605020511,東京,11,エプソムカップ (G3),G3,15:45,11,トロヴァトーレ,,,,fallback_top3,low,3,2
202605020511,東京,11,エプソムカップ (G3),G3,15:45,1,ジュタ,,,,fallback_top3,low,3,3
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,1,アーレムアレス,0.5952,0.969,0.969,v15+motion_repr,low,3,1
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,8,バドリナート,0.5875,0.906,0.906,v15+motion_repr,low,3,2
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,13,ニホンピロロジャー,0.5237,0.844,0.844,v15+motion_repr,low,3,3
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,2,エムズビギン,0.5085,0.781,0.781,v15+motion_repr,low,3,4
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,9,カフジエメンタール,0.4248,0.719,0.719,v15+motion_repr,low,3,5
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,5,コンジェスタス,0.4166,0.656,0.656,v15+motion_repr,low,3,6
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,12,キンググローリー,0.4093,0.594,0.594,v15+motion_repr,low,3,7
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,15,ベレシート,0.3903,0.531,0.531,v15+motion_repr,low,3,8
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,16,アクセス,0.384,0.469,0.469,v15+motion_repr,low,3,9
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,3,メイショウテンク,0.383,0.406,0.406,v15+motion_repr,low,3,10
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,10,サヴォアフェール,0.3686,0.344,0.344,v15+motion_repr,low,3,11
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,14,ステラスペース,0.3635,0.281,0.281,v15+motion_repr,low,3,12
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,6,ラディアントスター,0.3565,0.219,0.219,v15+motion_repr,low,3,13
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,7,カムアップローゼス,0.308,0.156,0.156,v15+motion_repr,low,3,14
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,4,ティラーノ,0.2194,0.094,0.094,v15+motion_repr,low,3,15
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,11,ブリガンティン,0.2015,0.031,0.031,v15+motion_repr,low,3,16
202604010311,新潟,11,駿風 S (OP),OP,15:20,1,パラサイコロジー,0.3504,0.969,0.969,v15+motion_repr,low,3,1
202604010311,新潟,11,駿風 S (OP),OP,15:20,5,カウンターセブン,0.241,0.906,0.906,v15+motion_repr,low,3,2
202604010311,新潟,11,駿風 S (OP),OP,15:20,13,エコロジーク,0.2129,0.844,0.844,v15+motion_repr,low,3,3
202604010311,新潟,11,駿風 S (OP),OP,15:20,14,ベイビーキッス,0.2106,0.781,0.781,v15+motion_repr,low,3,4
202604010311,新潟,11,駿風 S (OP),OP,15:20,15,カウスリップ,0.1982,0.719,0.719,v15+motion_repr,low,3,5
202604010311,新潟,11,駿風 S (OP),OP,15:20,16,シュラフ,0.1868,0.656,0.656,v15+motion_repr,low,3,6
202604010311,新潟,11,駿風 S (OP),OP,15:20,4,シャカシャカシー,0.1721,0.594,0.594,v15+motion_repr,low,3,7
202604010311,新潟,11,駿風 S (OP),OP,15:20,3,スコーピオン,0.1718,0.531,0.531,v15+motion_repr,low,3,8
202604010311,新潟,11,駿風 S (OP),OP,15:20,11,トールキン,0.1693,0.469,0.469,v15+motion_repr,low,3,9
202604010311,新潟,11,駿風 S (OP),OP,15:20,2,ショウナンラスボス,0.1576,0.406,0.406,v15+motion_repr,low,3,10
202604010311,新潟,11,駿風 S (OP),OP,15:20,7,ハートホイップ,0.1575,0.344,0.344,v15+motion_repr,low,3,11
202604010311,新潟,11,駿風 S (OP),OP,15:20,9,メイショウキルギス,0.1568,0.281,0.281,v15+motion_repr,low,3,12
202604010311,新潟,11,駿風 S (OP),OP,15:20,12,ロードトレイル,0.1554,0.219,0.219,v15+motion_repr,low,3,13
202604010311,新潟,11,駿風 S (OP),OP,15:20,8,ジュンヴァンケット,0.1553,0.156,0.156,v15+motion_repr,low,3,14
202604010311,新潟,11,駿風 S (OP),OP,15:20,10,トーアアイギス,0.1551,0.094,0.094,v15+motion_repr,low,3,15
202604010311,新潟,11,駿風 S (OP),OP,15:20,6,タツダイヤモンド,0.1531,0.031,0.031,v15+motion_repr,low,3,16
