race_id,venue,race_no,race_name,race_grade,race_start_time,umaban,horse_name,v15_score,stride_length_mean,stability_score,tension_score,integrated_score_REAL,rank_REAL,motion_source
202604010311,新潟,11,駿風 S (OP),OP,15:20,1,パラサイコロジー,0.3504,2.96,0.979,0.1322,0.44469,1,simulate_session62_realistic
202604010311,新潟,11,駿風 S (OP),OP,15:20,5,カウンターセブン,0.241,2.98,0.8916,0.0909,0.33858999999999995,2,simulate_session62_realistic
202604010311,新潟,11,駿風 S (OP),OP,15:20,13,エコロジーク,0.2129,2.86,0.9122,0.1112,0.317795,3,simulate_session62_realistic
202604010311,新潟,11,駿風 S (OP),OP,15:20,14,ベイビーキッス,0.2106,2.91,0.8864,0.1129,0.31196999999999997,4,simulate_session62_realistic
202604010311,新潟,11,駿風 S (OP),OP,15:20,15,カウスリップ,0.1982,2.85,0.8897,0.1779,0.301925,5,simulate_session62_realistic
202604010311,新潟,11,駿風 S (OP),OP,15:20,16,シュラフ,0.1868,2.82,0.865,0.2008,0.28853,6,simulate_session62_realistic
202604010311,新潟,11,駿風 S (OP),OP,15:20,3,スコーピオン,0.1718,2.72,0.8951,0.1782,0.28029499999999996,7,simulate_session62_realistic
202604010311,新潟,11,駿風 S (OP),OP,15:20,4,シャカシャカシー,0.1721,2.73,0.8795,0.1918,0.27820999999999996,8,simulate_session62_realistic
202604010311,新潟,11,駿風 S (OP),OP,15:20,11,トールキン,0.1693,2.65,0.8574,0.1677,0.272515,9,simulate_session62_realistic
202604010311,新潟,11,駿風 S (OP),OP,15:20,2,ショウナンラスボス,0.1576,2.61,0.8644,0.2338,0.26361999999999997,10,simulate_session62_realistic
202604010311,新潟,11,駿風 S (OP),OP,15:20,9,メイショウキルギス,0.1568,2.59,0.8285,0.277,0.257555,11,simulate_session62_realistic
202604010311,新潟,11,駿風 S (OP),OP,15:20,12,ロードトレイル,0.1554,2.56,0.8273,0.2447,0.256185,12,simulate_session62_realistic
202604010311,新潟,11,駿風 S (OP),OP,15:20,7,ハートホイップ,0.1575,2.59,0.8113,0.1945,0.25556999999999996,13,simulate_session62_realistic
202604010311,新潟,11,駿風 S (OP),OP,15:20,10,トーアアイギス,0.1551,2.44,0.8012,0.2828,0.252015,14,simulate_session62_realistic
202604010311,新潟,11,駿風 S (OP),OP,15:20,8,ジュンヴァンケット,0.1553,2.51,0.7898,0.2475,0.250475,15,simulate_session62_realistic
202604010311,新潟,11,駿風 S (OP),OP,15:20,6,タツダイヤモンド,0.1531,2.42,0.7825,0.2947,0.24751,16,simulate_session62_realistic
202605020511,東京,11,エプソムカップ (G3),G3,15:45,14,サクラファレル,0.6952,2.98,0.9705,0.1007,0.736495,1,simulate_session62_realistic
202605020511,東京,11,エプソムカップ (G3),G3,15:45,11,トロヴァトーレ,,2.93,0.931,0.1449,0.13965,2,simulate_session62_realistic
202605020511,東京,11,エプソムカップ (G3),G3,15:45,1,ジュタ,,2.88,0.9184,0.1707,0.13776,3,simulate_session62_realistic
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,1,アーレムアレス,0.5952,2.94,0.9416,0.0901,0.64716,1,simulate_session62_realistic
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,8,バドリナート,0.5875,2.97,0.9167,0.158,0.63688,2,simulate_session62_realistic
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,13,ニホンピロロジャー,0.5237,2.91,0.911,0.0977,0.5817950000000001,3,simulate_session62_realistic
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,2,エムズビギン,0.5085,2.85,0.9287,0.1766,0.57153,4,simulate_session62_realistic
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,9,カフジエメンタール,0.4248,2.87,0.9084,0.1868,0.49734,5,simulate_session62_realistic
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,5,コンジェスタス,0.4166,2.83,0.884,0.1863,0.48671000000000003,6,simulate_session62_realistic
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,12,キンググローリー,0.4093,2.73,0.8294,0.1829,0.47231499999999993,7,simulate_session62_realistic
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,15,ベレシート,0.3903,2.71,0.8357,0.2111,0.45710999999999996,8,simulate_session62_realistic
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,3,メイショウテンク,0.383,2.61,0.8531,0.1828,0.453515,9,simulate_session62_realistic
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,16,アクセス,0.384,2.66,0.8205,0.1831,0.449475,10,simulate_session62_realistic
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,10,サヴォアフェール,0.3686,2.62,0.8466,0.2399,0.44029999999999997,11,simulate_session62_realistic
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,14,ステラスペース,0.3635,2.54,0.8409,0.2549,0.43511,12,simulate_session62_realistic
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,6,ラディアントスター,0.3565,2.56,0.795,0.2946,0.42227499999999996,13,simulate_session62_realistic
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,7,カムアップローゼス,0.308,2.46,0.8171,0.3027,0.38436499999999996,14,simulate_session62_realistic
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,4,ティラーノ,0.2194,2.5,0.7557,0.277,0.29984500000000003,15,simulate_session62_realistic
202608030511,京都,11,京都新聞杯 (G2),G2,15:30,11,ブリガンティン,0.2015,2.45,0.7945,0.302,0.29045,16,simulate_session62_realistic
