date,race_id,course,race_num,condition,num_horses,distance,surface,top6,trio_result,trio_pay_100,n7,inv7,pay7,hit7,n11,inv11,pay11,hit11
20260314,202606020501,中山,1,C,15,1800,ダ,6-7-3-1-8-11,6-8-11,1740.0,7,700,0.0,0,11,1100,1740.0,1
20260314,202606020502,中山,2,C,16,1800,ダ,5-1-12-7-9-16,5-12-14,53310.0,7,700,0.0,0,11,1100,0.0,0
20260314,202606020503,中山,3,D,16,1200,ダ,13-4-9-11-15-16,4-9-13,570.0,7,700,570.0,1,11,1100,570.0,1
20260314,202606020504,中山,4,C,16,1800,ダ,8-11-4-3-13-15,7-8-11,4600.0,7,700,0.0,0,11,1100,0.0,0
20260314,202606020505,中山,5,C,16,1600,芝,11-4-9-2-5-8,4-5-8,8790.0,7,700,0.0,0,11,1100,0.0,0
20260314,202606020506,中山,6,C,16,1800,ダ,12-13-4-1-9-11,3-12-15,14120.0,7,700,0.0,0,11,1100,0.0,0
20260314,202606020507,中山,7,A,10,2500,芝,7-1-4-2-6-9,1-2-7,1780.0,7,700,1780.0,1,11,1100,1780.0,1
20260314,202606020508,中山,8,D,16,1200,ダ,15-1-13-7-10-11,1-12-15,6010.0,7,700,0.0,0,11,1100,0.0,0
20260314,202606020509,中山,9,A,10,2000,芝,9-11-3-1-8-10,6-7-9,44400.0,7,700,0.0,0,11,1100,0.0,0
20260314,202606020510,中山,10,C,16,1600,芝,7-10-13-2-5-6,6-7-16,16260.0,7,700,0.0,0,11,1100,0.0,0
20260314,202606020511,中山,11,C,16,1600,芝,2-4-10-7-9-13,2-4-16,22560.0,7,700,0.0,0,11,1100,0.0,0
20260314,202606020512,中山,12,D,16,1200,ダ,14-10-6-11-12-15,6-12-15,11330.0,7,700,0.0,0,11,1100,0.0,0
20260314,202607010101,中京,1,A,10,1800,ダ,5-6-2-4-7-8,3-4-5,20840.0,7,700,0.0,0,11,1100,0.0,0
20260314,202607010102,中京,2,D,16,1200,ダ,4-10-9-1-12-16,4-9-12,7380.0,7,700,7380.0,1,11,1100,7380.0,1
20260314,202607010103,中京,3,A,13,1900,ダ,5-9-12-1-10-11,1-4-5,12750.0,7,700,0.0,0,11,1100,0.0,0
20260314,202607010104,中京,4,C,16,1600,芝,8-5-11-12-14-16,5-11-14,4420.0,7,700,0.0,0,11,1100,0.0,0
20260314,202607010105,中京,5,C,18,2000,芝,6-5-4-2-8-14,5-12-14,23790.0,7,700,0.0,0,11,1100,0.0,0
20260314,202607010106,中京,6,C,16,1800,ダ,15-11-12-4-6-9,3-10-11,22110.0,7,700,0.0,0,11,1100,0.0,0
20260314,202607010107,中京,7,C,16,1600,芝,6-5-7-1-2-16,1-9-13,314500.0,7,700,0.0,0,11,1100,0.0,0
20260314,202607010108,中京,8,D,16,1200,ダ,12-14-13-2-9-16,2-12-13,3550.0,7,700,3550.0,1,11,1100,3550.0,1
