race_id,course,race_num,race_name,is_major,is_12r,finish_1,finish_2,finish_3,v15_top1,v15_top1_hit,v15_top3_overlap,v15_trio_hit,v66_top1,v66_top1_hit,stage2_top1,stage2_top1_hit,stage2_status,payout_trio,v15_700yen_pnl
202608030501,京都,1,3歳未勝利,0,0,15,7,14,15,1,2,1,0,0,0,,,20000000,19999300
202608030502,京都,2,3歳未勝利,0,0,5,9,6,4,0,0,0,0,0,0,,,38300000,-700
202608030503,京都,3,3歳未勝利,0,0,10,6,3,3,0,2,0,0,0,0,,,68000000,-700
202608030504,京都,4,3歳未勝利,0,0,8,6,13,8,1,2,1,0,0,0,,,22400000,22399300
202608030505,京都,5,3歳1勝クラス,0,0,7,3,1,7,1,2,0,0,0,0,,,37200000,-700
202608030506,京都,6,3歳1勝クラス,0,0,1,7,5,7,0,2,0,0,0,0,,,59900000,-700
202608030507,京都,7,4歳以上1勝クラス,0,0,8,6,11,8,1,1,0,0,0,0,,,30100000,-700
202608030508,京都,8,4歳以上1勝クラス,0,0,5,1,14,4,0,1,0,0,0,0,,unknown,17612000,-700
202608030509,京都,9,久御山特別,0,0,7,8,10,7,1,1,0,0,0,0,,unknown,67500000,-700
202608030510,京都,10,鴨川特別,0,0,3,2,5,3,1,3,1,0,0,0,,unknown,44000000,43999300
202608030511,京都,11,京都新聞杯,1,0,5,15,6,1,0,0,0,15,0,0,,unknown,13940000,-700
202608030512,京都,12,4歳以上2勝クラス,0,1,8,10,13,8,1,2,0,7,0,0,,unknown,12870000,-700
202604010302,新潟,2,3歳未勝利,0,0,3,2,8,3,1,2,1,0,0,0,,,10700000,10699300
202604010303,新潟,3,3歳未勝利,0,0,15,14,13,10,0,1,0,0,0,0,,,67100000,-700
202604010305,新潟,5,3歳未勝利,0,0,10,7,16,8,0,1,0,0,0,0,,,68700000,-700
202604010306,新潟,6,3歳未勝利,0,0,15,9,5,13,0,1,0,0,0,0,,,17570000,-700
202604010307,新潟,7,4歳以上1勝クラス,0,0,12,3,7,12,1,1,0,0,0,0,,,43400000,-700
202604010308,新潟,8,4歳以上1勝クラス,0,0,3,4,2,10,0,2,0,0,0,0,,,13800000,-700
202604010309,新潟,9,ゆきつばき賞,0,0,11,12,8,8,0,2,0,0,0,0,,unknown,67200000,-700
202604010310,新潟,10,粟島特別,0,0,3,8,7,5,0,1,0,0,0,0,,unknown,54200000,-700
202604010311,新潟,11,駿風S,1,0,16,12,15,1,0,0,0,14,0,0,,unknown,14190000,-700
202604010312,新潟,12,4歳以上1勝クラス,0,1,11,8,3,11,1,2,0,11,1,0,,,21000000,-700
202605020501,東京,1,3歳未勝利,0,0,14,16,8,16,0,3,1,0,0,0,,,80000000,79999300
202605020502,東京,2,3歳未勝利,0,0,6,5,11,3,0,1,0,0,0,0,,,42980000,-700
202605020503,東京,3,3歳未勝利,0,0,13,6,9,9,0,2,1,0,0,0,,,85000000,84999300
202605020504,東京,4,3歳未勝利,0,0,4,3,6,4,1,2,0,0,0,0,,,30900000,-700
202605020505,東京,5,3歳未勝利,0,0,13,14,11,1,0,1,0,0,0,0,,,30300000,-700
202605020506,東京,6,3歳1勝クラス,0,0,11,6,12,11,1,1,0,0,0,0,,,11350000,-700
202605020507,東京,7,4歳以上1勝クラス,0,0,10,14,11,3,0,2,0,0,0,0,,unknown,27010000,-700
202605020508,東京,8,4歳以上2勝クラス,0,0,8,2,6,6,0,2,1,0,0,0,,unknown,18000000,17999300
202605020509,東京,9,分倍河原S,0,0,7,8,3,7,1,2,1,0,0,0,,unknown,78000000,77999300
202605020510,東京,10,青竜S,0,0,10,2,4,2,0,2,1,0,0,0,,unknown,22800000,22799300
202605020511,東京,11,エプソムC,0,0,11,16,17,14,0,1,0,4,0,0,,unknown,27400000,-700
202605020512,東京,12,4歳以上2勝クラス,0,1,3,11,12,11,0,2,0,3,1,0,,unknown,74670000,-700
