race_id,umaban,year,is_top3,p_v19_w5
0425170111,11,2025,0,0.038202156374774594
1025250406,6,2025,0,0.14843922944186316
0525410402,2,2025,0,0.032279290591843646
0325350502,2,2025,0,0.011591749956741922
0825141001,1,2025,0,0.027862476565697947
0925231010,10,2025,0,0.007079547677440435
0925321113,13,2025,0,0.0058196392345187305
0625141016,16,2025,0,0.002833139583347805
0825171105,5,2025,0,0.12704896637901097
0725261104,4,2025,0,0.058630840378263625
0525231111,11,2025,0,0.04509282704353001
1025130504,4,2025,0,0.2223725445707069
10251B0510,10,2025,0,0.309102592687639
08252C0412,12,2025,0,0.27614429446227945
0525330411,11,2025,1,0.02327717799995929
1025130412,12,2025,0,0.4561707906370711
0425160412,12,2025,1,0.5488124346314724
0425270903,3,2025,0,0.1125199534775104
0625160409,9,2025,0,0.5014886619352238
1025170402,2,2025,0,0.25871839948612535
10251B0402,2,2025,0,0.3033198410381993
0925220401,1,2025,1,0.1707341749532444
0425130404,4,2025,0,0.1257215631690259
0425330103,3,2025,0,0.0054051336840815435
1025170801,1,2025,0,0.5281742014872277
0825270810,10,2025,0,0.3221505263199871
1025250405,5,2025,1,0.45730945370420306
0425270907,7,2025,0,0.10598519551083307
0525530811,11,2025,0,0.03966297244742583
0825120908,8,2025,1,0.15367804631158755
0725250904,4,2025,0,0.15470503471799824
0425151006,6,2025,0,0.21149378559906706
08252C0912,12,2025,0,0.1286340520198296
0725360808,8,2025,0,0.1333589775157973
0525530906,6,2025,0,0.038816494071311054
0925520907,7,2025,1,0.1015994676427916
0525330406,6,2025,0,0.09194110219809914
1025151114,14,2025,0,0.007116064282816175
0625311103,3,2025,0,0.10380586069062406
05252C1215,15,2025,0,0.014126260151184702
0525291116,16,2025,0,0.0020323474292069446
0725141110,10,2025,0,0.03785189096736409
1025181114,14,2025,0,0.13248270713173504
0525160811,11,2025,0,0.07276341444483497
0525571202,2,2025,0,0.0034657675562520087
0425170114,14,2025,0,0.29370973210471124
0525171107,7,2025,0,0.08961325006186428
0925261010,10,2025,0,0.21750453692976807
05252C1212,12,2025,0,0.035509487146485254
1025281111,11,2025,0,0.08689257040349117
0125261103,3,2025,0,0.08482778580075041
0325351115,15,2025,0,0.04182184504225994
0725531112,12,2025,0,0.023744235558154848
0925160904,4,2025,0,0.0340713584583164
0325241008,8,2025,0,0.016614714432917305
0325281004,4,2025,0,0.043172115321556126
0925490905,5,2025,0,0.0031184136224404507
0725141007,7,2025,0,0.004092418590889499
0525181116,16,2025,0,0.0056187194024668015
0725521105,5,2025,0,0.023116311568212887
0425270910,10,2025,0,0.09483834124466296
