method,threshold,n_bets,investment,profit,roi
baseline,0.0,347,242900.0,22010.0,1.0906134211609715
baseline,0.1,347,242900.0,22010.0,1.0906134211609715
baseline,0.2,280,196000.0,9960.0,1.0508163265306123
baseline,0.3,267,186900.0,10760.0,1.0575708935259498
baseline,0.35,256,179200.0,17690.0,1.0987165178571427
baseline,0.4,241,168700.0,17600.0,1.104327208061648
baseline,0.45,215,150500.0,24210.0,1.1608637873754153
baseline,0.5,189,132300.0,38580.0,1.291609977324263
platt,0.0,347,242900.0,22010.0,1.0906134211609715
platt,0.1,347,242900.0,22010.0,1.0906134211609715
platt,0.2,275,192500.0,11430.0,1.0593766233766233
platt,0.3,259,181300.0,15590.0,1.0859900717043574
platt,0.35,247,172900.0,18140.0,1.104916136495084
platt,0.4,239,167300.0,19000.0,1.1135684399282726
platt,0.45,219,153300.0,21410.0,1.1396607958251794
platt,0.5,209,146300.0,28410.0,1.19419002050581
isotonic,0.0,347,242900.0,22010.0,1.0906134211609715
isotonic,0.1,347,242900.0,22010.0,1.0906134211609715
isotonic,0.2,288,201600.0,9460.0,1.0469246031746031
isotonic,0.3,274,191800.0,7170.0,1.0373826903023984
isotonic,0.35,261,182700.0,14190.0,1.0776683087027914
isotonic,0.4,247,172900.0,18140.0,1.104916136495084
isotonic,0.45,229,160300.0,19070.0,1.1189644416718652
isotonic,0.5,198,138600.0,35400.0,1.2554112554112553
beta,0.0,347,242900.0,22010.0,1.0906134211609715
beta,0.1,347,242900.0,22010.0,1.0906134211609715
beta,0.2,287,200900.0,8380.0,1.0417122946739672
beta,0.3,271,189700.0,7960.0,1.0419609910384817
beta,0.35,261,182700.0,14190.0,1.0776683087027914
beta,0.4,250,175000.0,16040.0,1.0916571428571429
beta,0.45,236,165200.0,15470.0,1.0936440677966102
beta,0.5,210,147000.0,27710.0,1.1885034013605442
temperature,0.0,347,242900.0,22010.0,1.0906134211609715
temperature,0.1,347,242900.0,22010.0,1.0906134211609715
temperature,0.2,282,197400.0,8560.0,1.0433637284701114
temperature,0.3,268,187600.0,10060.0,1.0536247334754798
temperature,0.35,256,179200.0,17690.0,1.0987165178571427
temperature,0.4,241,168700.0,17600.0,1.104327208061648
temperature,0.45,216,151200.0,23510.0,1.155489417989418
temperature,0.5,189,132300.0,38580.0,1.291609977324263
