race_id,course,race_num,race_name,condition,morning_top3,mock_top3,severity,actual_top3,morning_hit,mock_hit,payout_unit,morning_payout,mock_payout,invest
202604010501,新潟,1,3歳未勝利,C,4-8-7,8-7-4,critical,4-7-8,1,1,1040,1040,1040,700
202604010502,新潟,2,3歳未勝利,D,14-12-3,14-12-3,none,3-12-14,1,1,710,710,710,700
202604010503,新潟,3,3歳未勝利,C,9-8-14,9-8-14,none,9-11-14,1,1,2680,2680,2680,700
202604010504,新潟,4,3歳未勝利,A,8-10-11,8-10-11,none,8-10-11,1,1,1370,1370,1370,700
202604010505,新潟,5,3歳未勝利,C,1-8-11,1-2-8,major,1-9-11,1,0,0,0,0,700
202604010507,新潟,7,4歳以上1勝クラス,D,1-3-2,1-3-2,none,9-12-13,0,0,0,0,0,700
202604010508,新潟,8,4歳以上1勝クラス,A,5-9-6,9-5-6,critical,5-7-9,1,1,540,540,540,700
202604010509,新潟,9,石打特別,C,12-14-8,12-6-14,major,6-12-14,1,1,1050,1050,1050,700
202604010510,新潟,10,中ノ岳特別,A,5-8-4,4-5-8,critical,1-2-8,0,0,0,0,0,700
202604010511,新潟,11,新潟大賞典,C,14-4-6,14-4-6,none,3-9-11,0,0,0,0,0,700
202604010512,新潟,12,4歳以上1勝クラス,D,11-1-5,11-16-1,major,10-11-13,0,0,0,0,0,700
202605020701,東京,1,3歳未勝利,D,1-13-7,1-7-13,minor,1-3-10,0,0,0,0,0,700
202605020702,東京,2,3歳未勝利,C,5-3-15,5-3-15,none,5-13-14,0,0,0,0,0,700
202605020703,東京,3,3歳未勝利,D,12-16-11,12-16-10,major,10-12-16,1,1,7080,7080,7080,700
202605020704,東京,4,3歳未勝利,A,13-12-7,13-12-8,major,4-8-12,0,0,0,0,0,700
202605020705,東京,5,3歳未勝利,D,2-11-12,2-12-11,minor,2-10-12,0,1,0,0,0,700
202605020706,東京,6,3歳1勝クラス,A,4-3-8,4-3-8,none,3-4-8,1,1,430,430,430,700
202605020707,東京,7,3歳1勝クラス,D,8-3-6,8-3-6,none,4-9-13,0,0,0,0,0,700
202605020708,東京,8,4歳以上1勝クラス,C,15-2-11,15-2-11,none,1-14-15,0,0,0,0,0,700
202605020709,東京,9,調布特別,A,3-6-1,3-6-1,none,3-5-7,0,0,0,0,0,700
202605020710,東京,10,立川特別,D,9-12-6,9-12-8,major,6-8-12,0,0,0,0,0,700
202605020711,東京,11,六社S,C,6-7-2,6-7-2,none,4-7-8,0,0,0,0,0,700
202605020712,東京,12,4歳以上1勝クラス,A,10-9-1,10-9-1,none,4-9-11,0,0,0,0,0,700
202608030701,京都,1,3歳未勝利,D,14-12-8,14-8-12,minor,4-5-8,0,0,0,0,0,700
202608030702,京都,2,3歳未勝利,A,9-6-11,9-6-11,none,1-6-9,1,1,1560,1560,1560,700
202608030703,京都,3,3歳未勝利,D,4-18-16,4-18-16,none,2-13-18,0,0,0,0,0,700
202608030704,京都,4,3歳未勝利,A,6-8-7,6-8-7,none,2-6-9,0,0,0,0,0,700
202608030705,京都,5,3歳未勝利,A,2-12-4,2-4-12,minor,2-5-14,0,0,0,0,0,700
202608030706,京都,6,4歳以上1勝クラス,D,5-13-7,5-13-7,none,5-7-14,0,0,0,0,0,700
202608030707,京都,7,4歳以上1勝クラス,A,1-5-3,1-5-6,major,3-5-6,0,0,0,0,0,700
202608030709,京都,9,あずさ賞,A,3-6-4,3-4-6,minor,1-2-8,0,0,0,0,0,700
202608030710,京都,10,上賀茂S,C,13-10-1,13-10-1,none,1-13-14,1,1,33200,33200,33200,700
202608030711,京都,11,鞍馬S,D,13-16-15,13-12-16,major,3-6-12,0,0,0,0,0,700
202608030712,京都,12,4歳以上2勝クラス,D,10-2-13,10-2-13,none,10-13-15,1,1,4450,4450,4450,700
