race_id,horse_id,pad_body_condition_score,pad_body_condition_std,pad_coat_gloss,pad_coat_contrast,pad_body_aspect_mean,pad_body_aspect_var,pad_body_compactness,pad_gait_motion_speed,pad_gait_motion_std,pad_gait_aspect_range,pad_gait_area_change,pad_yolo_conf_mean
202603010112,2022106229,0.7165,0.0438,0.4511,0.2114,1.2871,0.1678,0.282,15.01,16.49,0.515,9131.6,0.727
202604010302,2023101087,0.825,0.0037,0.5676,0.2541,1.37,0.125,0.2205,4.98,11.12,0.604,1580.4,0.894
202604010302,2023102662,0.8205,0.0016,0.5397,0.2432,1.5872,0.0541,0.3044,2.39,6.95,0.306,1614.7,0.874
202604010302,2023105838,0.8167,0.0017,0.5493,0.2375,1.7131,0.0441,0.299,4.55,16.06,0.378,1755.6,0.731
202604010303,2023101100,0.7656,0.0066,0.4639,0.2423,1.1545,0.0997,0.1873,3.9,11.42,0.465,1609.1,0.757
202604010303,2023102383,0.7418,0.0094,0.4542,0.2272,1.38,0.0572,0.2811,5.59,12.81,0.523,2585.8,0.823
202604010303,2023104665,0.7767,0.0149,0.4986,0.2258,1.1288,0.2617,0.1691,26.17,12.27,0.797,9605.0,0.722
202604010411,2018105454,0.6508,0.0484,0.3947,0.198,1.5289,0.1054,0.2212,5.83,22.83,0.771,2636.4,0.798
202604010411,2021100139,0.5292,0.0551,0.2968,0.1459,1.682,0.0344,0.252,4.33,12.35,0.25,1064.0,0.484
202604010411,2022105128,0.7299,0.0087,0.4515,0.2115,1.2564,0.0402,0.2522,3.81,10.57,0.319,1721.0,0.77
202605020501,2023102674,0.6978,0.012,0.4105,0.2169,1.5936,0.077,0.3165,6.17,14.03,0.632,2765.1,0.775
202605020501,2023102841,0.6575,0.0117,0.3949,0.1944,1.491,0.1184,0.3807,9.7,20.04,0.862,7082.4,0.821
202605020501,2023106605,0.7252,0.0047,0.4451,0.2195,1.7295,0.087,0.3399,4.27,8.61,0.475,1926.7,0.851
202605020502,2023101841,0.6526,0.0089,0.377,0.2067,1.6458,0.0955,0.412,11.89,25.3,0.574,5470.2,0.737
202605020502,2023104376,0.7085,0.0119,0.4224,0.2273,1.6954,0.1417,0.3189,9.25,15.97,0.551,4185.9,0.764
202605020502,2023106691,0.7528,0.0203,0.4652,0.2427,1.3085,0.0717,0.2789,6.72,12.15,0.414,2331.3,0.886
202605020503,2023105081,0.7043,0.0058,0.3859,0.2409,1.5133,0.0483,0.324,5.84,11.05,0.303,2294.7,0.687
202605020503,2023105264,0.5908,0.0036,0.3311,0.1687,1.7721,0.1343,0.4165,5.22,13.08,0.458,2144.3,0.626
202605020503,2023105308,0.6919,0.0232,0.4067,0.2215,1.0926,0.2511,0.2171,3.32,7.24,0.925,2101.2,0.731
202605020504,2023103799,0.6355,0.018,0.3505,0.2025,1.4755,0.082,0.3234,7.2,14.25,0.465,2930.7,0.704
202605020504,2023106254,0.7014,0.0054,0.413,0.2175,1.5526,0.0565,0.3147,6.45,12.69,0.394,1859.1,0.905
202605020504,2023107327,0.6909,0.0067,0.4007,0.2274,1.4314,0.0755,0.3569,5.34,12.81,0.523,2550.5,0.836
202605020505,2023106849,0.6446,0.0348,0.3736,0.1964,1.528,0.0732,0.308,10.19,25.34,0.509,2404.1,0.895
202605020505,2023106986,0.6938,0.009,0.4184,0.205,1.4641,0.0474,0.3315,4.23,8.66,0.243,1184.0,0.811
202605020505,2023107234,0.7219,0.0085,0.4447,0.2148,1.5407,0.0842,0.3725,7.98,18.53,0.686,5913.3,0.734
202605020506,2023104224,0.6226,0.0165,0.3532,0.2029,1.4481,0.0976,0.3032,11.85,20.61,0.886,5335.3,0.776
202605020506,2023105689,0.6678,0.0089,0.3884,0.2146,1.5694,0.0712,0.33,7.27,11.92,0.401,4419.7,0.48
202605020506,2023107204,0.7142,0.0131,0.4238,0.2169,1.6378,0.1123,0.3132,9.52,15.84,0.479,3336.3,0.891
202605020507,2022104419,0.7138,0.0236,0.4334,0.2169,1.7486,0.1463,0.3103,9.44,14.45,0.846,4209.5,0.805
202605020507,2022105197,0.7005,0.0418,0.4376,0.2166,1.418,0.0805,0.3247,10.61,17.37,0.509,5110.4,0.859
202605020507,2022106199,0.7582,0.0161,0.4643,0.2446,1.5888,0.0765,0.2951,6.02,10.12,0.347,3728.6,0.851
202605020508,2021105585,0.6499,0.0094,0.3565,0.2089,1.4451,0.0494,0.3584,8.28,14.94,0.324,2108.9,0.858
202605020508,2022103308,0.5963,0.0232,0.2979,0.2084,1.6217,0.0732,0.3368,9.58,15.87,0.451,3957.2,0.53
202605020508,2022104979,0.7132,0.0294,0.4485,0.2173,1.4359,0.22,0.3018,18.41,24.98,1.005,10267.2,0.842
