race_id,date,course,race_num,race_name,condition,num_horses,distance,top1_num,top1_score,p_calibrated,ev_top1,s7_pass,v2_recommended,v2_bet_size,v2_reason
202608030601,20260510,京都,1,3歳未勝利,A,11,1800,7,0.5325632154765954,0.6727942508336167,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202608030602,20260510,京都,2,3歳未勝利,D,16,1200,6,0.6972300978219819,0.7880610684753873,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202608030603,20260510,京都,3,3歳未勝利,A,12,1900,1,0.4567339890992968,0.6197137923695077,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202608030604,20260510,京都,4,3歳未勝利,C,16,1600,16,0.4818474072731097,0.6372931850911767,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202608030605,20260510,京都,5,3歳未勝利,A,13,2000,8,0.2723188759497648,0.4906232131648353,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202608030606,20260510,京都,6,4歳以上1勝クラス,A,10,2200,5,0.6273349305389314,0.739134451377252,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202608030607,20260510,京都,7,3歳1勝クラス,A,12,1800,6,0.6708772516707991,0.7696140761695593,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202608030608,20260510,京都,8,4歳以上1勝クラス,D,12,1200,1,0.6243208203556337,0.7370245742489436,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202608030609,20260510,京都,9,烏丸S,A,13,2400,6,0.7161777186767524,0.8013244030737265,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202608030610,20260510,京都,10,橘S,D,11,1400,5,0.697236971403044,0.7880658799821307,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202608030611,20260510,京都,11,平城京S,C,16,1800,10,0.8087918912536891,0.8661543238775824,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202608030612,20260510,京都,12,4歳以上2勝クラス,D,14,1400,14,0.7338588457526529,0.8137011920268571,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202604010401,20260510,新潟,1,3歳未勝利,C,15,1800,13,0.2723191902493316,0.4906234331745321,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202604010402,20260510,新潟,2,3歳未勝利,D,15,1200,14,0.2891195696324819,0.5023836987427374,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202604010403,20260510,新潟,3,3歳未勝利,C,15,1800,3,0.4403238219975709,0.6082266753982997,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202604010405,20260510,新潟,5,3歳未勝利,C,16,1800,7,0.3783619355085346,0.5648533548559742,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202604010406,20260510,新潟,6,3歳未勝利,D,16,1000,16,0.3160764844066731,0.0,0.0,False,False,0,distance_le_1000
202604010407,20260510,新潟,7,4歳以上1勝クラス,D,15,1200,14,0.5370471776183485,0.6759330243328439,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202604010408,20260510,新潟,8,4歳以上1勝クラス,D,15,1200,14,0.4913252151907271,0.643927650633509,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202604010409,20260510,新潟,9,荒川峡特別,A,14,2400,14,0.6304338684938227,0.0,0.0,False,False,0,strategy_7_06_tokubetsu
202604010410,20260510,新潟,10,五泉特別,A,14,1800,3,0.6228286769096646,0.0,0.0,False,False,0,strategy_7_06_tokubetsu
202604010411,20260510,新潟,11,谷川岳S,D,14,1400,11,0.5324139115554613,0.6726897380888228,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202604010412,20260510,新潟,12,4歳以上1勝クラス,D,13,1200,7,0.5158411823039477,0.6610888276127633,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202605020601,20260510,東京,1,3歳未勝利,C,16,1600,4,0.2361418586221462,0.4652993010355023,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202605020602,20260510,東京,2,3歳未勝利,D,16,1400,16,0.3040536193589868,0.5128375335512907,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
