race_id,date,course,race_num,race_name,condition,num_horses,distance,top1_num,top1_score,top1_odds,score_sum,odds_resolved,p_calibrated,ev_top1,s7_pass,v2_recommended,v2_bet_size,v2_reason
202608030701,20260516,京都,1,3歳未勝利,D,16,1400,14,0.6887862979428092,10.3,4.400574285346453,True,0.7821504085599664,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202608030702,20260516,京都,2,3歳未勝利,A,11,1800,9,0.506997787395405,1.3,2.3960565754418406,True,0.6548984511767835,2.131922915149423,True,True,1400,strategy_7_pass + ev_mid (2.13>=2.0) → 2x
202608030703,20260516,京都,3,3歳未勝利,D,18,1400,4,0.6538912296242264,2.6,3.653064103257285,True,0.7577238607369585,3.2357746520124606,True,True,2100,strategy_7_pass + ev_high (3.24>=3.0) → 3x
202608030704,20260516,京都,4,3歳未勝利,A,10,2400,6,0.4057882255034107,3.1,2.2878842500491148,True,0.5840517578523874,4.7482134184984215,True,True,2100,strategy_7_pass + ev_high (4.75>=3.0) → 3x
202608030705,20260516,京都,5,3歳未勝利,A,14,1800,2,0.4923938669182714,2.1,2.9535463533180164,True,0.64467570684279,2.750223945899432,True,True,1400,strategy_7_pass + ev_mid (2.75>=2.0) → 2x
202608030706,20260516,京都,6,4歳以上1勝クラス,D,15,1200,5,0.4948583905988672,3.7,3.5126083046863084,True,0.646400873419207,4.085311581926561,True,True,2100,strategy_7_pass + ev_high (4.09>=3.0) → 3x
202608030707,20260516,京都,7,4歳以上1勝クラス,A,11,1600,1,0.5338604648340511,3.8,3.311798693666538,True,0.6737023253838358,4.6380877702882755,True,True,2100,strategy_7_pass + ev_high (4.64>=3.0) → 3x
202608030709,20260516,京都,9,あずさ賞,A,10,2000,3,0.4813643995451669,9.2,3.3288544472265706,True,0.6369550796816168,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202608030710,20260516,京都,10,上賀茂S,C,15,1900,13,0.7292275779235075,7.0,6.316274289565201,True,0.8104593045464552,5.389140691243526,True,True,2100,strategy_7_pass + ev_high (5.39>=3.0) → 3x
202608030711,20260516,京都,11,鞍馬S,D,16,1200,13,0.5961191439033233,7.0,5.7475566532400615,True,0.7172834007323263,5.241514725004907,True,True,2100,strategy_7_pass + ev_high (5.24>=3.0) → 3x
202608030712,20260516,京都,12,4歳以上2勝クラス,D,15,1200,10,0.7028830828402939,3.4,4.837319034991238,True,0.7920181579882057,3.3401084993743155,True,True,2100,strategy_7_pass + ev_high (3.34>=3.0) → 3x
202604010501,20260516,新潟,1,3歳未勝利,C,15,1800,4,0.4348106315179539,9.1,3.7505401956426034,True,0.6043674420625678,8.798322538964914,True,True,2100,strategy_7_pass + ev_high (8.80>=3.0) → 3x
202604010502,20260516,新潟,2,3歳未勝利,D,15,1200,14,0.4821484799701783,2.0,3.5143119687841224,True,0.6375039359791248,2.176826445603306,True,True,1400,strategy_7_pass + ev_mid (2.18>=2.0) → 2x
202604010503,20260516,新潟,3,3歳未勝利,C,16,1600,9,0.594959480767016,4.9,4.205421551191475,True,0.7164716365369111,5.008835822467616,True,True,2100,strategy_7_pass + ev_high (5.01>=3.0) → 3x
202604010504,20260516,新潟,4,3歳未勝利,A,11,1800,8,0.5181307229197973,13.9,2.614685003606738,True,0.6626915060438581,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202604010505,20260516,新潟,5,3歳未勝利,C,16,1800,1,0.3220932764180433,4.0,3.584000233139073,True,0.5254652934926303,3.518740575744199,True,True,2100,strategy_7_pass + ev_high (3.52>=3.0) → 3x
202604010506,20260516,新潟,6,3歳未勝利,D,16,1000,6,0.3155902324056295,21.0,2.6337282989040443,True,0.0,0.0,False,False,0,distance_le_1000
202604010507,20260516,新潟,7,4歳以上1勝クラス,D,13,1200,3,0.4773701086583901,3.5,3.296225929723888,True,0.6341590760608731,4.040178337652321,True,True,2100,strategy_7_pass + ev_high (4.04>=3.0) → 3x
202604010508,20260516,新潟,8,4歳以上1勝クラス,A,9,1800,5,0.6953112155954293,3.0,3.2353672357090746,True,0.7867178509168005,4.376913124484569,True,True,2100,strategy_7_pass + ev_high (4.38>=3.0) → 3x
202604010509,20260516,新潟,9,石打特別,C,16,1800,12,0.5269599381856043,2.4,4.207378489898584,True,0.0,0.0,False,False,0,strategy_7_06_tokubetsu
202604010510,20260516,新潟,10,中ノ岳特別,A,9,1800,5,0.6278523574817139,7.3,3.805832523502965,True,0.0,0.0,False,False,0,strategy_7_06_tokubetsu
202604010511,20260516,新潟,11,新潟大賞典,C,15,2000,14,0.7362439498560647,8.8,6.682882540174201,True,0.8153707648992452,6.4420668967133965,True,True,2100,strategy_7_pass + ev_high (6.44>=3.0) → 3x
202604010512,20260516,新潟,12,4歳以上1勝クラス,D,16,1400,11,0.625413835714332,5.0,4.365009577805051,True,0.7377896850000323,5.070708358246242,True,True,2100,strategy_7_pass + ev_high (5.07>=3.0) → 3x
202605020701,20260516,東京,1,3歳未勝利,D,16,1400,1,0.3707654479646927,2.6,3.1293053598856333,True,0.5595358135752848,2.7893598380227913,True,True,1400,strategy_7_pass + ev_mid (2.79>=2.0) → 2x
202605020702,20260516,東京,2,3歳未勝利,C,16,1600,5,0.3839649830530545,3.9,3.229910815671331,True,0.5687754881371381,4.120654464461647,True,True,2100,strategy_7_pass + ev_high (4.12>=3.0) → 3x
202605020703,20260516,東京,3,3歳未勝利,D,16,1300,12,0.5478651312271513,17.6,3.3529995032626854,True,0.6835055918590058,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202605020704,20260516,東京,4,3歳未勝利,A,13,2000,13,0.4562136202851278,4.2,3.101934001092991,True,0.6193495341995894,5.031573288255066,True,True,2100,strategy_7_pass + ev_high (5.03>=3.0) → 3x
202605020705,20260516,東京,5,3歳未勝利,D,18,1400,2,0.5198898671249172,6.2,3.69969403736592,True,0.663922906987442,6.675668823013563,True,True,2100,strategy_7_pass + ev_high (6.68>=3.0) → 3x
202605020706,20260516,東京,6,3歳1勝クラス,A,8,2400,4,0.6025021551361177,2.7,2.542479331792054,True,0.7217515085952824,4.59,True,True,2100,strategy_7_pass + ev_high (4.59>=3.0) → 3x
202605020707,20260516,東京,7,3歳1勝クラス,D,16,1400,8,0.4644205398360904,6.0,4.131953004058916,True,0.6250943778852632,5.446189146334397,True,True,2100,strategy_7_pass + ev_high (5.45>=3.0) → 3x
202605020708,20260516,東京,8,4歳以上1勝クラス,C,16,1600,15,0.5629440861194184,3.3,4.6576699384423454,True,0.6940608602835928,2.9504892393064206,True,True,1400,strategy_7_pass + ev_mid (2.95>=2.0) → 2x
202605020709,20260516,東京,9,調布特別,A,9,1800,3,0.6489787813121799,1.5,3.7151223796022443,True,0.0,0.0,False,False,0,strategy_7_06_tokubetsu
202605020710,20260516,東京,10,立川特別,D,12,1400,9,0.7157294808549305,7.5,4.748998017919553,True,0.0,0.0,False,False,0,strategy_7_06_tokubetsu
202605020711,20260516,東京,11,六社S,C,15,2400,6,0.7099934499466182,2.4,6.131339154812315,True,0.7969954149626326,1.8718152243224297,True,True,700,strategy_7_pass + ev_base (1.87)
202605020712,20260516,東京,12,4歳以上1勝クラス,A,14,1600,10,0.5023826643072101,9.4,3.57618289128641,True,0.651667865015047,10.0,True,True,2100,strategy_7_pass + ev_high (10.00>=3.0) → 3x
