race_id,date,course,race_num,race_name,condition,top1_score,base_inv,base_pay,base_pnl,s7only_recommended,s7only_inv,s7only_pay,v2_recommended,v2_bet_size,v2_inv,v2_pay,v2_pnl,v2_ev_top1,v2_p_calibrated,v2_strategy_7_pass,v2_reason
202606020501,20260314.0,中山,1,中山1R,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202606020502,20260314.0,中山,2,中山2R,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202606020503,20260314.0,中山,3,中山3R,D,,700.0,570.0,-130.0,True,700,570.0,True,700,700,570.0,-130.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202606020504,20260314.0,中山,4,中山4R,C,,700.0,0.0,-700.0,True,700,0.0,True,700,700,0.0,-700.0,0.0,0.0,True,strategy_7_pass + score_unavailable_fallback
202606020505,20260314.0,中山,5,レース,C,0.1988226976964497,700.0,0.0,-700.0,True,700,0.0,True,2100,2100,0.0,-2100.0,10.0,0.36417588838751475,True,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202606020506,20260314.0,中山,6,レース,C,0.1574649023659729,700.0,0.0,-700.0,True,700,0.0,True,2100,2100,0.0,-2100.0,10.0,0.29022543165618103,True,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202606020507,20260314.0,中山,7,レース,A,0.1834722115245527,700.0,1780.0,1080.0,True,700,1780.0,True,2100,2100,5340.0,3240.0,10.0,0.3534305480671869,True,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202606020508,20260314.0,中山,8,レース,D,0.1507907490291375,700.0,0.0,-700.0,True,700,0.0,True,2100,2100,0.0,-2100.0,10.0,0.28555352432039627,True,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202606020509,20260314.0,中山,9,レース,A,0.165856199793038,700.0,0.0,-700.0,True,700,0.0,True,2100,2100,0.0,-2100.0,10.0,0.3410993398551266,True,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202606020510,20260314.0,中山,10,レース,C,0.164323526226143,700.0,0.0,-700.0,True,700,0.0,True,2100,2100,0.0,-2100.0,10.0,0.3400264683583001,True,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202606020511,20260314.0,中山,11,レース,C,0.1584094431395503,700.0,0.0,-700.0,True,700,0.0,True,2100,2100,0.0,-2100.0,10.0,0.2908866101976852,True,strategy_7_pass + ev_high (10.00>=3.0) → 3x
202606020512,20260314.0,中山,12,レース,D,0.1458860514200565,700.0,0.0,-700.0,True,700,0.0,True,2100,2100,0.0,-2100.0,10.0,0.25212023599403954,True,strategy_7_pass + ev_high (10.00>=3.0) → 3x
