race_id,horse_id,video_gait_coverage,video_gait_aspect_mean,video_gait_aspect_std,video_gait_aspect_range,video_gait_area_mean,video_gait_area_std,video_gait_w_mean,video_gait_h_mean,video_gait_conf_mean,video_gait_conf_std,video_gait_conf_min,video_gait_motion_dcx_mean,video_gait_motion_dcy_mean,video_gait_motion_speed_mean,video_gait_motion_speed_std,video_gait_motion_speed_max,video_gait_area_change_mean,video_gait_aspect_change_mean,video_body_coat_brightness_mean,video_body_coat_brightness_std,video_body_coat_saturation_mean,video_body_coat_saturation_std,video_body_coat_contrast_mean,video_body_coat_contrast_std,video_body_body_aspect_mean,video_body_body_aspect_std,video_body_body_compactness_mean,video_body_body_compactness_std,video_body_color_r_mean,video_body_color_g_mean,video_body_color_b_mean,video_body_condition_score_mean,video_body_condition_score_std
202603010112,2022106229,1.0,1.288,0.167,0.515,146077.8,14847.6,431.8,338.7,0.727,0.119,0.399,-1.58,0.0,15.01,16.49,44.6,9131.6,0.086,0.4511,0.0368,0.0816,0.0171,0.2114,0.0225,1.2871,0.1678,0.282,0.0287,0.4933,0.4389,0.4212,0.7165,0.0438
202604010302,2023101087,1.0,1.369,0.125,0.604,114301.0,8927.9,395.4,289.2,0.894,0.068,0.373,-0.01,-0.19,4.98,11.12,46.9,1580.4,0.022,0.5676,0.0189,0.1423,0.0097,0.2541,0.0072,1.37,0.125,0.2205,0.0172,0.6536,0.5226,0.5267,0.825,0.0037
202604010302,2023102662,1.0,1.589,0.053,0.306,157789.7,4250.0,500.6,315.2,0.874,0.064,0.52,0.33,0.09,2.39,6.95,32.6,1614.7,0.014,0.5397,0.0054,0.1547,0.0026,0.2432,0.002,1.5872,0.0541,0.3044,0.0082,0.6332,0.4926,0.4932,0.8205,0.0016
202604010302,2023105838,0.986,1.716,0.044,0.378,154900.0,5481.5,515.4,300.5,0.731,0.052,0.709,-0.88,0.19,4.55,16.06,115.6,1755.6,0.022,0.5493,0.0048,0.1585,0.0025,0.2375,0.0021,1.7131,0.0441,0.299,0.0106,0.6465,0.5009,0.5005,0.8167,0.0017
202604010303,2023101100,1.0,1.158,0.099,0.465,97094.1,6794.1,335.3,289.8,0.757,0.081,0.313,-0.55,0.04,3.9,11.42,67.8,1609.1,0.012,0.4639,0.0044,0.0969,0.0024,0.2423,0.0043,1.1545,0.0997,0.1873,0.0131,0.5008,0.4587,0.4324,0.7656,0.0066
202604010303,2023102383,1.0,1.383,0.057,0.523,145587.1,5125.6,448.6,324.6,0.823,0.04,0.562,-0.91,0.3,5.59,12.81,54.7,2585.8,0.022,0.4542,0.0068,0.0932,0.0025,0.2272,0.0039,1.38,0.0572,0.2811,0.01,0.4747,0.455,0.4331,0.7418,0.0094
202604010303,2023104665,0.153,1.129,0.263,0.797,87676.2,17477.2,313.9,280.5,0.722,0.175,0.374,-6.34,-3.69,26.17,12.27,47.6,9605.0,0.111,0.4986,0.0288,0.1188,0.008,0.2258,0.0105,1.1288,0.2617,0.1691,0.0337,0.5583,0.4826,0.4549,0.7767,0.0149
202604010411,2018105454,0.973,1.529,0.106,0.771,114715.9,7165.1,418.7,274.0,0.798,0.101,0.243,0.09,0.25,5.83,22.83,146.2,2636.4,0.03,0.3947,0.0487,0.0584,0.0199,0.198,0.0143,1.5289,0.1054,0.2212,0.0139,0.4215,0.3795,0.383,0.6508,0.0484
202604010411,2021100139,1.0,1.679,0.035,0.25,130734.3,7318.1,468.3,279.0,0.484,0.098,0.382,0.4,-0.0,4.33,12.35,62.0,1064.0,0.012,0.2968,0.0356,0.0511,0.0124,0.1459,0.0244,1.682,0.0344,0.252,0.0143,0.3027,0.2952,0.2925,0.5292,0.0551
202604010411,2022105128,1.0,1.253,0.04,0.319,130738.3,4852.1,404.7,323.0,0.77,0.041,0.746,-0.69,-0.26,3.81,10.57,63.1,1721.0,0.017,0.4515,0.0086,0.1047,0.0024,0.2115,0.0031,1.2564,0.0402,0.2522,0.0093,0.4944,0.4592,0.4008,0.7299,0.0087
