date,model,n_total,n_bet,n_hit,hit_rate,investment,payout,profit,roi_pct
all,V15,347,30,9,30.0,21000,2810,-18190,13.380952380952381
all,V18 cand,347,12,1,8.333333333333334,8400,0,-8400,0.0
all,V20 cand,347,12,1,8.333333333333334,9600,0,-9600,0.0
all,V21 cand,347,12,1,8.333333333333334,9600,0,-9600,0.0
all,V22 RL,347,0,0,0.0,0,0,0,0.0
20260510,V15,34,6,2,33.33,4200,3490,-710,83.1
20260510,V18 cand,34,1,1,100.0,700,680,-20,97.14
20260510,V20 cand,34,1,1,100.0,1000,971,-29,97.1
20260510,V21 cand,34,1,1,100.0,1000,971,-29,97.1
20260510,V22 RL,34,0,0,0.0,0,0,0,0.0
