feature,category,gain_pct,state,dead_0620_healthy,dead_0809_degraded,supply,alt_verification
weight_carry,BASE,0.202,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
age,BASE,0.466,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
distance,BASE,0.567,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
course_enc,BASE,0.361,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
surface_enc,BASE,0.394,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
sex_enc,BASE,0.066,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
num_horses_val,BASE,0.252,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
horse_num,BASE,0.193,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
bracket,BASE,0.039,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
jockey_wr_calc,BASE,0.259,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
jockey_course_wr_calc,BASE,0.229,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
trainer_top3_calc,BASE,0.279,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
prev_finish,BASE,0.126,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
prev_last3f,BASE,0.192,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
prev_pass4,BASE,0.142,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
prev_prize,BASE,0.078,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
prev2_finish,BASE,0.1,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
prev3_finish,BASE,0.093,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
avg_finish_3r,BASE,0.217,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
best_finish_3r,BASE,0.11,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
finish_trend,BASE,0.1,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
top3_count_3r,BASE,0.009,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
avg_last3f_3r,BASE,0.357,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
prev2_last3f,BASE,0.308,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
dist_change,BASE,0.144,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
dist_change_abs,BASE,0.056,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
rest_days,BASE,0.233,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
rest_category,BASE,0.006,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
sire_enc,BASE,0.246,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
bms_enc,BASE,0.118,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
dist_cat,BASE,0.037,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
age_sex,BASE,0.376,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
season,BASE,0.074,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
age_season,BASE,0.698,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
horse_num_ratio,BASE,0.317,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
bracket_pos,BASE,0.002,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
carry_diff,BASE,0.28,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
age_group,BASE,0.0,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
surface_dist_enc,BASE,0.919,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
course_surface,BASE,0.199,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
location_enc,BASE,0.039,8/15回復見込み(要実測),0,1,基幹DB(jra_races/TARGET系)+派生,
is_nar,BASE,0.0,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
prev_odds_log,BASE,0.0,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
training_time_filled,premium,5.454,恒久死亡(netkeiba解約),0,1,netkeiba premium(oikiri/speed/comment)=解約,"代替不能確定(v15r R1/B: JV調教+0.0001, CYB-0.0000, SRB/KKA+0.0002=全て寄与ゼロ。training_4f=コース混合複合でJV未配信) V15R_RESULTS.md"
has_training,premium,0.0,恒久死亡(netkeiba解約),1,1,netkeiba premium(oikiri/speed/comment)=解約,"代替不能確定(v15r R1/B: JV調教+0.0001, CYB-0.0000, SRB/KKA+0.0002=全て寄与ゼロ。training_4f=コース混合複合でJV未配信) V15R_RESULTS.md"
training_per_dist,premium,3.034,恒久死亡(netkeiba解約),0,0,netkeiba premium(oikiri/speed/comment)=解約,"代替不能確定(v15r R1/B: JV調教+0.0001, CYB-0.0000, SRB/KKA+0.0002=全て寄与ゼロ。training_4f=コース混合複合でJV未配信) V15R_RESULTS.md"
jockey_surface_wr,BASE,0.251,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
horse_career_races,BASE,0.365,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
horse_career_wr,BASE,1.225,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
horse_career_top3r,BASE,0.389,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
sire_surface_wr,BASE,0.245,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
sire_dist_wr,BASE,0.213,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
bms_surface_wr,BASE,0.226,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
wood_best_4f_filled,premium,0.071,恒久死亡(netkeiba解約),0,1,netkeiba premium(oikiri/speed/comment)=解約,"代替不能確定(v15r R1/B: JV調教+0.0001, CYB-0.0000, SRB/KKA+0.0002=全て寄与ゼロ。training_4f=コース混合複合でJV未配信) V15R_RESULTS.md"
has_wood_training,premium,0.011,恒久死亡(netkeiba解約),1,1,netkeiba premium(oikiri/speed/comment)=解約,"代替不能確定(v15r R1/B: JV調教+0.0001, CYB-0.0000, SRB/KKA+0.0002=全て寄与ゼロ。training_4f=コース混合複合でJV未配信) V15R_RESULTS.md"
prev_race_first3f,BASE,0.0,生存,0,0,db.netkeiba raceページ(公開),
prev_race_last3f,BASE,0.0,生存,0,0,db.netkeiba raceページ(公開),
prev_race_pace_diff,BASE,0.0,生存,0,0,db.netkeiba raceページ(公開),
prev_agari_relative,BASE,0.05,生存,0,0,db.netkeiba raceページ(公開),
wood_count_2w,premium,0.017,恒久死亡(netkeiba解約),1,1,netkeiba premium(oikiri/speed/comment)=解約,"代替不能確定(v15r R1/B: JV調教+0.0001, CYB-0.0000, SRB/KKA+0.0002=全て寄与ゼロ。training_4f=コース混合複合でJV未配信) V15R_RESULTS.md"
sakaro_best_4f_filled,premium,0.114,恒久死亡(netkeiba解約),1,1,netkeiba premium(oikiri/speed/comment)=解約,"代替不能確定(v15r R1/B: JV調教+0.0001, CYB-0.0000, SRB/KKA+0.0002=全て寄与ゼロ。training_4f=コース混合複合でJV未配信) V15R_RESULTS.md"
sakaro_best_3f_filled,premium,0.099,恒久死亡(netkeiba解約),1,1,netkeiba premium(oikiri/speed/comment)=解約,"代替不能確定(v15r R1/B: JV調教+0.0001, CYB-0.0000, SRB/KKA+0.0002=全て寄与ゼロ。training_4f=コース混合複合でJV未配信) V15R_RESULTS.md"
has_sakaro_training,premium,0.007,恒久死亡(netkeiba解約),1,1,netkeiba premium(oikiri/speed/comment)=解約,"代替不能確定(v15r R1/B: JV調教+0.0001, CYB-0.0000, SRB/KKA+0.0002=全て寄与ゼロ。training_4f=コース混合複合でJV未配信) V15R_RESULTS.md"
total_training_count,premium,0.052,恒久死亡(netkeiba解約),1,1,netkeiba premium(oikiri/speed/comment)=解約,"代替不能確定(v15r R1/B: JV調教+0.0001, CYB-0.0000, SRB/KKA+0.0002=全て寄与ゼロ。training_4f=コース混合複合でJV未配信) V15R_RESULTS.md"
horse_dist_top3r,BASE,0.182,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
horse_surface_top3r,BASE,0.173,恒常定数(設計上),1,1,基幹DB(jra_races/TARGET系)+派生,
frame_course_dist_wr,BASE,0.271,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
index_max_filled,premium,0.1,恒久死亡(netkeiba解約),0,0,netkeiba premium(oikiri/speed/comment)=解約,代替なし(netkeiba独自指数)
index_run1_filled,premium,0.1,恒久死亡(netkeiba解約),0,0,netkeiba premium(oikiri/speed/comment)=解約,代替なし(netkeiba独自指数)
index_avg5_filled,premium,0.138,恒久死亡(netkeiba解約),0,0,netkeiba premium(oikiri/speed/comment)=解約,代替なし(netkeiba独自指数)
time_1f_last_filled,premium,0.088,恒久死亡(netkeiba解約),0,1,netkeiba premium(oikiri/speed/comment)=解約,"代替不能確定(v15r R1/B: JV調教+0.0001, CYB-0.0000, SRB/KKA+0.0002=全て寄与ゼロ。training_4f=コース混合複合でJV未配信) V15R_RESULTS.md"
training_intensity_enc,premium,0.094,恒久死亡(netkeiba解約),1,1,netkeiba premium(oikiri/speed/comment)=解約,"代替不能確定(v15r R1/B: JV調教+0.0001, CYB-0.0000, SRB/KKA+0.0002=全て寄与ゼロ。training_4f=コース混合複合でJV未配信) V15R_RESULTS.md"
sire_shinba_top3r,BASE,0.0,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
pci,BASE,0.0,生存,0,0,基幹DB(jra_races/TARGET系)+派生,
jrdb_idm,JRDB系,2.002,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_training_idx,JRDB系,0.675,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_stable_idx,JRDB系,0.237,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_composite_idx,JRDB系,0.618,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_upset_idx,JRDB系,0.23,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_ten_idx_pred,JRDB系,0.244,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_pace_idx_pred,JRDB系,0.412,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_agari_idx_pred,JRDB系,0.473,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_position_idx_pred,JRDB系,0.395,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_class_code,JRDB系,1.652,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_rise_code,JRDB系,0.025,恒常定数(設計上),1,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_heavy_apt,JRDB系,0.033,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
jrdb_hoof_code,JRDB系,0.079,8/15回復見込み(供給復旧済),0,1,jrdb_kyi/tyb/sed/jo/cha系,
