race_id,course,race_num,race_name,condition_band,num_horses,distance,surface,track_cond,top5_nums,top3_nums,finish_nums,cov5,cov3,trio_hit,trio_payout,umaren_hit,umaren_payout
202604010501,新潟,1,3歳未勝利,C,15,1800,ダ,?,"[4, 5, 7, 8, 14]","[4, 7, 8]","[4, 7, 8]",3,3,1,1040,0,0
202604010502,新潟,2,3歳未勝利,D,15,1200,ダ,?,"[3, 4, 12, 14, 15]","[3, 12, 14]","[3, 12, 14]",3,3,1,710,0,0
202604010503,新潟,3,3歳未勝利,C,16,1600,芝,?,"[8, 9, 11, 12, 14]","[8, 9, 14]","[9, 11, 14]",3,2,1,2680,0,0
202604010504,新潟,4,3歳未勝利,A,11,1800,ダ,?,"[4, 7, 8, 10, 11]","[8, 10, 11]","[8, 10, 11]",3,3,1,1370,0,0
202604010505,新潟,5,3歳未勝利,C,16,1800,芝,?,"[1, 8, 9, 11, 13]","[1, 8, 11]","[1, 9, 11]",3,2,0,0,0,0
202604010507,新潟,7,4歳以上1勝クラス,D,13,1200,ダ,?,"[1, 2, 3, 4, 13]","[1, 2, 3]","[9, 12, 13]",1,0,0,0,0,0
202604010508,新潟,8,4歳以上1勝クラス,A,9,1800,ダ,?,"[1, 5, 6, 7, 9]","[5, 6, 9]","[5, 7, 9]",3,2,1,540,0,0
202604010509,新潟,9,石打特別,C,16,1800,芝,?,"[5, 6, 8, 12, 14]","[8, 12, 14]","[6, 12, 14]",3,2,1,1050,0,0
202604010510,新潟,10,中ノ岳特別,A,9,1800,ダ,?,"[1, 4, 5, 8, 9]","[4, 5, 8]","[1, 2, 8]",2,1,0,0,0,0
202604010511,新潟,11,新潟大賞典,C,15,2000,芝,?,"[3, 4, 6, 14, 15]","[4, 6, 14]","[3, 9, 11]",1,0,0,0,0,0
202604010512,新潟,12,4歳以上1勝クラス,D,16,1400,芝,?,"[1, 3, 5, 11, 16]","[1, 5, 11]","[10, 11, 13]",1,1,0,0,0,0
202605020701,東京,1,3歳未勝利,D,16,1400,ダ,?,"[1, 3, 6, 7, 13]","[1, 7, 13]","[1, 3, 10]",2,1,0,0,0,0
202605020702,東京,2,3歳未勝利,C,16,1600,ダ,?,"[2, 3, 4, 5, 15]","[3, 5, 15]","[5, 13, 14]",1,1,0,0,0,0
202605020703,東京,3,3歳未勝利,D,16,1300,ダ,?,"[8, 10, 11, 12, 16]","[11, 12, 16]","[10, 12, 16]",3,2,1,7080,0,0
202605020704,東京,4,3歳未勝利,A,13,2000,芝,?,"[4, 7, 8, 12, 13]","[7, 12, 13]","[4, 8, 12]",3,1,0,0,0,0
