race_id,course,race_num,race_name,tier,condition_band,num_horses,distance,surface,top5_nums,top3_nums,finish_nums,cov5,cov3,trio_hit_7pt,trio_payout_7pt,umaren_hit,umaren_payout
202604010501,新潟,1,3歳未勝利,未勝利,C,15,1800,ダ,"[4, 8, 7, 14, 5]","[4, 8, 7]","[4, 7, 8]",3,3,1,1040,0,0
202604010502,新潟,2,3歳未勝利,未勝利,D,15,1200,ダ,"[14, 12, 3, 15, 4]","[14, 12, 3]","[3, 12, 14]",3,3,1,710,0,0
202604010503,新潟,3,3歳未勝利,未勝利,C,16,1600,芝,"[9, 8, 14, 11, 12]","[9, 8, 14]","[9, 11, 14]",3,2,1,2680,0,0
202604010504,新潟,4,3歳未勝利,未勝利,A,11,1800,ダ,"[8, 10, 11, 7, 4]","[8, 10, 11]","[8, 10, 11]",3,3,1,1370,0,0
202604010505,新潟,5,3歳未勝利,未勝利,C,16,1800,芝,"[1, 8, 11, 13, 9]","[1, 8, 11]","[1, 9, 11]",3,2,0,0,0,0
202604010507,新潟,7,4歳以上1勝クラス,1勝C,D,13,1200,ダ,"[1, 3, 2, 4, 13]","[1, 3, 2]","[9, 12, 13]",1,0,0,0,0,0
202604010508,新潟,8,4歳以上1勝クラス,1勝C,A,9,1800,ダ,"[5, 9, 6, 7, 1]","[5, 9, 6]","[5, 7, 9]",3,2,1,540,0,0
202604010509,新潟,9,石打特別,OP特,C,16,1800,芝,"[12, 14, 8, 6, 5]","[12, 14, 8]","[6, 12, 14]",3,2,1,1050,0,0
202604010510,新潟,10,中ノ岳特別,OP特,A,9,1800,ダ,"[5, 8, 4, 1, 9]","[5, 8, 4]","[1, 2, 8]",2,1,0,0,0,0
202604010511,新潟,11,新潟大賞典,G3,C,15,2000,芝,"[14, 4, 6, 3, 15]","[14, 4, 6]","[3, 9, 11]",1,0,0,0,0,0
202604010512,新潟,12,4歳以上1勝クラス,1勝C,D,16,1400,芝,"[11, 1, 5, 16, 3]","[11, 1, 5]","[10, 11, 13]",1,1,0,0,0,0
202605020701,東京,1,3歳未勝利,未勝利,D,16,1400,ダ,"[1, 13, 7, 3, 6]","[1, 13, 7]","[1, 3, 10]",2,1,0,0,0,0
202605020702,東京,2,3歳未勝利,未勝利,C,16,1600,ダ,"[5, 3, 15, 2, 4]","[5, 3, 15]","[5, 13, 14]",1,1,0,0,0,0
202605020703,東京,3,3歳未勝利,未勝利,D,16,1300,ダ,"[12, 16, 11, 10, 8]","[12, 16, 11]","[10, 12, 16]",3,2,1,7080,0,0
202605020704,東京,4,3歳未勝利,未勝利,A,13,2000,芝,"[13, 12, 7, 8, 4]","[13, 12, 7]","[4, 8, 12]",3,1,0,0,0,0
202605020705,東京,5,3歳未勝利,未勝利,D,18,1400,芝,"[2, 11, 12, 9, 1]","[2, 11, 12]","[2, 10, 12]",2,2,0,0,0,0
202605020706,東京,6,3歳1勝クラス,3-1勝C,A,8,2400,芝,"[4, 3, 8, 7, 1]","[4, 3, 8]","[3, 4, 8]",3,3,1,430,0,0
202605020707,東京,7,3歳1勝クラス,3-1勝C,D,16,1400,ダ,"[8, 3, 6, 9, 4]","[8, 3, 6]","[4, 9, 13]",2,0,0,0,0,0
202605020708,東京,8,4歳以上1勝クラス,1勝C,C,16,1600,ダ,"[15, 2, 11, 13, 12]","[15, 2, 11]","[1, 14, 15]",1,1,0,0,0,0
202605020709,東京,9,調布特別,OP特,A,9,1800,芝,"[3, 6, 1, 5, 9]","[3, 6, 1]","[3, 5, 7]",2,1,0,0,0,0
202605020710,東京,10,立川特別,OP特,D,12,1400,ダ,"[9, 12, 6, 8, 2]","[9, 12, 6]","[6, 8, 12]",3,2,0,0,0,0
202605020711,東京,11,六社S,L,C,15,2400,芝,"[6, 7, 2, 4, 8]","[6, 7, 2]","[4, 7, 8]",3,1,0,0,0,0
202605020712,東京,12,4歳以上1勝クラス,1勝C,A,14,1600,ダ,"[10, 9, 1, 5, 4]","[10, 9, 1]","[4, 9, 11]",2,1,0,0,0,0
